period	cc	year	CG_709_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	tot_nbarsd	tototsd	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	ltot_nbar	ltotot	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc3	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc94	cc96	cc101	cc112	cc113	cc116	cc119	cc123	cc125	cc136	cc137	cc143	cc144	cc145	cc152	cc154	cc161	cc164	cc167	cc171	cc174	cc178	cc180	cc183	cc186	cc188	cc191	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
6	3	1998	11.501604	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	18.585638	985.58881	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	7.4153013	100	4	14.690979	17.118347	74.94075	6.5871291	54.432201	2.2242572	50.368752	65.127411	529.96613	36.735027	86.311401	7.6776681	29.398741	-5.1999998	3.2	1	1	6.1999998	7.4387007	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	6	2003	2.1641068	100	2.4000001	13.997832	16.535578	95.644615	4.928041	51.960602	4.0119047	141.15469	31.428766	4436.3179	59.220188	59.806541	9.5209789	80.059143	-2.2	7.5999999	1	0	6	6.9318309	100	6	13.997832	16.394094	95.538322	4.9884677	46.9874	3.2051282	154.09622	71.837036	3374.7021	51.964218	135.23801	8.4992723	1300.8677	-2.8	6	1	0	6	6.2832885	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	.94485331	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	10.904618	174.47699	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	8.14785	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	85.525917	83.457466	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	8.2158976	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1993	.80805147	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	2.4926078	41.122906	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	8.8322802	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	76.226563	174.47699	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	8.14785	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	.95471895	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	4.0615091	91.062546	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	94.054245	41.122906	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	8.8322802	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	.91437107	63.429813	0	14.808763	17.452959	42.830132	15.964285	90.879204	1.0668564	37.947021	7.6925774	291.9104	48.536751	114.37478	10.905325	11.700214	8	9	1	0	2.4000001	8.3354874	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	97.238464	91.062546	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	13	2008	2.5354197	73.089119	0	15.85673	16.887945	28.462711	19.497152	88.700401	1.9523809	41.698956	14.197248	592.01044	44.982212	13.827392	12.843622	4.1043301	10	10	0	1	1	10.764782	74.177383	0	15.85673	16.800983	29.985277	18.965754	87.7752	1.0526316	39.487141	112.62173	449.04816	43.311539	13.57278	12.17251	3.535048	10	10	0	1	1	10.222333	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	2008	3.4694681	77.47506	0	11.319748	15.936557	22.456839	25.124138	67.085999	.48486629	106.42944	1.3322158	141.78699	48.607761	65.802559	12.458786	1.726102	10	10	0	0	1	10.711997	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	97.504753	148.89923	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	18	2008	2.0672619	100	0	11.776597	18.79855	51.600788	7.1018562	26.990801	1.4285715	45.838192	6.4630136	296.25287	57.999744	44.384075	8.5475492	6.748498	.80000001	5.8000002	0	1	3.8	6.2868066	100	0	11.776597	18.72751	58.815281	6.9245358	24.8176	1.5384616	36.071941	93.251938	364.06998	48.409187	50.145119	7.9609995	3.72471	6	7	0	1	3.8	5.9313459	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	1.1575198	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	1.2601489	198.68689	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	100.58709	164.40079	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
