period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61	cc62	cc63	cc64	cc65	cc66	cc67	cc68	cc69	cc70	cc71	cc72	cc73	cc74	cc75	cc76	cc77	cc78	cc79	cc80	cc81	cc82	cc83	cc84	cc85	cc86	cc87	cc88	cc89	cc90	cc91
6	3	1998	29.880131	.62856954	2.0369833	1.2696362	.95058006	.005058202	-.59378499	.31683549	.099109918	-.55343616	-1.2451941	.20505643	.39686149	-.096344873	-.51487488	.17302999	.9070856	-.62252623	.98373431	-.13710351	.62856954	2.0369833	1.2696362	.91318965	.57303262	-.59995455	.13869502	.22558425	-.59962845	-1.1429548	.41728309	.28904161	-.040288739	-.8178162	-.60094678	.9070856	.68546009	1.0750201	-.12256473	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	2003	31.353262	.62856954	1.5525434	1.2696362	.97718138	-.51347011	-.56697267	.53584725	-.33827808	-.36665177	-1.2598392	-.23230486	.61562407	-.11466043	-.23947363	.17302999	.9070856	-1.4945171	.98373431	.047899634	.62856954	2.0369833	1.2696362	.95058006	.005058202	-.59378499	.31683549	.099109918	-.55343616	-1.2451941	.20505643	.39686149	-.096344873	-.51487488	.17302999	.9070856	-.62252623	.98373431	-.13710351	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	6	2003	34.03574	.62856954	1.0681036	1.0388422	.67467833	1.43777	-.87732196	.039503291	1.2404761	.9764204	1.5706834	-.026881866	.82320076	.12946303	-.40471438	.61530238	.9070856	-1.4945171	.98373431	-.43749976	.62856954	3.2480829	1.0388422	.61677313	1.4333304	-.86721981	-.16008425	.78244907	1.201086	.69499129	1.2371887	.5271281	4.2201219	-.48733473	.17302999	.9070856	-1.4945171	.98373431	-.84046072	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1983	18.783407	-1.4911765	-.26410609	1.308854	.94512111	-.44209504	.57828206	1.3324552	-.24012966	-1.2127944	-.60737365	-.34227639	.48436695	1.1538451	.11854799	-.10339028	.9070856	-1.4945171	-.020409979	.36033353	-.32787585	1.4314334	1.308854	.91318965	-.5482437	.40388739	1.2498703	-.17993347	-1.2313544	-.67926097	-.78644437	.29734948	.52957547	-1.3410786	-1.2090714	.9070856	-1.4945171	.98373431	.39567673	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	19.166832	-2.3009017	-.38521606	1.308854	.97718138	-.42133313	.71766806	1.4138441	.062403496	-1.1962669	-.31064016	-.0073927515	.62554449	3.6974809	.94475168	.56001842	.9070856	-1.4945171	-1.0245543	.31805333	-1.4911765	-.26410609	1.308854	.94512111	-.44209504	.57828206	1.3324552	-.24012966	-1.2127944	-.60737365	-.34227639	.48436695	1.1538451	.11854799	-.10339028	.9070856	-1.4945171	-.020409979	.36033353	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1993	24.257883	-2.6750934	-.38521606	1.308854	1.0046009	-.51831144	.8351742	1.4852964	-.35915035	-1.1876274	-.20894554	-.41711268	.91191423	-.024093719	.86213136	1.0022908	.9070856	-1.4945171	-.93326843	.74331254	-2.3009017	-.38521606	1.308854	.97718138	-.42133313	.71766806	1.4138441	.062403496	-1.1962669	-.31064016	-.0073927515	.62554449	3.6974809	.94475168	.56001842	.9070856	-1.4945171	-1.0245543	.31805333	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	27.468298	-2.5680327	-.38521606	1.308854	1.0302444	-.64146727	.92192459	1.5475259	-.39736491	-1.0848053	.15282714	-.37349564	1.1942066	-.14082183	.91721159	1.0022908	.9070856	-1.4945171	-.84198254	.83392698	-2.6750934	-.38521606	1.308854	1.0046009	-.51831144	.8351742	1.4852964	-.35915035	-1.1876274	-.20894554	-.41711268	.91191423	-.024093719	.86213136	1.0022908	.9070856	-1.4945171	-.93326843	.74331254	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	29.857622	-2.1696215	-.38521606	1.308854	1.050137	-.76813006	.96772444	1.6014081	-.43150091	-.81527036	.28134486	.88756549	1.22436	-.099592574	.99983197	1.0022908	.9070856	-1.4945171	-.65941083	.43463865	-2.5680327	-.38521606	1.308854	1.0302444	-.64146727	.92192459	1.5475259	-.39736491	-1.0848053	.15282714	-.37349564	1.1942066	-.14082183	.91721159	1.0022908	.9070856	-1.4945171	-.84198254	.83392698	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1978	32.740765	-2.1320629	-.38521606	1.6577911	.65281773	-.86537945	.69791764	1.3985457	-.2261463	-.95084542	-1.4755174	-.65908992	.89535403	-.10375115	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	.94816756	-2.0671704	-.38521606	1.6577911	.62332493	-.70673484	.55405527	1.3918917	-.16375895	-1.01405	-1.4600458	-.58200502	.73305553	-.10312473	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	.63798624	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1983	35.543716	-2.1977022	-.38521606	1.6577911	.68032539	-1.0184293	.85679483	1.3887373	-.28021532	-.93982166	-.71269286	-.70206743	1.057572	-.10938341	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	1.1265072	-2.1320629	-.38521606	1.6577911	.65281773	-.86537945	.69791764	1.3985457	-.2261463	-.95084542	-1.4755174	-.65908992	.89535403	-.10375115	1.2752331	1.2787111	-1.136256	.68546009	-1.2984117	.94816756	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
