period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61
7	6	2003	34.03574	100	2.4000001	13.997832	16.535578	95.644615	4.928041	51.960602	4.0119047	141.15469	59.220188	59.806541	9.5209789	80.059143	-2.2	7.5999999	1	0	6	6.9318309	100	6	13.997832	16.394094	95.538322	4.9884677	46.9874	3.2051282	154.09622	51.964218	135.23801	8.4992723	1300.8677	-2.8	6	1	0	6	6.2832885	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	27.468298	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	8.8322802	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	29.857622	63.429813	0	14.808763	17.452959	42.830132	15.964285	90.879204	1.0668564	37.947021	48.536751	114.37478	10.905325	11.700214	8	9	1	0	2.4000001	8.3354874	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	1993	56.34132	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	2003	51.265141	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	2008	50.09362	77.47506	0	11.319748	15.936557	22.456839	25.124138	67.085999	.48486629	106.42944	48.607761	65.802559	12.458786	1.726102	10	10	0	0	1	10.711997	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	18	2008	12.706159	100	0	11.776597	18.79855	51.600788	7.1018562	26.990801	1.4285715	45.838192	57.999744	44.384075	8.5475492	6.748498	.80000001	5.8000002	0	1	3.8	6.2868066	100	0	11.776597	18.72751	58.815281	6.9245358	24.8176	1.5384616	36.071941	48.409187	50.145119	7.9609995	3.72471	6	7	0	1	3.8	5.9313459	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	1988	14.498858	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	6.6158094	62.853107	0	13.910821	15.559031	77.480988	6.7145176	48.491798	2.132103	52.190163	52.276974	161.224	5.2809987	2847.0134	5.1999998	6.1999998	1	1	4	7.045711	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	27	1993	25.981573	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	6.711719	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	6.6158094	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	27	1998	30.726139	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	6.9229569	81.199165	0	13.910821	15.780651	73.626884	6.9852476	57.8708	2.2519417	48.723969	51.885841	87.650703	6.2011538	11.365054	9	9	1	1	2	6.711719	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	27	2003	34.245697	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	6.9229569	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	27	2008	34.528366	74.675201	0	13.910821	16.079107	63.271107	7.8112149	65.514999	1.2481674	75.521057	55.35965	42.326	8.6909609	7.5551739	7.5999999	7	1	1	3	7.3757901	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	32	1988	29.662825	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	7.3527093	100	0	13.247639	13.909161	90.896919	4.7387362	22.625999	3.8676238	122.84258	55.236347	26.991039	6.4890342	10.134658	6	9	0	1	2	6.7115655	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	32	1993	36.885418	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	7.9317527	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	7.3527093	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	32	1998	35.408016	100	0	13.247639	14.345446	68.285843	5.0377026	51.5238	2.4264705	94.629074	55.508854	16.219641	7.1885824	11.892666	7.8000002	9	0	1	2	8.0639095	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	7.9317527	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	34	1983	29.605993	70.063515	0	15.955577	18.681858	63.569695	6.9673014	68.104401	3.2051282	18.603912	56.25238	42.221741	9.772543	159.3502	-1.2	3.4000001	0	1	3.4000001	7.3240199	70	0	15.955577	18.568197	67.810028	6.8901181	63.596401	1.8181819	15.845852	67.38414	31.122133	9.4588099	55.730782	-4	2	0	1	4	7.2449389	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	34	1988	44.673504	71.45591	0	15.955577	18.78475	60.1367	7.2025733	72.297997	1.4285715	14.93623	57.663349	69.030243	10.13413	989.01978	7.5999999	9	1	1	2	7.6124296	70.063515	0	15.955577	18.681858	63.569695	6.9673014	68.104401	3.2051282	18.603912	56.25238	42.221741	9.772543	159.3502	-1.2	3.4000001	0	1	3.4000001	7.3240199	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	34	1993	45.565907	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	71.45591	0	15.955577	18.78475	60.1367	7.2025733	72.297997	1.4285715	14.93623	57.663349	69.030243	10.13413	989.01978	7.5999999	9	1	1	2	7.6124296	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	1998	41.665997	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	34	2003	26.080004	100	0	15.955577	19.019281	43.014462	9.0853977	82.1772	2.2875817	27.008324	54.265957	72.895622	11.825706	9.6995401	8	9	1	1	2.2	8.1341782	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	34	2008	31.354816	94.399788	0	15.955577	19.062534	39.26189	9.9874439	83.734596	1.0526316	24.614389	51.958664	67.282822	12.77033	7.1529198	8	9	1	1	2	8.9898481	100	0	15.955577	19.019281	43.014462	9.0853977	82.1772	2.2875817	27.008324	54.265957	72.895622	11.825706	9.6995401	8	9	1	1	2.2	8.1341782	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
