period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58
6	3	1998	29.880131	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	7.4153013	100	4	14.690979	17.118347	74.94075	6.5871291	54.432201	2.2242572	50.368752	36.735027	86.311401	7.6776681	29.398741	-5.1999998	3.2	1	1	6.1999998	7.4387007	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	2003	31.353262	100	3.2	14.690979	17.274702	48.927296	6.7844119	64.328201	1.2310606	63.789024	35.766525	47.548241	8.8046598	7.2033939	-1	6	1	0	6	7.7130532	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	7.4153013	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	6	2003	34.03574	100	2.4000001	13.997832	16.535578	95.644615	4.928041	51.960602	4.0119047	141.15469	59.220188	59.806541	9.5209789	80.059143	-2.2	7.5999999	1	0	6	6.9318309	100	6	13.997832	16.394094	95.538322	4.9884677	46.9874	3.2051282	154.09622	51.964218	135.23801	8.4992723	1300.8677	-2.8	6	1	0	6	6.2832885	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1983	18.783407	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	8.2158976	87.5	3	14.808763	17.118347	48.094734	12.591663	82.119797	1.5099715	13.97912	40.577187	14.48082	7.7063375	199.46796	-9	1	1	0	6	8.2727804	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	19.166832	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	8.14785	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	8.2158976	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	18	2008	12.706159	100	0	11.776597	18.79855	51.600788	7.1018562	26.990801	1.4285715	45.838192	57.999744	44.384075	8.5475492	6.748498	.80000001	5.8000002	0	1	3.8	6.2868066	100	0	11.776597	18.72751	58.815281	6.9245358	24.8176	1.5384616	36.071941	48.409187	50.145119	7.9609995	3.72471	6	7	0	1	3.8	5.9313459	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	50.616398	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2008	21.260931	100	0	11.633017	15.938205	83.204903	5.6911502	42.956001	2.9883642	44.400684	36.366428	25.651924	7.3964434	3.3367319	7	9	1	0	2	6.5679984	100	0	11.633017	15.782978	86.620316	5.7293682	39.935001	3.5149057	51.446087	37.093201	53.848042	6.7247791	2.290904	6	9	1	0	2.4000001	6.156353	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	27	2003	34.245697	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	74.666931	0	13.910821	15.889477	71.895103	7.3285933	60.860401	2.2649665	48.474628	56.60281	64.085899	8.0079565	6.3886681	9	9	1	1	1.2	6.9229569	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	27	2008	34.528366	74.675201	0	13.910821	16.079107	63.271107	7.8112149	65.514999	1.2481674	75.521057	55.35965	42.326	8.6909609	7.5551739	7.5999999	7	1	1	3	7.3757901	85.772705	0	13.910821	15.989926	68.520531	7.5950732	63.247002	2.0342457	54.330425	55.653168	65.834358	8.5844431	4.9858699	8.3999996	7.8000002	1	1	2.4000001	6.8682756	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	34	1983	29.605993	70.063515	0	15.955577	18.681858	63.569695	6.9673014	68.104401	3.2051282	18.603912	56.25238	42.221741	9.772543	159.3502	-1.2	3.4000001	0	1	3.4000001	7.3240199	70	0	15.955577	18.568197	67.810028	6.8901181	63.596401	1.8181819	15.845852	67.38414	31.122133	9.4588099	55.730782	-4	2	0	1	4	7.2449389	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	34	2008	31.354816	94.399788	0	15.955577	19.062534	39.26189	9.9874439	83.734596	1.0526316	24.614389	51.958664	67.282822	12.77033	7.1529198	8	9	1	1	2	8.9898481	100	0	15.955577	19.019281	43.014462	9.0853977	82.1772	2.2875817	27.008324	54.265957	72.895622	11.825706	9.6995401	8	9	1	1	2.2	8.1341782	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
