period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57
2	13	1978	32.740765	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	9.1619825	64.768768	0	15.85673	16.410103	44.300079	13.489901	85.6586	1.5384616	26.496618	34.107616	26.68042	9.2098999	10.646086	10	10	0	1	1	8.6627636	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	14	1988	50.933197	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	72.436829	0	11.319947	15.835711	28.786287	22.0756	65.496002	.26666668	68.62606	44.050762	41.327358	7.9897509	4.6915021	10	10	0	0	1	9.1294394	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	1993	56.34132	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14	1998	53.625286	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	2003	51.265141	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	2008	50.09362	77.47506	0	11.319748	15.936557	22.456839	25.124138	67.085999	.48486629	106.42944	48.607761	65.802559	12.458786	1.726102	10	10	0	0	1	10.711997	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	21	2003	50.278	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	87.684944	0	10.318243	16.118095	26.162348	25.061308	96.981598	0	137.72638	46.879303	117.8408	11.975632	1.0812594	10	10	0	0	1	10.126507	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	50.616398	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2008	21.260931	100	0	11.633017	15.938205	83.204903	5.6911502	42.956001	2.9883642	44.400684	36.366428	25.651924	7.3964434	3.3367319	7	9	1	0	2	6.5679984	100	0	11.633017	15.782978	86.620316	5.7293682	39.935001	3.5149057	51.446087	37.093201	53.848042	6.7247791	2.290904	6	9	1	0	2.4000001	6.156353	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	1988	14.498858	86.119537	0	13.910821	15.668119	75.009666	6.6958346	53.553799	2.537921	45.874344	50.95628	122.223	5.3537502	58.333359	9	9	1	1	2	6.6158094	62.853107	0	13.910821	15.559031	77.480988	6.7145176	48.491798	2.132103	52.190163	52.276974	161.224	5.2809987	2847.0134	5.1999998	6.1999998	1	1	4	7.045711	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
