period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40
3	10	1983	18.783407	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	8.2158976	87.5	3	14.808763	17.118347	48.094734	12.591663	82.119797	1.5099715	13.97912	40.577187	14.48082	7.7063375	199.46796	-9	1	1	0	6	8.2727804	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	19.166832	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	8.14785	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	8.2158976	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1993	24.257883	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	8.8322802	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	8.14785	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	27.468298	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	8.8322802	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	29.857622	63.429813	0	14.808763	17.452959	42.830132	15.964285	90.879204	1.0668564	37.947021	48.536751	114.37478	10.905325	11.700214	8	9	1	0	2.4000001	8.3354874	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	8.9781189	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1978	32.740765	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	9.1619825	64.768768	0	15.85673	16.410103	44.300079	13.489901	85.6586	1.5384616	26.496618	34.107616	26.68042	9.2098999	10.646086	10	10	0	1	1	8.6627636	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1983	35.543716	63.06282	0	15.85673	16.549376	36.837376	15.300754	85.580002	1.3333334	30.772429	40.300171	19.515881	10.329762	8.7782564	10	10	0	1	1	9.4490099	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	9.1619825	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13	1988	36.043884	60.741421	0	15.85673	16.624474	33.918526	16.290024	85.424004	1.25	32.343185	42.624836	22.92864	10.98873	7.157136	10	10	0	1	1	9.6772041	63.06282	0	15.85673	16.549376	36.837376	15.300754	85.580002	1.3333334	30.772429	40.300171	19.515881	10.329762	8.7782564	10	10	0	1	1	9.4490099	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	13	1993	41.524109	57.83905	0	15.85673	16.69445	32.513485	17.619452	85.823601	1.1764706	36.097652	41.86216	28.545919	11.42436	1.710936	10	10	0	1	1	9.8759394	60.741421	0	15.85673	16.624474	33.918526	16.290024	85.424004	1.25	32.343185	42.624836	22.92864	10.98873	7.157136	10	10	0	1	1	9.6772041	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	13	1998	37.318398	62.635983	0	15.85673	16.749136	31.554794	18.48382	86.741402	1.1111112	40.28928	42.611542	24.117781	11.673552	1.615607	10	10	0	1	1	10.016976	57.83905	0	15.85673	16.69445	32.513485	17.619452	85.823601	1.1764706	36.097652	41.86216	28.545919	11.42436	1.710936	10	10	0	1	1	9.8759394	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	13	2003	32.606533	74.177383	0	15.85673	16.800983	29.985277	18.965754	87.7752	1.0526316	39.487141	43.311539	13.57278	12.17251	3.535048	10	10	0	1	1	10.222333	62.635983	0	15.85673	16.749136	31.554794	18.48382	86.741402	1.1111112	40.28928	42.611542	24.117781	11.673552	1.615607	10	10	0	1	1	10.016976	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	13	2008	33.238079	73.089119	0	15.85673	16.887945	28.462711	19.497152	88.700401	1.9523809	41.698956	44.982212	13.827392	12.843622	4.1043301	10	10	0	1	1	10.764782	74.177383	0	15.85673	16.800983	29.985277	18.965754	87.7752	1.0526316	39.487141	43.311539	13.57278	12.17251	3.535048	10	10	0	1	1	10.222333	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	14	1988	50.933197	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	72.436829	0	11.319947	15.835711	28.786287	22.0756	65.496002	.26666668	68.62606	44.050762	41.327358	7.9897509	4.6915021	10	10	0	0	1	9.1294394	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	1993	56.34132	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14	1998	53.625286	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	2003	51.265141	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	2008	50.09362	77.47506	0	11.319748	15.936557	22.456839	25.124138	67.085999	.48486629	106.42944	48.607761	65.802559	12.458786	1.726102	10	10	0	0	1	10.711997	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	21	2003	50.278	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	87.684944	0	10.318243	16.118095	26.162348	25.061308	96.981598	0	137.72638	46.879303	117.8408	11.975632	1.0812594	10	10	0	0	1	10.126507	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	50.616398	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	34	1998	41.665997	57.300529	0	15.955577	18.939184	47.83794	8.321559	79.759201	1.25	17.71715	57.124577	58.576881	11.384536	8.7240982	8	9	1	1	2.8	8.3927164	62.290276	0	15.955577	18.864868	54.470577	7.7603483	76.134804	1.3333334	18.048422	57.157658	61.209278	10.576962	1145.7983	8	9	1	1	2.2	7.9414473	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	45	1978	30.564676	77.149994	0	16.023785	16.993217	35.830948	13.459776	75.642197	1.7028985	49.75708	36.826576	45.548481	10.719354	8.5907078	10	10	0	1	1	9.1485271	100	0	16.023785	16.933224	43.366093	12.803397	75.628197	1.8614719	44.828785	37.034523	54.281139	10.426517	9.2623997	10	10	0	1	1	8.6593313	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	45	1983	49.127182	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	77.149994	0	16.023785	16.993217	35.830948	13.459776	75.642197	1.7028985	49.75708	36.826576	45.548481	10.719354	8.5907078	10	10	0	1	1	9.1485271	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	45	1988	53.145271	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	45	1993	51.382404	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	45	1998	43.601913	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	45	2003	40.870209	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
