period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27	cc28	cc29	cc30	cc31	cc32	cc33	cc34	cc35	cc36	cc37	cc38	cc39	cc40	cc41	cc42	cc43	cc44	cc45	cc46	cc47	cc48	cc49	cc50	cc51	cc52	cc53	cc54	cc55	cc56	cc57	cc58	cc59	cc60	cc61	cc62	cc63	cc64	cc65	cc66	cc67	cc68	cc69	cc70	cc71	cc72	cc73	cc74	cc75	cc76	cc77	cc78	cc79	cc80	cc81	cc82	cc83	cc84	cc85	cc86	cc87	cc88	cc89	cc90	cc91
6	3	1998	29.880131	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	49578323968	100	4	14.690979	17.118347	74.94075	6.5871291	54.432201	2.2242572	50.368752	36.735027	86.311401	7.6776681	29.398741	-5.1999998	3.2	1	1	6.1999998	46382714880	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	3	2003	31.353262	100	3.2	14.690979	17.274702	48.927296	6.7844119	64.328201	1.2310606	63.789024	35.766525	47.548241	8.8046598	7.2033939	-1	6	1	0	6	73324855296	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	49578323968	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	6	2003	34.03574	100	2.4000001	13.997832	16.535578	95.644615	4.928041	51.960602	4.0119047	141.15469	59.220188	59.806541	9.5209789	80.059143	-2.2	7.5999999	1	0	6	17194694656	100	6	13.997832	16.394094	95.538322	4.9884677	46.9874	3.2051282	154.09622	51.964218	135.23801	8.4992723	1300.8677	-2.8	6	1	0	6	7130402816	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1983	18.783407	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	112699211776	87.5	3	14.808763	17.118347	48.094734	12.591663	82.119797	1.5099715	13.97912	40.577187	14.48082	7.7063375	199.46796	-9	1	1	0	6	117258919936	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1988	19.166832	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	112290627584	72.296562	.2	14.808763	17.196367	50.636185	13.634814	84.177597	1.4039409	15.048242	41.172844	40.985859	8.3517094	385.7738	1.6	5	1	0	3.8	112699211776	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1993	24.257883	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	234337206272	61.714081	0	14.808763	17.274702	51.133274	14.468559	86.205597	1.9368279	16.000284	43.631573	60.969524	8.8388939	1144.8917	7.5999999	7.4000001	1	0	1.6	112290627584	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1998	27.468298	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	287092277248	56.823685	0	14.808763	17.341698	48.811382	15.171429	87.986	1.1942959	16.497944	44.474213	36.520119	9.827117	34.231953	7	9	1	0	1.8	234337206272	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	2003	29.857622	63.429813	0	14.808763	17.452959	42.830132	15.964285	90.879204	1.0668564	37.947021	48.536751	114.37478	10.905325	11.700214	8	9	1	0	2.4000001	167138017280	58.222885	0	14.808763	17.404354	45.86274	15.690331	89.536598	1.1269841	22.420864	47.471855	39.122898	10.80127	-.604168	7.4000001	9	1	0	2	287092277248	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1978	32.740765	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	139084513280	64.768768	0	15.85673	16.410103	44.300079	13.489901	85.6586	1.5384616	26.496618	34.107616	26.68042	9.2098999	10.646086	10	10	0	1	1	81127809024	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1983	35.543716	63.06282	0	15.85673	16.549376	36.837376	15.300754	85.580002	1.3333334	30.772429	40.300171	19.515881	10.329762	8.7782564	10	10	0	1	1	195693412352	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	139084513280	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
