period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11
2	13	1978	20.925282	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	9.1619825	64.768768	0	15.85673	16.410103	44.300079	13.489901	85.6586	1.5384616	26.496618	34.107616	26.68042	9.2098999	10.646086	10	10	0	1	1	8.6627636	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	13	1983	22.41938	63.06282	0	15.85673	16.549376	36.837376	15.300754	85.580002	1.3333334	30.772429	40.300171	19.515881	10.329762	8.7782564	10	10	0	1	1	9.4490099	63.920673	0	15.85673	16.482164	40.501751	14.350421	85.824402	1.4285715	30.137421	33.97942	22.0805	9.7699699	10.459136	10	10	0	1	1	9.1619825	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4	13	1988	21.879416	60.741421	0	15.85673	16.624474	33.918526	16.290024	85.424004	1.25	32.343185	42.624836	22.92864	10.98873	7.157136	10	10	0	1	1	9.6772041	63.06282	0	15.85673	16.549376	36.837376	15.300754	85.580002	1.3333334	30.772429	40.300171	19.515881	10.329762	8.7782564	10	10	0	1	1	9.4490099	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
5	13	1993	24.017452	57.83905	0	15.85673	16.69445	32.513485	17.619452	85.823601	1.1764706	36.097652	41.86216	28.545919	11.42436	1.710936	10	10	0	1	1	9.8759394	60.741421	0	15.85673	16.624474	33.918526	16.290024	85.424004	1.25	32.343185	42.624836	22.92864	10.98873	7.157136	10	10	0	1	1	9.6772041	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	13	1998	23.154505	62.635983	0	15.85673	16.749136	31.554794	18.48382	86.741402	1.1111112	40.28928	42.611542	24.117781	11.673552	1.615607	10	10	0	1	1	10.016976	57.83905	0	15.85673	16.69445	32.513485	17.619452	85.823601	1.1764706	36.097652	41.86216	28.545919	11.42436	1.710936	10	10	0	1	1	9.8759394	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
7	13	2003	24.186604	74.177383	0	15.85673	16.800983	29.985277	18.965754	87.7752	1.0526316	39.487141	43.311539	13.57278	12.17251	3.535048	10	10	0	1	1	10.222333	62.635983	0	15.85673	16.749136	31.554794	18.48382	86.741402	1.1111112	40.28928	42.611542	24.117781	11.673552	1.615607	10	10	0	1	1	10.016976	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
8	13	2008	24.3001	73.089119	0	15.85673	16.887945	28.462711	19.497152	88.700401	1.9523809	41.698956	44.982212	13.827392	12.843622	4.1043301	10	10	0	1	1	10.764782	74.177383	0	15.85673	16.800983	29.985277	18.965754	87.7752	1.0526316	39.487141	43.311539	13.57278	12.17251	3.535048	10	10	0	1	1	10.222333	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
3	82	1983	24.602955	100	0	9.8130159	13.434285	67.276657	4.5899096	38.221401	2.2982285	90.87133	52.12468	28.37538	5.8268099	6.228828	9	9	0	1	2	7.4591637	100	0	9.8130159	13.321532	68.047554	4.336072	37.3498	1.9568557	89.870605	50.799656	17.058741	5.2892675	7.5528703	9	9	0	1	2	7.2766581	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	82	1988	23.743559	99.154709	0	9.8130159	13.491353	66.408707	4.9166808	40.375801	.46472034	102.59335	53.596931	33.798698	5.7629499	5.4478521	1	4.8000002	.60000002	1	5	7.4502468	100	0	9.8130159	13.434285	67.276657	4.5899096	38.221401	2.2982285	90.87133	52.12468	28.37538	5.8268099	6.228828	9	9	0	1	2	7.4591637	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	82	1993	28.555691	97.763092	0	9.8130159	13.534559	62.499428	4.9848256	43.942001	1.2651583	111.19298	54.421906	36.200878	6.0292473	4.2987022	5	6	.40000001	1	4.4000001	7.7059689	99.154709	0	9.8130159	13.491353	66.408707	4.9166808	40.375801	.46472034	102.59335	53.596931	33.798698	5.7629499	5.4478521	1	4.8000002	.60000002	1	5	7.4502468	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
