period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21
4	14	1988	36.823723	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	72.436829	0	11.319947	15.835711	28.786287	22.0756	65.496002	.26666668	68.62606	44.050762	41.327358	7.9897509	4.6915021	10	10	0	0	1	9.1294394	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14	1993	39.562767	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	72.317055	0	11.319947	15.846273	26.101954	21.492294	65.685402	.2631579	69.419174	42.257298	55.373219	8.906106	2.5758481	10	10	0	0	1	9.7307739	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	14	1998	41.033047	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	70.228325	0	11.319947	15.872149	26.166885	22.448759	65.786003	.51615053	69.359703	49.79306	61.250599	9.4482117	2.84338	10	10	0	0	1	10.135292	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	14	2003	40.912971	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	76.532242	0	11.319947	15.894952	25.695854	22.711035	65.800003	.25316456	81.268883	43.527016	66.244141	10.04312	.4228076	10	10	0	0	1	10.185601	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	14	2008	38.781807	77.47506	0	11.319748	15.936557	22.456839	25.124138	67.085999	.48486629	106.42944	48.607761	65.802559	12.458786	1.726102	10	10	0	0	1	10.711997	79.793327	0	11.319947	15.909799	24.192911	23.403061	66.240402	.49691358	96.489006	48.315159	65.958504	11.056755	1.597104	10	10	0	0	1	10.316314	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	21	2003	42.83931	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	87.684944	0	10.318243	16.118095	26.162348	25.061308	96.981598	0	137.72638	46.879303	117.8408	11.975632	1.0812594	10	10	0	0	1	10.126507	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	21	2008	42.600281	84.174591	0	10.318243	16.194344	25.618084	26.30629	97.390404	2	157.66937	37.969681	90.986038	13.623202	2.019598	8.3999996	7.5999999	0	0	1	10.680591	85.217979	0	10.318243	16.118095	25.735348	26.086	97.222397	0	148.50986	39.566898	99.019142	12.720386	2.110522	10	10	0	0	1	10.284338	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	45	1978	19.870735	77.149994	0	16.023785	16.993217	35.830948	13.459776	75.642197	1.7028985	49.75708	36.826576	45.548481	10.719354	8.5907078	10	10	0	1	1	9.1485271	100	0	16.023785	16.933224	43.366093	12.803397	75.628197	1.8614719	44.828785	37.034523	54.281139	10.426517	9.2623997	10	10	0	1	1	8.6593313	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	45	1983	23.160271	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	77.149994	0	16.023785	16.993217	35.830948	13.459776	75.642197	1.7028985	49.75708	36.826576	45.548481	10.719354	8.5907078	10	10	0	1	1	9.1485271	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	45	1988	23.702297	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	47.403988	0	16.023785	17.050076	31.822815	14.497365	76.077599	.80000001	51.25034	38.639256	57.30946	11.04132	6.4231858	10	10	0	1	1	9.4716177	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	45	1993	25.367357	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	44.607338	0	16.023785	17.111073	30.604544	15.927623	76.490799	1.5099715	52.541344	38.82811	72.193619	11.4784	4.0743361	10	10	0	1	1	9.784832	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	45	1998	20.280117	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	49.365067	0	16.023785	17.16877	30.335236	17.290426	77.237801	.71428573	60.813988	40.320194	93.691544	12.071505	1.91399	10	10	0	1	1	9.912796	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	45	2003	18.417442	45.068367	0	16.023785	17.268547	26.430641	18.661287	79.864403	.64516127	75.391846	43.236797	76.796761	12.963113	2.53476	10	10	0	1	1	10.228035	46.49593	0	16.023785	17.223267	28.929882	18.151485	78.756798	1.3563218	79.752922	42.211491	93.3395	12.52867	1.764714	10	10	0	1	1	9.9790487	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
