period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12	cc13	cc14	cc15	cc16	cc17	cc18	cc19	cc20	cc21	cc22	cc23	cc24	cc25	cc26	cc27
7	6	2003	34.03574	100	2.4000001	13.997832	16.535578	95.644615	4.928041	51.960602	4.0119047	141.15469	59.220188	59.806541	9.5209789	80.059143	-2.2	7.5999999	1	0	6	17194694656	100	6	13.997832	16.394094	95.538322	4.9884677	46.9874	3.2051282	154.09622	51.964218	135.23801	8.4992723	1300.8677	-2.8	6	1	0	6	7130402816	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2008	21.260931	100	0	11.633017	15.938205	83.204903	5.6911502	42.956001	2.9883642	44.400684	36.366428	25.651924	7.3964434	3.3367319	7	9	1	0	2	5999813632	100	0	11.633017	15.782978	86.620316	5.7293682	39.935001	3.5149057	51.446087	37.093201	53.848042	6.7247791	2.290904	6	9	1	0	2.4000001	3449791232	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	32	1988	29.125113	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	2230449408	100	0	13.247639	13.909161	90.896919	4.7387362	22.625999	3.8676238	122.84258	55.236347	26.991039	6.4890342	10.134658	6	9	0	1	2	903241728	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	32	1993	36.635555	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	4184856832	98.558182	0	13.247639	14.076688	87.803123	4.9150772	35.8494	3.2051282	113.4049	56.008572	25.62138	7.0684676	13.880244	6.8000002	9	0	1	1.6	2230449408	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	32	1998	35.408016	100	0	13.247639	14.345446	68.285843	5.0377026	51.5238	2.4264705	94.629074	55.508854	16.219641	7.1885824	11.892666	7.8000002	9	0	1	2	5410332160	99.315414	0	13.247639	14.220085	79.058296	4.9555912	46.1618	2.7619047	91.922218	56.978889	19.813841	7.0989738	8.3001575	7	9	0	1	1.6	4184856832	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	42	1998	17.980362	100	4	10.153468	15.646358	91.649895	5.8302016	7.8319998	1.5679256	16.558777	39.223038	143.78259	3.9751821	22.4401	-2.5999999	4.4000001	.80000001	0	6.5999999	1193145088	100	2.4000001	10.153468	15.590176	88.205566	5.9273367	6.835	2.0590825	23.796877	35.457264	105.13392	3.8941386	7.9957399	-2	1	.60000002	.60000002	6.4000001	1480449024	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	44	1988	16.608713	100	0	13.066237	16.248211	88.497032	6.9938054	38.286999	3.8181818	40.552845	47.806751	34.2369	7.1702914	-.31503099	-8	1	1	1	6	10802842624	100	0	13.066237	16.11668	87.646324	7.0433764	34.507599	2.3660734	46.589783	48.822975	27.208679	6.8063464	11.756918	-7.8000002	1	1	1	6	8529009664	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	44	1993	15.934001	100	0	13.066237	16.410103	86.729904	6.8399706	41.406601	3.2051282	38.70483	46.536465	77.357162	7.1153316	8.4514303	-4.8000002	5	1	1	6.1999998	10368253952	100	0	13.066237	16.248211	88.497032	6.9938054	38.286999	3.8181818	40.552845	47.806751	34.2369	7.1702914	-.31503099	-8	1	1	1	6	10802842624	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	44	1998	13.672748	100	0	13.066237	16.522671	82.027176	6.6331134	44.354401	2.7619047	40.455803	45.073887	95.721321	7.1473613	2.976198	-4	6	1	1	7	9567785984	100	0	13.066237	16.410103	86.729904	6.8399706	41.406601	3.2051282	38.70483	46.536465	77.357162	7.1153316	8.4514303	-4.8000002	5	1	1	6.1999998	10368253952	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	79	1988	19.582628	100	6	13.910821	17.625484	85.668159	5.4682856	12.1538	3.2082376	17.917456	36.986095	86.878319	4.8516927	.113802	-8	1	1	1	6.5999999	10384017408	100	6	13.910821	17.4676	84.611038	5.4342518	11.0358	3.2194815	22.695789	33.874454	55.440479	4.8274083	9.0069675	-7.4000001	1	1	1	7	7246191104	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	79	1993	15.621809	100	1.2	13.853635	17.796038	88.446747	5.5722437	13.3446	3.4999385	19.837376	40.097729	126.52422	5.0425296	12.726044	.75	6	1	1	5.5999999	9133433856	100	6	13.910821	17.625484	85.668159	5.4682856	12.1538	3.2082376	17.917456	36.986095	86.878319	4.8516927	.113802	-8	1	1	1	6.5999999	10384017408	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	79	1998	19.097038	100	3.4000001	13.815511	17.945021	90.123344	5.7144761	14.3742	2.9777505	32.917534	39.869873	99.970459	6.3561478	2.3965297	1	6	0	1	4.4000001	8050241024	100	1.2	13.853635	17.796038	88.446747	5.5722437	13.3446	3.4999385	19.837376	40.097729	126.52422	5.0425296	12.726044	.75	6	1	1	5.5999999	9133433856	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	79	2003	21.905397	82.890648	0	13.815511	18.074711	87.322968	5.8483191	15.3156	2.8618205	42.530937	31.16567	103.05966	7.6105843	3.435586	1	6	0	1	5	9335719936	100	3.4000001	13.815511	17.945021	90.123344	5.7144761	14.3742	2.9777505	32.917534	39.869873	99.970459	6.3561478	2.3965297	1	6	0	1	4.4000001	8050241024	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
