period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	cc1	cc2	cc3	cc4	cc5	cc6	cc7	cc8	cc9	cc10	cc11	cc12
6	3	1998	29.880131	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	7.4153013	100	4	14.690979	17.118347	74.94075	6.5871291	54.432201	2.2242572	50.368752	36.735027	86.311401	7.6776681	29.398741	-5.1999998	3.2	1	1	6.1999998	7.4387007	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7	3	2003	31.353262	100	3.2	14.690979	17.274702	48.927296	6.7844119	64.328201	1.2310606	63.789024	35.766525	47.548241	8.8046598	7.2033939	-1	6	1	0	6	7.7130532	100	4	14.690979	17.209705	61.342094	6.6240325	58.870998	2.0014832	53.029591	35.887875	73.647102	8.0497398	12.669454	-3	6	1	.40000001	6	7.4153013	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
8	18	2008	12.706159	100	0	11.776597	18.79855	51.600788	7.1018562	26.990801	1.4285715	45.838192	57.999744	44.384075	8.5475492	6.748498	.80000001	5.8000002	0	1	3.8	6.2868066	100	0	11.776597	18.72751	58.815281	6.9245358	24.8176	1.5384616	36.071941	48.409187	50.145119	7.9609995	3.72471	6	7	0	1	3.8	5.9313459	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
2	74	1978	45.354172	100	0	13.81095	17.57617	78.840248	6.3357196	43.695599	2.383657	55.131283	38.098724	101.2583	6.3638897	14.744474	-6	2	0	1	5	6.0604506	100	.60000002	13.81095	17.463217	80.336082	6.258502	42.9548	2.1352324	35.450111	38.796272	58.696419	4.0126696	7.6155481	-7	1	0	1	6	5.5806317	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3	74	1983	37.50668	100	0	13.81095	17.690237	77.403397	6.4572334	43.905998	2.1295888	62.810207	36.095558	125.785	8.2983389	7.7692399	-6	2	0	1	4.5999999	6.7259469	100	0	13.81095	17.57617	78.840248	6.3357196	43.695599	2.383657	55.131283	38.098724	101.2583	6.3638897	14.744474	-6	2	0	1	5	6.0604506	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4	74	1988	28.653294	100	0	13.81095	17.811295	75.359261	6.6551013	43.661999	2.2959807	48.190136	34.092392	99.278976	9.1010294	18.91028	-6	2	0	1	5	7.2813516	100	0	13.81095	17.690237	77.403397	6.4572334	43.905998	2.1295888	62.810207	36.095558	125.785	8.2983389	7.7692399	-6	2	0	1	4.5999999	6.7259469	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5	74	1993	32.564877	100	0	13.81095	17.909576	70.662941	7.0015421	43.079601	1.7251641	56.072025	35.451836	118.54712	9.4406986	12.497936	-6	2	0	1	5.5999999	6.7410159	100	0	13.81095	17.811295	75.359261	6.6551013	43.661999	2.2959807	48.190136	34.092392	99.278976	9.1010294	18.91028	-6	2	0	1	5	7.2813516	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
6	74	1998	26.738932	100	0	13.81095	17.992624	63.561665	7.3127322	42.803799	1.5881021	41.703716	39.957375	72.459282	9.7264442	5.3360634	-6	2	0	1	6	7.1792297	100	0	13.81095	17.909576	70.662941	7.0015421	43.079601	1.7251641	56.072025	35.451836	118.54712	9.4406986	12.497936	-6	2	0	1	5.5999999	6.7410159	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7	74	2003	30.027391	100	0	13.81095	18.083471	55.863888	7.5147772	42.935001	1.7570556	50.526585	34.817364	103.69205	9.982729	5.9426479	-5.4000001	2.8	0	1	6	7.0767527	100	0	13.81095	17.992624	63.561665	7.3127322	42.803799	1.5881021	41.703716	39.957375	72.459282	9.7264442	5.3360634	-6	2	0	1	6	7.1792297	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
8	74	2008	33.931358	100	0	13.81095	18.177055	50.862984	7.739068	43.235802	1.6150942	61.711807	32.645111	82.00692	10.908479	10.687876	-3	6	1	1	6	7.6018853	100	0	13.81095	18.083471	55.863888	7.5147772	42.935001	1.7570556	50.526585	34.817364	103.69205	9.982729	5.9426479	-5.4000001	2.8	0	1	6	7.0767527	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
2	112	1978	17.811655	59.264767	2	14.914123	20.319288	70.303299	6.1872182	22.3916	2.4597886	13.93119	37.386219	39.060822	7.5926213	8.263134	7.8000002	7	0	1	2.2	5.3089051	59.204079	2.5999999	14.914123	20.201904	72.270889	5.9737191	20.703199	2.0586827	9.6515045	36.500847	36.535301	7.6155472	9.8025923	8.6000004	8.6000004	0	1	2	4.9396038	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3	112	1983	20.498783	58.05048	3.8	14.914123	20.435122	68.357605	6.3343496	23.848	2.190134	14.098086	33.558113	39.410069	7.6976137	8.5186682	8	7	0	1	2	5.6446967	59.264767	2	14.914123	20.319288	70.303299	6.1872182	22.3916	2.4597886	13.93119	37.386219	39.060822	7.5926213	8.263134	7.8000002	7	0	1	2.2	5.3089051	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4	112	1988	25.431395	59.098579	5.5999999	14.914123	20.546059	66.158569	6.4520121	25.0674	2.209239	14.006076	33.30669	43.58392	7.8097854	8.6909838	8	7	0	1	2	5.8455997	58.05048	3.8	14.914123	20.435122	68.357605	6.3343496	23.848	2.190134	14.098086	33.558113	39.410069	7.6976137	8.5186682	8	7	0	1	2	5.6446967	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5	112	1993	28.096752	54.330715	6.8000002	14.914123	20.648159	63.040661	6.5810051	26.183001	1.9892482	19.774784	34.392029	73.261734	8.3281622	10.324294	8.1999998	7.4000001	0	1	3.5999999	5.8122892	59.098579	5.5999999	14.914123	20.546059	66.158569	6.4520121	25.0674	2.209239	14.006076	33.30669	43.58392	7.8097854	8.6909838	8	7	0	1	2	5.8455997	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6	112	1998	28.616413	53.606937	5	14.914123	20.738287	58.74641	6.805964	27.243	.82272464	24.311192	36.172855	68.890297	9.6323509	5.7549658	9	9	0	1	2	6.0476947	54.330715	6.8000002	14.914123	20.648159	63.040661	6.5810051	26.183001	1.9892482	19.774784	34.392029	73.261734	8.3281622	10.324294	8.1999998	7.4000001	0	1	3.5999999	5.8122892	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7	112	2003	29.263798	53.744057	5	14.914123	20.818577	53.828255	7.1474881	28.6078	2	33.109886	34.988518	81.624481	10.507072	4.152288	9	9	0	1	2	6.3176994	53.606937	5	14.914123	20.738287	58.74641	6.805964	27.243	.82272464	24.311192	36.172855	68.890297	9.6323509	5.7549658	9	9	0	1	2	6.0476947	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
2	114	1978	33.099831	97.868752	4.8000002	14.285514	17.403452	80.098259	5.7519698	48.114601	3.4023612	58.993336	47.038937	17.851471	8.0519552	17.633394	-6.4000001	1	1	1	5.4000001	7.6674299	98.32428	0	14.285514	17.248455	82.033638	6.2098579	43.932999	2.6264832	69.416618	50.978256	12.281266	7.2934294	22.45796	-10	1	1	0	5.25	6.7103648	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3	114	1983	24.744314	97.166435	13	14.285514	17.580122	85.048042	5.6155815	51.9142	4.2438574	29.826033	46.531178	29.227858	8.2106342	14.162004	-5.5999999	2	1	1	5.5999999	7.9106112	97.868752	4.8000002	14.285514	17.403452	80.098259	5.7519698	48.114601	3.4023612	58.993336	47.038937	17.851471	8.0519552	17.633394	-6.4000001	1	1	1	5.4000001	7.6674299	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	114	1988	19.367065	97.146309	7.5999999	14.285514	17.757929	90.085144	6.3262968	55.155998	3.1356602	22.437773	45.941513	49.757999	8.0735312	18.480261	-6	2	1	1	5.4000001	7.4267039	97.166435	13	14.285514	17.580122	85.048042	5.6155815	51.9142	4.2438574	29.826033	46.531178	29.227858	8.2106342	14.162004	-5.5999999	2	1	1	5.5999999	7.9106112	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
