period	cc	year	CG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	cc3	cc10	cc13	cc14	cc27	cc32	cc34	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc73	cc74	cc75	cc79	cc82	cc83	cc84	cc93	cc96	cc101	cc112	cc113	cc114	cc116	cc118	cc119	cc121	cc122	cc123	cc125	cc136	cc143	cc144	cc145	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc172	cc174	cc178	cc180	cc183	cc186	cc187	cc188	cc191	cc217	cc219	cc220	cc225	cc227	cc228	cc233	cc234	cc240	cc246	cc247	cc248	cc256	cc257	cc258	cc262	cc274
4	3	2005.5	33.397739	100	1.6	14.690979	17.311098	45.168419	6.7591696	67.1091	1.47314	67.79863	35.766525	30.463177	9.1929874	7.368001	.5	6	1	0	6	8.024272	100	4	14.690979	17.164026	68.141426	6.6055808	56.6516	2.1128702	51.699169	36.311451	79.979248	7.8637042	21.034098	-4.0999999	4.5999999	1	.69999999	6.0999999	7.427001	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	10	1995.5	14.896688	57.523285	0	14.808763	17.373026	47.337059	15.43088	88.761299	1.16064	19.459404	45.973034	37.82151	10.314193	16.813892	7.1999998	9	1	0	1.9	8.9051991	67.005318	.1	14.808763	17.235535	50.884731	14.051686	85.191597	1.6703844	15.524263	42.40221	49.867489	8.5953016	765.33276	4.5999999	6.1999998	1	0	2.7	8.1818733	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	2005.5	18.929899	63.429813	0	14.808763	17.47361	41.223415	16.093077	91.4207	.78983843	40.127644	46.504047	88.178543	11.057449	14.003507	8	9	1	0	2.2	8.6186237	57.523285	0	14.808763	17.373026	47.337059	15.43088	88.761299	1.16064	19.459404	45.973034	37.82151	10.314193	16.813892	7.1999998	9	1	0	1.9	8.9051991	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	13	1985.5	22.149397	61.902119	0	15.85673	16.586926	35.377949	15.795389	85.501999	1.2916666	31.557806	41.462502	21.22226	10.659246	7.9676962	10	10	0	1	1	9.5631065	64.297607	0	15.85673	16.446135	42.400913	13.920161	85.741501	1.4835165	28.317019	34.043518	24.380461	9.4899349	10.552611	10	10	0	1	1	8.9123735	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	13	1995.5	23.585978	60.237518	0	15.85673	16.721794	32.034142	18.051636	86.282501	1.1437908	38.193466	42.236851	26.33185	11.548956	1.6632715	10	10	0	1	1	9.9464579	61.902119	0	15.85673	16.586926	35.377949	15.795389	85.501999	1.2916666	31.557806	41.462502	21.22226	10.659246	7.9676962	10	10	0	1	1	9.5631065	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	13	2005.5	24.243351	73.633255	0	15.85673	16.844465	29.223993	19.231453	88.237801	1.5025063	40.593048	44.146877	13.700086	12.508066	3.819689	10	10	0	1	1	10.493558	60.237518	0	15.85673	16.721794	32.034142	18.051636	86.282501	1.1437908	38.193466	42.236851	26.33185	11.548956	1.6632715	10	10	0	1	1	9.9464579	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	14	1995.5	40.297909	73.380287	0	11.319947	15.883551	25.93137	22.579897	65.792999	.38465753	75.314293	46.660038	63.747372	9.7456656	1.6330938	10	10	0	0	1	10.160447	72.376938	0	11.319947	15.840992	27.44412	21.783947	65.590698	.26491228	69.022614	43.15403	48.350288	8.4479284	3.6336751	10	10	0	0	1	9.4301071	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	14	2005.5	39.847389	78.634193	0	11.319848	15.923178	23.324875	24.263599	66.6632	.49088994	101.45923	48.46146	65.880531	11.757771	1.661603	10	10	0	0	1	10.514155	73.380287	0	11.319947	15.883551	25.93137	22.579897	65.792999	.38465753	75.314293	46.660038	63.747372	9.7456656	1.6330938	10	10	0	0	1	10.160447	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	27	1995.5	21.943304	77.933044	0	13.910821	15.835064	72.760994	7.1569204	59.365601	2.2584541	48.5993	54.244324	75.868301	7.1045551	8.8768606	9	9	1	1	1.6	6.817338	82.241798	0	13.910821	15.613575	76.245323	6.7051764	51.0228	2.335012	49.032253	51.396511	141.7235	5.3173747	1452.6733	7.0999999	7.5999999	1	1	3	6.8307605	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	27	2005.5	28.357368	82.60199	0	13.910821	16.034517	65.895821	7.7031441	64.380997	1.6412066	64.925743	55.569305	54.080181	8.637702	6.2705221	8	7.4000001	1	1	2.7	7.1220326	77.933044	0	13.910821	15.835064	72.760994	7.1569204	59.365601	2.2584541	48.5993	54.244324	75.868301	7.1045551	8.8768606	9	9	1	1	1.6	6.817338	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
