period	cc	year	GG_7_GDP	centralization	warfare	area	population	depend15	depend64	urban	pop_growth	trade	gini_gross	debt	fdi_liab	inflation	democracy	pol_comp	presidential	plurality	pol_rights	gdp_pc	lcentralization	lwarfare	larea	lpopulation	ldepend15	ldepend64	lurban	lpop_growth	ltrade	lgini_gross	ldebt	lfdi_liab	linflation	ldemocracy	lpol_comp	lpresidential	lplurality	lpol_rights	lgdp_pc	per01	per02	per03	per04	per05	per06	per07	per08	per09	per10	per11	per12	per13	cc3	cc6	cc10	cc13	cc14	cc18	cc21	cc24	cc26	cc27	cc32	cc34	cc42	cc44	cc45	cc51	cc56	cc59	cc63	cc68	cc71	cc73	cc74	cc75	cc79	cc82	cc83	cc84	cc91	cc93	cc94	cc96	cc101	cc102	cc108	cc112	cc113	cc114	cc116	cc118	cc119	cc120	cc121	cc122	cc123	cc125	cc136	cc143	cc144	cc145	cc147	cc152	cc154	cc158	cc161	cc164	cc166	cc167	cc171	cc172	cc174	cc178	cc180	cc183	cc185	cc186	cc187	cc188	cc191	cc198	cc213	cc217	cc219	cc220	cc225	cc227	cc228	cc232	cc233	cc234	cc240	cc246	cc247	cc248	cc252	cc256	cc257	cc258	cc262	cc274	cc276
9	3	1997	30.377272	100	4	14.690979	17.194107	64.307343	6.5847898	57.912998	2.2605364	50.453503	35.751995	78.261002	7.9332337	9.2975903	-3	6	1	.66666669	6	7.3987827	100	4	14.690979	17.135593	72.756683	6.5487695	55.2146	1.1904762	50.904202	36.107632	96.599632	7.6804619	23.759666	-5.6666665	2.6666667	1	1	6.6666665	7.3911362	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	3	2000	29.757442	100	4	14.690979	17.238567	55.608059	6.7011366	60.861134	1.0752689	57.497875	36.070656	64.417564	8.3208504	11.149103	-3	6	1	0	6	7.4523935	100	4	14.690979	17.194107	64.307343	6.5847898	57.912998	2.2605364	50.453503	35.751995	78.261002	7.9332337	9.2975903	-3	6	1	.66666669	6	7.3987827	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	3	2003	32.668514	100	4	14.690979	17.270664	48.798225	6.7932348	64.328201	1.0416666	62.986786	35.766525	49.7962	8.8150635	7.2995868	-1.3333334	6	1	0	6	7.6789865	100	4	14.690979	17.238567	55.608059	6.7011366	60.861134	1.0752689	57.497875	36.070656	64.417564	8.3208504	11.149103	-3	6	1	0	6	7.4523935	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	3	2006	30.400196	100	0	14.690979	17.32197	43.746201	6.7785578	67.755997	1.9904932	71.244011	35.504459	22.156366	9.2396574	11.02248	2	6	1	0	6	8.1684656	100	4	14.690979	17.270664	48.798225	6.7932348	64.328201	1.0416666	62.986786	35.766525	49.7962	8.8150635	7.2995868	-1.3333334	6	1	0	6	7.6789865	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	6	2003	35.736668	100	2	13.997832	16.545074	95.730042	4.9276733	51.960602	4.6031747	138.45171	59.220188	59.382801	9.579071	89.052467	-2	8	1	0	6	6.857903	100	6	13.997832	16.454567	95.558205	4.9507437	48.984135	2.5641026	155.29044	58.21545	111.77617	9.024929	360.49799	-3	6	1	0	6	6.3518491	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	6	2006	31.909372	100	0	13.997832	16.647568	94.866493	4.9133768	54.8302	4.0441175	125.29787	59.031342	29.150101	9.6235399	17.491301	-2	8	1	0	6	7.849432	100	2	13.997832	16.545074	95.730042	4.9276733	51.960602	4.6031747	138.45171	59.220188	59.382801	9.579071	89.052467	-2	8	1	0	6	6.857903	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	10	1982	18.239738	73.65345	.33333334	14.808763	17.182806	50.403389	13.467029	83.747398	1.1904762	14.9618	41.205418	34.657902	8.2754297	232.11034	-2.6666667	3.6666667	1	0	5	8.2780876	87.5	3	14.808763	17.135593	48.85334	12.845673	82.503403	1.2345679	12.77775	41.699665	14.2545	7.8170328	133.19659	-9	1	1	0	6	8.5260401	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	10	1985	20.374561	70.32383	0	14.808763	17.227638	51.056545	13.970394	85.02433	2.2605364	14.94728	41.492577	52.238899	8.5272045	435.6665	8	7	1	0	2	8.1291132	73.65345	.33333334	14.808763	17.182806	50.403389	13.467029	83.747398	1.1904762	14.9618	41.205418	34.657902	8.2754297	232.11034	-2.6666667	3.6666667	1	0	5	8.2780876	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	10	1988	18.328316	60.761158	0	14.808763	17.270664	51.227421	14.472703	86.205597	1.0752689	16.866899	43.896332	66.150299	8.801506	1191.069	7.6666665	7	1	0	1.6666666	8.0745764	70.32383	0	14.808763	17.227638	51.056545	13.970394	85.02433	2.2605364	14.94728	41.492577	52.238899	8.5272045	435.6665	8	7	1	0	2	8.1291132	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	10	1991	20.34894	55.733799	0	14.808763	17.32197	50.202862	14.923344	87.318001	2.0517676	14.429263	44.01878	46.6301	9.3972826	740.55463	7	9	1	0	1.3333334	8.6183605	60.761158	0	14.808763	17.270664	51.227421	14.472703	86.205597	1.0752689	16.866899	43.896332	66.150299	8.801506	1191.069	7.6666665	7	1	0	1.6666666	8.0745764	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
