[[1]]
                      Prob          Low           Med            Up
EV_NN4_GG7_1    0.14444444 -0.628378501  0.0000000000  0.5139615560
EV_NN4_GG7_2    0.23333333 -1.411258627  0.0000000000  0.1453176340
EV_NN4_GG7_3    0.18888889 -0.836897457  0.0000000000  1.2438378435
EV_NN4_GG7_4    0.95555556 -1.244399624  0.1491627484  1.9809886117
EV_NN4_GG7_5    0.17777778 -0.949373961  0.0000000000  0.0961806044
per03           1.00000000 -1.990795598 -0.8695317737  0.0826719646
per04           1.00000000 -0.253900706  0.8033755507  1.9748720158
per05           1.00000000 -1.067564043  0.2041231123  1.2989764822
per06           1.00000000  0.285191528  1.5394027991  2.6433237742
per07           1.00000000  0.049027761  1.4043836715  2.5529409286
per08           1.00000000 -0.706700918  0.7668257500  2.2090178811
cc2             1.00000000 -1.985278171  0.1020853935  2.1280865579
cc3             1.00000000 -3.043647731 -1.0006991244  1.0503910063
cc4             1.00000000 -1.259533904  0.0681657426  1.7902510385
cc5             1.00000000 -1.783560427 -0.1051698812  1.4206994009
cc6             1.00000000 -1.556659262  0.1516115772  1.8380070551
cc7             1.00000000 -1.987255285 -0.1273527244  1.3268623635
cc8             1.00000000 -2.047349665  0.1660855578  2.2508020980
cc9             1.00000000 -1.332326408  0.1390946818  2.5396084585
cc10            1.00000000 -1.524764145  0.4047528411  1.8031705195
cc11            1.00000000 -1.109207793  0.9570268681  2.2241026725
cc12            1.00000000 -1.986762029 -0.0092487509  1.5425087478
cc13            1.00000000 -2.042744861  0.0807655392  1.8374961751
cc14            1.00000000 -3.335383262 -1.9374741348 -0.1555640910
cc15            1.00000000 -1.867468628  0.0533509004  2.0378287187
cc16            1.00000000 -1.798221345 -0.1867678923  1.7169475138
cc17            1.00000000 -1.627671041  0.1780147363  1.8779584513
cc18            1.00000000 -1.373596180  0.3439037292  2.4233836558
cc19            1.00000000 -1.453254557  0.0696241503  1.8425540079
cc20            1.00000000 -1.909646523 -0.0042640634  1.4264321010
cc21            1.00000000 -1.374345942 -0.0004487171  1.4477766728
cc22            1.00000000 -1.618955038  0.2318320422  1.6965019080
cc23            1.00000000 -1.077906479  0.3207324242  1.7251982604
cc24            1.00000000 -1.909170248 -0.6245090366  0.9224848321
cc25            1.00000000 -1.100850062  0.1636016223  1.7657683381
cc26            1.00000000 -1.717711790 -0.1881328074  1.5391431360
cc27            1.00000000 -1.127378939  0.2229010674  1.9446719685
cc28            1.00000000 -1.776661877  0.1729407067  1.9736313709
cc29            1.00000000 -1.486539342  0.0952365773  1.8237103571
cc30            1.00000000 -1.450154973  0.4456664035  1.9768682229
cc31            1.00000000 -1.384781375 -0.0957899475  1.9468751461
cc32            1.00000000 -2.150358533 -0.3775129911  1.7122042515
cc33            1.00000000 -2.250078297 -0.2086177708  2.1788002176
cc34            1.00000000 -2.057755778 -0.4170029801  1.1011665006
cc35            1.00000000 -1.410352336  0.5861296689  2.5195600500
cc36            1.00000000 -1.244516168  0.2841434488  1.9647672129
cc37            1.00000000 -1.055608859  0.4862898800  2.0543428940
cc38            1.00000000 -1.437087187  0.3541023729  2.1983798287
cc39            1.00000000 -1.933080857 -0.3023864483  1.4488211037
cc40            1.00000000 -1.909603778 -0.1241295633  1.4876410392
cc41            1.00000000 -1.440187672  0.1210179021  1.8870289960
cc42            1.00000000 -1.869604622  0.0913380744  1.6074519096
cc43            1.00000000 -1.673833104 -0.0883719281  1.7009279037
cc44            1.00000000 -2.754725853 -0.3049424069  1.5793080562
cc45            1.00000000 -1.947776620  0.0234418494  1.6744418220
cc46            1.00000000 -2.314426077  0.0231581563  1.7143110882
cc47            1.00000000 -1.527649995  0.0963331060  1.9063224545
cc48            1.00000000 -1.750217849  0.1454463585  1.7838193470
cc49            1.00000000 -2.305456288 -0.4080474115  1.4363797401
cc50            1.00000000 -1.717805031  0.4199430300  2.6066182549
cc51            1.00000000 -1.572660556 -0.0518647068  1.7694636478
cc52            1.00000000 -1.986844547 -0.2606468028  1.6521128455
cc53            1.00000000 -1.124264576  0.8028495823  2.7279654018
cc54            1.00000000 -1.756090146  0.1413162202  1.4730353842
cc55            1.00000000 -1.719387958  0.1108011884  1.7248158466
cc56            1.00000000 -1.355388262 -0.0309071995  1.4799656334
cc57            1.00000000 -1.121559792  0.3136678961  1.8900672670
cc58            1.00000000 -1.850164946  0.1637246186  1.5579100257
cc59            1.00000000 -1.432801127  0.0809607789  1.9932396673
cc60            1.00000000 -1.946517459  0.1742260556  2.0609631202
cc61            1.00000000 -2.166428004 -0.4664864669  1.1525293892
cc62            1.00000000 -1.857278443  0.1269635659  2.3526082622
cc63            1.00000000 -2.088648780 -0.2183852806  1.5342951559
cc64            1.00000000 -2.096468981  0.0988716860  1.6634913397
cc65            1.00000000 -2.062069051  0.0173619460  2.1311626111
cc66            1.00000000 -1.145231489  0.1422820289  1.6953747373
cc67            1.00000000 -1.591107870  0.0928894559  1.5751001395
cc68            1.00000000 -1.594010654 -0.0968901891  1.9846366381
cc69            1.00000000 -1.829112912 -0.1442466078  1.9374250805
cc70            1.00000000 -1.751858931  0.1232498334  1.7034165146
cc71            1.00000000 -2.475477799 -0.4067975501  1.5427076467
cc72            1.00000000 -1.650098160 -0.1411903767  1.7554639651
cc73            1.00000000 -1.986895820 -0.0157428698  1.9533055870
cc74            1.00000000 -2.513367488 -0.8271933207  1.1022382125
cc75            1.00000000 -2.245582591 -0.7776320209  1.3551948019
cc76            1.00000000 -1.284031306  0.2936906249  2.0549337604
cc77            1.00000000 -1.904618583 -0.1284332728  1.4382535849
cc78            1.00000000 -3.264026400 -1.0575858185  0.6835631320
cc79            1.00000000 -2.221544903 -0.3471229966  1.2427140377
cc80            1.00000000 -1.373223248  0.2253049927  2.1334838656
cc81            1.00000000 -1.842191341 -0.1893281119  1.8002303591
cc82            1.00000000 -2.360613548  0.1163257214  1.7505340857
cc83            1.00000000 -0.996476010  0.3212462885  1.9528735164
cc84            1.00000000 -1.460344000  0.2964730994  2.0047890623
cc85            1.00000000 -1.643888443  0.0503196746  1.5340792987
cc86            1.00000000 -0.913386462  0.6862255201  2.1607510245
cc87            1.00000000 -2.971437548 -1.1810905042  0.5404863767
cc88            1.00000000 -1.134004797  0.5586071538  2.1599359844
cc89            1.00000000 -0.763950013  0.4490379945  2.1149221241
cc90            1.00000000 -2.321002059 -0.1128516289  1.5852524892
cc91            1.00000000 -1.498489618  0.5623188808  2.1387298211
1               1.00000000 -0.966546648  0.6347834931  2.4750968135
lcentralization 1.00000000  0.830639496  0.8778281377  0.9192387427
lwarfare        0.18888889 -0.200113681  0.0000000000  0.1525264151
larea           0.17777778 -0.611249878  0.0000000000  0.0000000000
lpopulation     0.53333333 -0.169997182  0.0000000000  0.7785242323
ldepend15       0.03333333  0.000000000  0.0000000000  0.0511613123
ldepend64       0.03333333 -0.077651822  0.0000000000  0.0000000000
lurban          0.06666667 -0.001962723  0.0000000000  0.0004598239
lpop_growth     0.48888889 -0.507599552  0.0000000000  0.7575706385
ltrade          0.23333333  0.000000000  0.0000000000  0.0274411548
lgini_gross     0.63333333  0.000000000  0.0823322969  0.1683289210
ldebt           0.01111111  0.000000000  0.0000000000  0.0000000000
lfdi_liab       0.67777778 -0.823616981 -0.2326145391  0.0142360109
linflation      0.00000000  0.000000000  0.0000000000  0.0000000000
ldemocracy      0.84444444 -0.136530243  0.0378168764  0.2395476751
lpol_comp       0.02222222  0.000000000  0.0000000000  0.0000000000
lpresidential   0.17777778  0.000000000  0.0000000000  1.6231076742
lplurality      0.05555556  0.000000000  0.0000000000  0.0428238528
lpol_rights     1.00000000  0.110990715  0.7185016377  1.5525267482
lgdp_pc         0.87777778  0.000000000  0.4372707044  1.3667915749
                         Mean           SD      CondMean      CondSD
EV_NN4_GG7_1    -5.361590e-04 0.2414420008 -0.0037118702 0.657522756
EV_NN4_GG7_2    -1.704747e-01 0.4921563129 -0.7306059197 0.805091572
EV_NN4_GG7_3     5.061321e-02 0.5178399464  0.2679522749 1.195723114
EV_NN4_GG7_4     2.462677e-01 0.8141024029  0.2577220007 0.831242924
EV_NN4_GG7_5    -4.965242e-02 0.3610818285 -0.2792948655 0.839746805
per03           -9.144897e-01 0.5813992154 -0.9144897148 0.581399215
per04            7.926805e-01 0.6393647902  0.7926804965 0.639364790
per05            2.034141e-01 0.6453854553  0.2034141166 0.645385455
per06            1.487276e+00 0.6127026325  1.4872764150 0.612702633
per07            1.424275e+00 0.6412837963  1.4242753357 0.641283796
per08            7.754938e-01 0.7668698641  0.7754938368 0.766869864
cc2              1.392558e-01 1.0699225527  0.1392558082 1.069922553
cc3             -8.857148e-01 0.9923819514 -0.8857147612 0.992381951
cc4              1.463697e-01 0.8179318818  0.1463697410 0.817931882
cc5             -1.266862e-01 0.8484142738 -0.1266861837 0.848414274
cc6              1.199850e-01 0.9351913616  0.1199849752 0.935191362
cc7             -1.681632e-01 0.8475090808 -0.1681632377 0.847509081
cc8              1.292204e-01 1.1320312934  0.1292204178 1.132031293
cc9              2.852484e-01 1.0478068249  0.2852484319 1.047806825
cc10             2.840888e-01 0.8684153665  0.2840888405 0.868415367
cc11             8.054766e-01 0.9505496135  0.8054766491 0.950549614
cc12            -5.920462e-02 0.9261605656 -0.0592046194 0.926160566
cc13            -5.469088e-02 0.9462835197 -0.0546908772 0.946283520
cc14            -1.911492e+00 0.8459470515 -1.9114922271 0.845947052
cc15            -1.693161e-02 0.9761656419 -0.0169316084 0.976165642
cc16            -8.503084e-02 0.9464162565 -0.0850308354 0.946416257
cc17             1.744168e-01 1.0045275179  0.1744168315 1.004527518
cc18             4.478632e-01 1.0484271143  0.4478632351 1.048427114
cc19             1.161372e-01 0.8426195014  0.1161371853 0.842619501
cc20            -2.059027e-02 0.9270840816 -0.0205902653 0.927084082
cc21             1.969068e-02 0.7467067650  0.0196906802 0.746706765
cc22             1.633086e-01 0.9077792208  0.1633086259 0.907779221
cc23             3.542287e-01 0.7627766629  0.3542286865 0.762776663
cc24            -5.989815e-01 0.7628765169 -0.5989814890 0.762876517
cc25             2.010437e-01 0.7739940935  0.2010437201 0.773994093
cc26            -1.738753e-01 0.9094327913 -0.1738753316 0.909432791
cc27             3.410815e-01 0.9213419449  0.3410814515 0.921341945
cc28             6.699824e-02 0.9913689874  0.0669982427 0.991368987
cc29             8.317956e-02 0.9636608799  0.0831795566 0.963660880
cc30             4.786858e-01 0.8789552828  0.4786857559 0.878955283
cc31             3.879277e-02 0.9755649934  0.0387927657 0.975564993
cc32            -2.843758e-01 1.0579264543 -0.2843757593 1.057926454
cc33            -5.564680e-02 1.2164683427 -0.0556467998 1.216468343
cc34            -4.055680e-01 0.8384585903 -0.4055680426 0.838458590
cc35             5.369849e-01 0.9556138389  0.5369849458 0.955613839
cc36             2.647282e-01 0.9003197945  0.2647282192 0.900319794
cc37             5.227177e-01 0.8333845427  0.5227177174 0.833384543
cc38             3.578879e-01 0.9552115906  0.3578879254 0.955211591
cc39            -2.709381e-01 0.9667277814 -0.2709380939 0.966727781
cc40            -1.502465e-01 0.9040539519 -0.1502465089 0.904053952
cc41             2.408827e-01 0.9149792706  0.2408827111 0.914979271
cc42             7.547000e-02 0.8805836763  0.0754699951 0.880583676
cc43            -3.009253e-02 0.9295419443 -0.0300925256 0.929541944
cc44            -3.059340e-01 1.0913614844 -0.3059340253 1.091361484
cc45             5.393411e-02 1.0353476845  0.0539341053 1.035347684
cc46             3.567012e-02 0.9973842114  0.0356701231 0.997384211
cc47             1.807565e-01 0.9828009992  0.1807565071 0.982800999
cc48             1.117878e-01 0.9424510551  0.1117878219 0.942451055
cc49            -3.813230e-01 1.0282884858 -0.3813230020 1.028288486
cc50             3.661292e-01 1.0893642049  0.3661291910 1.089364205
cc51             2.393085e-02 0.8998172504  0.0239308503 0.899817250
cc52            -1.952643e-01 0.9992384587 -0.1952643492 0.999238459
cc53             8.055499e-01 0.9680186664  0.8055499225 0.968018666
cc54             1.005838e-01 0.8483318892  0.1005838050 0.848331889
cc55             5.111177e-02 0.9586639778  0.0511117727 0.958663978
cc56             4.225076e-02 0.8195455504  0.0422507566 0.819545550
cc57             3.446939e-01 0.7519858691  0.3446939146 0.751985869
cc58             7.491504e-02 0.8808131255  0.0749150355 0.880813125
cc59             1.460766e-01 0.9326517297  0.1460765803 0.932651730
cc60             8.880910e-02 0.9715666053  0.0888091033 0.971566605
cc61            -4.186781e-01 0.9111340715 -0.4186780608 0.911134071
cc62             1.539378e-01 1.0010301426  0.1539378493 1.001030143
cc63            -1.670374e-01 0.9300739426 -0.1670374096 0.930073943
cc64            -6.931338e-02 1.0308150146 -0.0693133772 1.030815015
cc65             5.623353e-02 1.0407699728  0.0562335280 1.040769973
cc66             1.736455e-01 0.7968486812  0.1736455244 0.796848681
cc67             6.410051e-02 0.8248108217  0.0641005077 0.824810822
