[[1]]
                       Prob           Low          Med           Up
EV_NN4_CG7_1    0.903777778 -1.855973e+00 -0.032605223  1.612094529
EV_NN4_CG7_2    0.325244444 -2.027665e+00  0.000000000  0.599180673
EV_NN4_CG7_3    0.249133333 -1.043211e+00  0.000000000  1.280258203
per03           1.000000000 -2.274555e+00 -0.897809422  0.434830599
per04           1.000000000 -6.515808e-01  0.693568253  1.963200637
per05           1.000000000 -1.026488e+00  0.194086592  1.476248313
per06           1.000000000  2.702057e-01  1.565674091  2.789179686
per07           1.000000000  2.456395e-01  1.565189727  2.836241325
per08           1.000000000 -4.939869e-01  0.897544919  2.349198648
cc2             1.000000000 -1.847333e+00  0.077931907  1.928496261
cc3             1.000000000 -2.606692e+00 -0.734498424  1.037953482
cc4             1.000000000 -1.663893e+00  0.187710060  1.926779404
cc5             1.000000000 -1.801509e+00  0.043352416  1.839316110
cc6             1.000000000 -1.847769e+00 -0.001599124  1.926519622
cc7             1.000000000 -1.849560e+00  0.059023612  1.943947210
cc8             1.000000000 -1.809741e+00  0.097452242  1.991035855
cc9             1.000000000 -1.701796e+00  0.109195092  1.914816392
cc10            1.000000000 -1.869309e+00 -0.014079566  1.871431078
cc11            1.000000000 -1.337137e+00  0.531960494  2.255670797
cc12            1.000000000 -1.921312e+00 -0.022791211  1.902736159
cc13            1.000000000 -1.851697e+00  0.037802223  1.936506420
cc14            1.000000000 -3.783622e+00 -1.964352756 -0.175275389
cc15            1.000000000 -1.710982e+00  0.064947513  1.862114522
cc16            1.000000000 -1.930399e+00 -0.136185473  1.625736742
cc17            1.000000000 -1.677107e+00  0.070036794  1.844717047
cc18            1.000000000 -1.593363e+00  0.277429916  2.075012093
cc19            1.000000000 -1.833313e+00 -0.047201256  1.711376731
cc20            1.000000000 -1.631715e+00  0.120554829  1.991379291
cc21            1.000000000 -1.827595e+00  0.050881371  1.989007264
cc22            1.000000000 -1.405402e+00  0.353876897  2.239944512
cc23            1.000000000 -1.583611e+00  0.199133010  2.059169962
cc24            1.000000000 -2.271131e+00 -0.358831435  1.470008720
cc25            1.000000000 -1.839277e+00 -0.042009191  1.790256642
cc26            1.000000000 -1.781790e+00  0.065547182  1.867624069
cc27            1.000000000 -1.629009e+00  0.119590820  1.934859888
cc28            1.000000000 -1.884909e+00  0.038076565  1.885425785
cc29            1.000000000 -1.762017e+00  0.163095432  2.051718746
cc30            1.000000000 -1.263976e+00  0.499101869  2.332975199
cc31            1.000000000 -1.631094e+00  0.104170119  1.838513587
cc32            1.000000000 -1.945533e+00  0.002934663  1.901160696
cc33            1.000000000 -1.929034e+00  0.029369136  1.924706347
cc34            1.000000000 -2.497428e+00 -0.570464508  1.235996693
cc35            1.000000000 -1.217110e+00  0.630859459  2.392492477
cc36            1.000000000 -1.818580e+00  0.028340390  1.805825490
cc37            1.000000000 -1.276170e+00  0.488639884  2.243922580
cc38            1.000000000 -1.659383e+00  0.211298748  2.050057095
cc39            1.000000000 -1.833613e+00 -0.034792923  1.739899137
cc40            1.000000000 -1.838989e+00  0.014856946  1.935389288
cc41            1.000000000 -1.840953e+00 -0.014295228  1.813610773
cc42            1.000000000 -1.596750e+00  0.295467024  2.132135969
cc43            1.000000000 -1.764971e+00  0.057953334  1.844552729
cc44            1.000000000 -2.059117e+00 -0.232983576  1.525051444
cc45            1.000000000 -1.892725e+00 -0.014657022  1.887549225
cc46            1.000000000 -1.837828e+00  0.020345218  1.930514030
cc47            1.000000000 -1.770345e+00  0.056733532  1.953183975
cc48            1.000000000 -1.701177e+00  0.180884840  2.001575992
cc49            1.000000000 -2.105337e+00 -0.273836609  1.554313393
cc50            1.000000000 -1.794107e+00  0.111375856  2.078591900
cc51            1.000000000 -2.031753e+00 -0.160035697  1.696425636
cc52            1.000000000 -2.290916e+00 -0.475978877  1.300294526
cc53            1.000000000 -1.099401e+00  0.805700778  2.707875265
cc54            1.000000000 -1.741997e+00  0.053452774  1.840233238
cc55            1.000000000 -2.017111e+00 -0.120907124  1.771012598
cc56            1.000000000 -1.772690e+00  0.097788144  1.972721414
cc57            1.000000000 -1.734437e+00  0.082489822  1.860923307
cc58            1.000000000 -1.382167e+00  0.395024336  2.219644411
cc59            1.000000000 -1.773577e+00  0.138702749  2.047613018
cc60            1.000000000 -1.782679e+00  0.013116245  1.918517054
cc61            1.000000000 -2.151994e+00 -0.427496372  1.380332803
cc62            1.000000000 -1.329796e+00  0.422300822  2.194209395
cc63            1.000000000 -1.670646e+00  0.098248429  1.894064306
cc64            1.000000000 -1.929634e+00 -0.039368599  1.872256498
cc65            1.000000000 -1.857021e+00  0.052625842  1.851851288
cc66            1.000000000 -1.537911e+00  0.232161556  2.035617403
cc67            1.000000000 -1.828539e+00 -0.092188604  1.673729624
cc68            1.000000000 -1.708133e+00  0.107291800  1.885692479
cc69            1.000000000 -1.788288e+00  0.131346818  2.043495902
