[[1]]
                       Prob          Low           Med          Up
EV_NN8_GG7_1    0.673877778 -1.812702895  0.000000e+00 1.497844787
EV_NN8_GG7_2    0.703633333 -2.145582080 -5.372325e-02 1.043893541
EV_NN8_GG7_3    0.706666667 -1.042501976  7.703103e-02 2.168736768
EV_NN8_GG7_4    0.178400000 -0.958037129  0.000000e+00 0.967663031
per03           1.000000000 -2.187265969 -8.772169e-01 0.457634867
per04           1.000000000 -0.645867713  6.191675e-01 1.913738975
per05           1.000000000 -1.048144729  1.722965e-01 1.386302772
per06           1.000000000  0.117029222  1.368519e+00 2.559472446
per07           1.000000000  0.059355683  1.300430e+00 2.580173737
per08           1.000000000 -0.662901545  7.399482e-01 2.140144841
cc2             1.000000000 -2.061771738 -5.048390e-02 1.873759637
cc3             1.000000000 -2.497513720 -4.739796e-01 1.466684788
cc4             1.000000000 -1.423835266  4.286003e-01 2.254365254
cc5             1.000000000 -1.874894801 -8.034976e-02 1.651167840
cc6             1.000000000 -1.707588339  2.283010e-01 2.086320527
cc7             1.000000000 -1.965308184 -1.051597e-01 1.797669126
cc8             1.000000000 -1.843152812  2.742844e-02 1.977428525
cc9             1.000000000 -1.693224076  1.262822e-01 1.961367230
cc10            1.000000000 -1.842309556  5.511764e-02 1.904714815
cc11            1.000000000 -1.472250087  3.612381e-01 2.227611900
cc12            1.000000000 -1.845617084 -8.188064e-05 1.902511736
cc13            1.000000000 -1.807522401  8.963919e-02 1.921064780
cc14            1.000000000 -3.569675550 -1.731223e+00 0.072243508
cc15            1.000000000 -1.651073744  1.632716e-01 1.873921863
cc16            1.000000000 -1.861525775 -1.155199e-01 1.623752917
cc17            1.000000000 -1.693162228  8.727276e-02 1.819233862
cc18            1.000000000 -1.827605388  6.628180e-02 1.902073593
cc19            1.000000000 -2.194286772 -3.432455e-01 1.505214365
cc20            1.000000000 -1.626305365  2.339219e-01 2.057611052
cc21            1.000000000 -1.759937145  2.021990e-01 2.088894805
cc22            1.000000000 -1.620754390  2.352860e-01 2.054013458
cc23            1.000000000 -1.767177181  5.460910e-02 1.805251247
cc24            1.000000000 -2.270934186 -4.750619e-01 1.366142587
cc25            1.000000000 -1.840845302 -1.006234e-01 1.715700996
cc26            1.000000000 -1.856128762 -4.242124e-02 1.753524621
cc27            1.000000000 -1.700626074  7.138715e-02 1.849172160
cc28            1.000000000 -1.770784734  9.844675e-02 1.923193436
cc29            1.000000000 -1.754120361  8.033404e-02 1.909006067
cc30            1.000000000 -1.030897520  6.736115e-01 2.463734932
cc31            1.000000000 -1.531171205  2.003912e-01 1.952992135
cc32            1.000000000 -1.946748940 -1.099588e-02 1.867992769
cc33            1.000000000 -1.864992275 -2.430593e-02 1.934307019
cc34            1.000000000 -2.399487036 -5.712337e-01 1.255046189
cc35            1.000000000 -1.045513611  7.747834e-01 2.595988256
cc36            1.000000000 -2.025032386 -2.304391e-01 1.611966750
cc37            1.000000000 -1.283844239  4.578131e-01 2.290038244
cc38            1.000000000 -2.239778820 -2.797024e-01 1.740590771
cc39            1.000000000 -1.771812297 -3.182242e-02 1.661066746
cc40            1.000000000 -1.906211911  2.540151e-02 1.908648509
cc41            1.000000000 -1.654654455  1.921832e-01 2.010382588
cc42            1.000000000 -1.376806769  5.108085e-01 2.358781578
cc43            1.000000000 -1.910171435 -8.202731e-02 1.735102967
cc44            1.000000000 -2.009155930 -2.245530e-01 1.569677838
cc45            1.000000000 -2.480889664 -5.315368e-01 1.546815451
cc46            1.000000000 -1.692467463  1.627219e-01 2.131699246
cc47            1.000000000 -1.611888921  1.862569e-01 1.998783171
cc48            1.000000000 -1.633868281  3.077867e-01 2.159079880
cc49            1.000000000 -1.984093541 -2.463056e-01 1.553466152
cc50            1.000000000 -1.864929633 -3.917180e-03 1.930557145
cc51            1.000000000 -2.009985980 -1.818168e-01 1.623797831
cc52            1.000000000 -2.218138890 -3.296962e-01 1.464531436
cc53            1.000000000 -1.049271684  8.167042e-01 2.729705581
cc54            1.000000000 -1.963104337 -1.350842e-01 1.685687496
cc55            1.000000000 -2.097158826 -1.397022e-01 1.767010886
cc56            1.000000000 -1.583021428  3.620794e-01 2.187822411
cc57            1.000000000 -2.174435377 -3.727438e-01 1.532434905
cc58            1.000000000 -1.218236695  5.382486e-01 2.321617046
cc59            1.000000000 -1.686493197  1.330642e-01 2.113847701
cc60            1.000000000 -1.807475290  1.877762e-02 1.867969463
cc61            1.000000000 -2.091813164 -2.967431e-01 1.423386879
cc62            1.000000000 -1.313461326  4.264221e-01 2.200292040
cc63            1.000000000 -1.630809321  1.972877e-01 1.984510323
cc64            1.000000000 -1.883337682  2.263737e-02 1.955112476
cc65            1.000000000 -1.635245186  2.477818e-01 2.130080972
cc66            1.000000000 -1.602085231  2.603194e-01 2.096876695
cc67            1.000000000 -1.853202302 -1.133493e-01 1.698785680
cc68            1.000000000 -1.486901669  2.579476e-01 1.967559586
cc69            1.000000000 -1.863252869  8.171070e-02 2.027404718
cc70            1.000000000 -1.871254031  3.053736e-02 1.939880341
cc71            1.000000000 -1.822931472 -1.453278e-03 1.902193556
cc72            1.000000000 -1.827637771  1.641284e-01 2.154416585
cc73            1.000000000 -1.872764078 -1.055209e-02 1.841785683
cc74            1.000000000 -2.810556876 -1.025399e+00 0.803605278
cc75            1.000000000 -2.241282821 -4.817930e-01 1.160336258
cc76            1.000000000 -1.521552139  2.503356e-01 2.016740141
cc77            1.000000000 -2.046845431 -1.932979e-01 1.722696751
cc78            1.000000000 -2.635548160 -8.576750e-01 0.942812160
cc79            1.000000000 -2.134930978 -3.025272e-01 1.523673002
cc80            1.000000000 -1.419435543  4.399177e-01 2.218010545
cc81            1.000000000 -1.698746648  1.586482e-01 2.060583732
cc82            1.000000000 -2.240081491 -3.510973e-01 1.550288186
cc83            1.000000000 -1.741171411  6.118297e-02 1.911580200
cc84            1.000000000 -1.666953701  7.788144e-02 1.913203920
cc85            1.000000000 -2.114787675 -2.816896e-01 1.612888546
cc86            1.000000000 -0.930538440  8.093000e-01 2.629953318
cc87            1.000000000 -2.936854839 -1.121669e+00 0.700419883
cc88            1.000000000 -1.051167649  7.974436e-01 2.571784841
cc89            1.000000000 -1.471209416  2.550119e-01 2.027905357
cc90            1.000000000 -1.837430990 -5.208740e-02 1.765769406
cc91            1.000000000 -1.595692884  3.020601e-01 2.232767584
1               1.000000000 -1.582651235  4.018012e-01 2.337223897
lcentralization 1.000000000  0.816380092  8.673520e-01 0.914856164
lwarfare        0.195933333 -0.242619466  0.000000e+00 0.150855633
larea           0.670555556 -0.983398292 -4.205523e-01 0.000000000
lpopulation     0.666000000 -0.002447625  3.784232e-01 1.002697343
ldepend15       0.020822222  0.000000000  0.000000e+00 0.000000000
ldepend64       0.953844444 -0.439751720 -2.699364e-01 0.000000000
lurban          0.021688889  0.000000000  0.000000e+00 0.000000000
lpop_growth     0.047055556  0.000000000  0.000000e+00 0.010652665
ltrade          0.106788889  0.000000000  0.000000e+00 0.017359427
lgini_gross     0.830911111  0.000000000  8.366249e-02 0.156618515
ldebt           0.002600000  0.000000000  0.000000e+00 0.000000000
lfdi_liab       0.414022222 -0.870614136  0.000000e+00 0.000000000
linflation      0.267588889 -0.001343143  0.000000e+00 0.001692485
ldemocracy      0.008188889  0.000000000  0.000000e+00 0.000000000
lpol_comp       0.009366667  0.000000000  0.000000e+00 0.000000000
lpresidential   0.837200000 -0.179132950  9.057667e-01 2.270741100
lplurality      0.079433333 -0.201301054  0.000000e+00 0.378424420
lpol_rights     0.848944444 -0.025540153  3.129610e-01 0.801387205
lgdp_pc         0.974300000  0.000000000  1.159258e+00 2.026366426
                         Mean           SD     CondMean      CondSD
EV_NN8_GG7_1    -1.269987e-01 0.7590782477 -0.185530040 0.914954790
EV_NN8_GG7_2    -3.878933e-01 0.7721631912 -0.534302120 0.875738019
EV_NN8_GG7_3     4.092918e-01 0.7921883959  0.571822606 0.889460767
EV_NN8_GG7_4    -1.177357e-02 0.3723526174 -0.003678584 0.884955134
per03           -8.766881e-01 0.6620951367 -0.867432100 0.662095137
per04            6.014465e-01 0.6560736937  0.610737689 0.656073694
per05            1.774279e-01 0.6258883416  0.170404024 0.625888342
per06            1.360401e+00 0.6199461262  1.364113818 0.619946126
per07            1.319754e+00 0.6426669515  1.315134636 0.642666951
per08            7.554163e-01 0.7005798573  0.746589493 0.700579857
cc2             -3.539884e-02 0.9916978119 -0.059441794 0.991697812
cc3             -4.924373e-01 0.9937112736 -0.490958330 0.993711274
cc4              4.368199e-01 0.9353725370  0.430515717 0.935372537
cc5             -6.971750e-02 0.9129850695 -0.086562435 0.912985069
cc6              1.925693e-01 0.9682917221  0.197681930 0.968291722
cc7             -8.808978e-02 0.9637607504 -0.082405561 0.963760750
cc8              2.577477e-02 0.9703578150  0.029180170 0.970357815
cc9              1.046701e-01 0.9250996005  0.123952417 0.925099601
cc10             5.173290e-02 0.9561487418  0.048151101 0.956148742
cc11             3.600949e-01 0.9443855573  0.357197811 0.944385557
cc12            -2.266031e-02 0.9680788399 -0.005478617 0.968078840
cc13             8.201814e-02 0.9671880987  0.072491903 0.967188099
cc14            -1.747880e+00 0.9441243387 -1.746320976 0.944124339
cc15             1.388483e-01 0.9033709405  0.153795454 0.903370941
cc16            -1.090781e-01 0.8877284280 -0.102945945 0.887728428
cc17             8.147674e-02 0.9016870208  0.096460744 0.901687021
cc18             6.386411e-02 0.9609967109  0.065388380 0.960996711
cc19            -3.342173e-01 0.9383809020 -0.334796323 0.938380902
cc20             2.107632e-01 0.9342452830  0.233847447 0.934245283
cc21             1.930175e-01 0.9857569343  0.197014606 0.985756934
cc22             2.245564e-01 0.9221283696  0.233438845 0.922128370
cc23             5.732904e-02 0.9088698198  0.042241566 0.908869820
cc24            -4.487393e-01 0.9354944729 -0.463501352 0.935494473
cc25            -8.656362e-02 0.9284621651 -0.094566566 0.928462165
