[[1]]
                        Prob           Low          Med           Up
EV_NN8_CG7_1    0.8012000000 -1.7764350798 -0.127024072 1.2927419746
EV_NN8_CG7_2    0.3073666667 -1.5714945459  0.000000000 0.8824593626
per03           1.0000000000 -2.2139189951 -1.002023725 0.1881669914
per04           1.0000000000 -0.7128682756  0.518446020 1.7550231626
per05           1.0000000000 -0.8527360409  0.410175614 1.6047860942
per06           1.0000000000  0.3175571833  1.448017011 2.5962093676
per07           1.0000000000  0.2542038399  1.463501288 2.6501242623
per08           1.0000000000 -0.4324962725  0.824145343 2.1251920272
EV_NN8_CG7_2.1  1.0000000000 -2.1510886467 -0.473128855 1.2730295180
cc1             1.0000000000 -2.1543005117 -0.288760896 1.5575238679
cc2             1.0000000000 -2.2615408993 -0.388242796 1.5165567901
cc3             1.0000000000 -1.9119111787  0.014554074 1.7706028818
cc4             1.0000000000 -1.0781614095  0.674468226 2.3648058679
cc5             1.0000000000 -2.0441809578 -0.293745847 1.4810880147
cc6             1.0000000000 -1.5103064482  0.447506639 2.3269550005
cc7             1.0000000000 -2.2005080964 -0.423979233 1.4836658465
cc8             1.0000000000 -1.9752888206 -0.106051668 1.7455105250
cc9             1.0000000000 -1.5446751142  0.158831849 1.8755017718
cc10            1.0000000000 -2.1534792126 -0.350877337 1.5383706780
cc11            1.0000000000 -1.1677290136  0.535633130 2.2981048168
cc12            1.0000000000 -1.8273096034  0.101518348 1.9617133806
cc13            1.0000000000 -1.5360017417  0.245447621 2.0568967769
cc14            1.0000000000 -3.0343417290 -1.177192846 0.6185712262
cc15            1.0000000000 -1.0444419756  0.683093884 2.3571074329
cc16            1.0000000000 -1.3883103173  0.373384478 1.9761183408
cc17            1.0000000000 -1.4232841902  0.235815989 1.9333953030
cc18            1.0000000000 -1.7996444990 -0.025011017 1.8155042486
cc19            1.0000000000 -2.2998883254 -0.540891039 1.1173545486
cc20            1.0000000000 -1.2208434119  0.621640013 2.3594799788
cc21            1.0000000000 -1.4937752071  0.453214068 2.2859829360
cc22            1.0000000000 -1.9906565316 -0.235099601 1.5983664322
cc23            1.0000000000 -1.8328292435 -0.174691641 1.5253181805
cc24            1.0000000000 -2.3090985580 -0.593844710 1.2081684164
cc25            1.0000000000 -1.5650330259  0.212949724 1.9613873603
cc26            1.0000000000 -1.7834476504 -0.050762037 1.6158074469
cc27            1.0000000000 -2.0798456213 -0.360892567 1.4154018478
cc28            1.0000000000 -1.6554887591  0.122258502 1.9135622304
cc29            1.0000000000 -1.6691031212  0.134500815 1.9439145491
cc30            1.0000000000 -1.3292689867  0.385963707 2.0848618246
cc31            1.0000000000 -1.3330144832  0.455652632 2.1457322409
cc32            1.0000000000 -1.9090857840  0.009665760 1.8770108783
cc33            1.0000000000 -1.9597262220 -0.048585041 1.7798125326
cc34            1.0000000000 -2.6118114210 -0.872421791 0.9204230740
cc35            1.0000000000 -0.7536617576  0.957283698 2.6875483024
cc36            1.0000000000 -2.1546043521 -0.433705567 1.3702549843
cc37            1.0000000000 -1.8648465621 -0.100766876 1.6929622000
cc38            1.0000000000 -3.0153554411 -1.222086135 0.9617573998
cc39            1.0000000000 -2.0087471773 -0.339110329 1.4024975821
cc40            1.0000000000 -1.6484926443  0.167267023 2.0007047623
cc41            1.0000000000 -1.7915785210 -0.034015950 1.6963607102
cc42            1.0000000000 -0.8057069843  1.055731763 2.8198622535
cc43            1.0000000000 -2.3580544914 -0.649751567 1.0767829558
cc44            1.0000000000 -2.2236650162 -0.557347844 1.1373699712
cc45            1.0000000000 -3.4736325212 -1.568928413 0.9139708009
cc46            1.0000000000 -1.6265602146  0.323819274 2.2557240689
cc47            1.0000000000 -1.6972761479  0.149430946 1.8910961642
cc48            1.0000000000 -1.4509842554  0.436249190 2.2135232490
cc49            1.0000000000 -1.8997192310 -0.172731660 1.5815918149
cc50            1.0000000000 -2.1022060637 -0.296346831 1.5356643736
cc51            1.0000000000 -1.6962646187  0.047330485 1.7739347082
cc52            1.0000000000 -2.0051975883 -0.275009814 1.4820712832
cc53            1.0000000000 -1.1288538289  0.675753754 2.4854095909
cc54            1.0000000000 -1.9959268676 -0.390929496 1.3210374746
cc55            1.0000000000 -2.1436219361 -0.316398250 1.4983304291
