[[1]]
                        Prob          Low          Med          Up
EV_NN4_GG7_1    1.0000000000 -1.958023519 -0.189362019  1.60723154
EV_NN4_GG7_2    1.0000000000 -2.413312269 -0.667388340  1.06488999
EV_NN4_GG7_3    1.0000000000 -1.345742089  0.389919931  2.16442376
EV_NN4_GG7_4    1.0000000000 -1.772881909  0.054875992  1.86189360
EV_NN4_GG7_5    1.0000000000 -2.182198229 -0.493581280  1.20937050
per03           1.0000000000 -2.237116835 -0.938001624  0.36008981
per04           1.0000000000 -0.736259916  0.565682624  1.84125526
per05           1.0000000000 -1.189650315  0.106574058  1.32740727
per06           1.0000000000  0.271783383  1.473933138  2.68605750
per07           1.0000000000  0.249824578  1.494223489  2.71905288
per08           1.0000000000 -0.407756423  0.983068673  2.33804690
cc2             1.0000000000 -1.950012096 -0.033354583  1.85910004
cc3             1.0000000000 -2.598865485 -0.707617063  1.20681418
cc4             1.0000000000 -1.642522040  0.206913424  1.96878829
cc5             1.0000000000 -1.826653769  0.027256067  1.92125096
cc6             1.0000000000 -1.703633608  0.160990584  2.10129773
cc7             1.0000000000 -1.984628457 -0.048893551  1.80656225
cc8             1.0000000000 -1.924533510  0.018473484  1.91113538
cc9             1.0000000000 -1.841821065  0.004090252  1.83934708
cc10            1.0000000000 -2.006599303 -0.072999100  1.82867269
cc11            1.0000000000 -1.275217568  0.558466584  2.43470995
cc12            1.0000000000 -1.913942105  0.012171196  1.89186077
cc13            1.0000000000 -1.834624812  0.042300701  1.89166142
cc14            1.0000000000 -3.788954100 -1.941842703 -0.06276667
cc15            1.0000000000 -1.499962737  0.262694726  2.05379153
cc16            1.0000000000 -1.903384763 -0.061167669  1.67102682
cc17            1.0000000000 -1.699911953  0.055649081  1.81304645
cc18            1.0000000000 -1.703328298  0.147762538  2.04959798
cc19            1.0000000000 -2.047759619 -0.170757431  1.67039191
cc20            1.0000000000 -1.658820361  0.146379069  1.95726105
cc21            1.0000000000 -1.720687510  0.142492199  2.13810118
cc22            1.0000000000 -1.503626514  0.326765390  2.09597303
cc23            1.0000000000 -1.702692450  0.039923050  1.78564762
cc24            1.0000000000 -2.196175256 -0.389091535  1.42549656
cc25            1.0000000000 -1.931514778 -0.040013733  1.78871142
cc26            1.0000000000 -1.821864879 -0.074419786  1.69633503
cc27            1.0000000000 -1.585366461  0.113936381  1.88855104
cc28            1.0000000000 -1.796314724  0.117033123  1.93135872
cc29            1.0000000000 -1.768817085  0.088636172  1.97376857
cc30            1.0000000000 -1.016305010  0.745927515  2.52305844
cc31            1.0000000000 -1.742145966  0.040893446  1.87934359
cc32            1.0000000000 -1.908234247 -0.006518803  1.89588632
cc33            1.0000000000 -1.943465510 -0.018252893  1.90687938
cc34            1.0000000000 -2.476438368 -0.664412788  1.21544980
