[[1]]
                       Prob          Low           Med          Up
EV_NN8_CG7_1    1.000000000 -1.560309962  0.1112518797  1.86651471
EV_NN8_CG7_2    1.000000000 -2.135862919 -0.4372344465  1.27619787
per03           1.000000000 -1.870655852 -0.6381184873  0.57147619
per04           1.000000000 -0.468810996  0.8023573942  2.02951366
per05           1.000000000 -0.792508024  0.3829086284  1.61906559
per06           1.000000000  0.261548613  1.4501288420  2.66652557
per07           1.000000000  0.112723674  1.3291096535  2.57164078
per08           1.000000000 -0.569895084  0.7363419391  2.04146331
cc2             1.000000000 -1.793317747  0.1835333998  2.14602975
cc3             1.000000000 -3.127509499 -1.3039493561  0.46164572
cc4             1.000000000 -2.023134524 -0.3044229238  1.49626191
cc5             1.000000000 -1.537437545  0.2122998942  1.96253496
cc6             1.000000000 -2.117701369 -0.1326737512  1.79826203
cc7             1.000000000 -1.883933934  0.0011821896  1.79404332
cc8             1.000000000 -1.802233998  0.0901918272  1.98148356
cc9             1.000000000 -1.580753688  0.2119906100  1.96178139
cc10            1.000000000 -1.585658432  0.2489013905  2.04419302
cc11            1.000000000 -0.694853624  1.0949133152  2.89403849
cc12            1.000000000 -2.091080306 -0.2471301061  1.69338562
cc13            1.000000000 -2.238487842 -0.4472158539  1.41373043
cc14            1.000000000 -4.064019009 -2.2969891535 -0.57374927
cc15            1.000000000 -1.799963701 -0.0857272479  1.62569705
cc16            1.000000000 -2.110482580 -0.3674335482  1.39396726
cc17            1.000000000 -1.826667468 -0.1228298954  1.66345551
cc18            1.000000000 -1.390174644  0.4364612328  2.24692196
cc19            1.000000000 -1.480485459  0.2155632704  1.95604619
cc20            1.000000000 -2.030769076 -0.1548022289  1.64616832
cc21            1.000000000 -2.191331491 -0.1639599652  1.74279346
cc22            1.000000000 -0.832934570  0.9436340713  2.67284987
cc23            1.000000000 -1.366448318  0.3983165050  2.09191245
cc24            1.000000000 -2.286308059 -0.4301892792  1.38820848
cc25            1.000000000 -1.624992314  0.1263063133  1.91781199
cc26            1.000000000 -1.352459621  0.2534260127  1.91856870
cc27            1.000000000 -1.177491946  0.5178062735  2.31356303
cc28            1.000000000 -1.514968273  0.3082676845  2.13471358
cc29            1.000000000 -1.821711170  0.0545381718  1.87693367
cc30            1.000000000 -1.106685773  0.6449109021  2.39772866
cc31            1.000000000 -2.114510783 -0.4357759895  1.30932433
cc32            1.000000000 -1.971747768 -0.1085191191  1.83286546
cc33            1.000000000 -1.867206253  0.0479290089  1.97690783
cc34            1.000000000 -2.161559786 -0.3662731550  1.46816330
cc35            1.000000000 -1.509708940  0.2933917122  2.03653773
cc36            1.000000000 -1.499561746  0.3202716843  2.01140677
cc37            1.000000000 -1.316266942  0.4693401886  2.22630357
cc38            1.000000000 -0.777623726  1.0522148247  2.79990093
cc39            1.000000000 -1.260303073  0.4112456987  2.12342890
cc40            1.000000000 -1.840652059 -0.0147392037  1.83518917
cc41            1.000000000 -1.984870149 -0.1502765158  1.68300715
cc42            1.000000000 -1.756716814  0.0115749382  1.72853798
cc43            1.000000000 -1.614288666  0.1308746334  1.86595319
cc44            1.000000000 -1.899546830 -0.1915948983  1.55869845
cc45            1.000000000 -0.696134023  1.2000991389  3.02650571
cc46            1.000000000 -2.134940189 -0.2307304906  1.70316273
cc47            1.000000000 -1.877143816 -0.1065838426  1.73860219
cc48            1.000000000 -1.680838310  0.1268493319  1.98469788
cc49            1.000000000 -2.016438421 -0.3318998503  1.43222388
cc50            1.000000000 -1.594533349  0.2326138674  2.08811127
cc51            1.000000000 -1.824606747 -0.0471803096  1.66471654
cc52            1.000000000 -2.345961595 -0.5578321287  1.22255223
cc53            1.000000000 -1.012111911  0.8207429652  2.68949139
cc54            1.000000000 -1.137937995  0.5966187102  2.38953812
cc55            1.000000000 -1.816046811  0.0617282777  1.95570201
cc56            1.000000000 -1.987228029 -0.1794941162  1.64184319
cc57            1.000000000 -0.826760163  0.9435630115  2.66380088
cc58            1.000000000 -1.431661986  0.3130062760  1.99927054
cc59            1.000000000 -1.584983183  0.2468611532  2.09005786
cc60            1.000000000 -2.122901558 -0.2988798470  1.57655557
cc61            1.000000000 -2.408203563 -0.7813322485  0.94797009
cc62            1.000000000 -1.614927578  0.1008242148  1.83619739
cc63            1.000000000 -2.094965080 -0.2861764114  1.50310250
cc64            1.000000000 -1.745878566  0.1664991580  2.04691962
cc65            1.000000000 -2.281174903 -0.4915130582  1.31309893
cc66            1.000000000 -1.785580564  0.0072776508  1.71463367
cc67            1.000000000 -1.904940875 -0.1415249614  1.62761144
cc68            1.000000000 -1.482772378  0.3002289438  2.04565485
cc69            1.000000000 -1.915963142  0.0002159528  1.83516830
cc70            1.000000000 -1.912999707  0.0370760610  2.01339133
cc71            1.000000000 -2.508024344 -0.7452134657  1.01240120
cc72            1.000000000 -2.827597691 -0.8717415602  1.10668617
cc73            1.000000000 -1.904458557 -0.0238659234  1.82708255
cc74            1.000000000 -2.383095125 -0.5900281702  1.23873098
cc75            1.000000000 -2.202100790 -0.5207051113  1.15618176
cc76            1.000000000 -1.232580467  0.4974661455  2.26218639
cc77            1.000000000 -1.832370241  0.0918151593  1.99053539
cc78            1.000000000 -2.790835761 -1.0592385431  0.71656938
cc79            1.000000000 -2.676286608 -0.9085807051  0.90582995
cc80            1.000000000 -1.588297994  0.1935218957  1.95041267
cc81            1.000000000 -2.059912122 -0.1737935784  1.71730876
cc82            1.000000000 -1.673243722  0.1741768950  2.03469212
cc83            1.000000000 -1.151886718  0.6201614531  2.35159968
cc84            1.000000000 -1.857553586 -0.0897802854  1.59810661
cc85            1.000000000 -1.876203472 -0.0299278014  1.82472664
cc86            1.000000000 -0.947601842  0.8004329611  2.54695018
cc87            1.000000000 -2.929603024 -1.2366703384  0.51774824
cc88            1.000000000 -1.677370018  0.0862121742  1.83950157
cc89            1.000000000 -1.677000409  0.0862883298  1.92736118
cc90            1.000000000 -1.669198449  0.0876468178  1.82232279
cc91            1.000000000 -1.201003146  0.6557797691  2.60028860
1               1.000000000 -1.306742606  0.6142851128  2.51635500
lcentralization 1.000000000  0.820878273  0.8783234950  0.92667356
lwarfare        0.177288889 -0.198357883  0.0000000000  0.16146346
larea           0.064244444 -0.434818138  0.0000000000  0.00000000
