[[1]]
                        Prob         Low           Med            Up
EV_NN4_CG7_1    6.225333e-01 -1.27147411  0.0000000000  1.8427883452
EV_NN4_CG7_2    2.806111e-01 -1.54164376  0.0000000000  0.8825130588
EV_NN4_CG7_3    6.563333e-01 -2.20964905  0.0000000000  1.0478493285
per03           1.000000e+00 -2.16158542 -0.8853234489  0.4482209101
per04           1.000000e+00 -0.70473301  0.6165177670  1.9129131483
per05           1.000000e+00 -0.98960763  0.2518051374  1.5424497344
per06           1.000000e+00  0.12624428  1.3184779307  2.5716731864
per07           1.000000e+00  0.07752658  1.2979468258  2.5432264640
per08           1.000000e+00 -0.87739374  0.5273230381  1.8775855178
cc2             1.000000e+00 -1.93763159 -0.0163888174  1.8591138624
cc3             1.000000e+00 -2.52864484 -0.6757715416  1.2121401909
cc4             1.000000e+00 -1.35500297  0.4304942021  2.1848502337
cc5             1.000000e+00 -1.68858516  0.0889428368  1.9127134181
cc6             1.000000e+00 -1.87809623  0.1324679578  2.0519082991
cc7             1.000000e+00 -1.87781154 -0.0283725964  1.8193676425
cc8             1.000000e+00 -1.84404977  0.0237388297  1.9462742973
cc9             1.000000e+00 -1.73101549  0.0160532552  1.8022569008
cc10            1.000000e+00 -1.91680437 -0.0984066348  1.8403089718
cc11            1.000000e+00 -1.96420357 -0.1217740610  1.8224136633
cc12            1.000000e+00 -2.04055403 -0.0765216581  1.8560163955
cc13            1.000000e+00 -1.93792678 -0.0863529694  1.7497218174
cc14            1.000000e+00 -3.61682145 -1.9065772043 -0.0892948812
cc15            1.000000e+00 -1.35906626  0.3867502778  2.1330534343
cc16            1.000000e+00 -1.22744331  0.5766769469  2.3414203689
cc17            1.000000e+00 -1.92759329 -0.0643825222  1.7991195037
cc18            1.000000e+00 -1.56474987  0.2609136236  2.1248383215
cc19            1.000000e+00 -1.94604902 -0.1746409039  1.5709001979
cc20            1.000000e+00 -1.75927038  0.0585388562  1.8828460333
cc21            1.000000e+00 -1.15720212  0.6165698554  2.3915792946
cc22            1.000000e+00 -1.92446407 -0.1791046553  1.6067534988
cc23            1.000000e+00 -2.22501323 -0.4021095486  1.4124027465
cc24            1.000000e+00 -1.79915784  0.0032011551  1.8404091158
cc25            1.000000e+00 -1.53594465  0.2168767766  1.9537223998
