[[1]]
                         Prob           Low          Med          Up
per04            1.000000e+00 -1.1358046228  0.202185772 1.522094816
per05            1.000000e+00 -1.6765430961 -0.347248201 0.970223538
per06            1.000000e+00 -0.1180709975  1.210564875 2.516835165
per07            1.000000e+00  0.0002862936  1.322894456 2.585644427
per08            1.000000e+00 -0.9064782142  0.510711472 1.900118138
cc2              1.000000e+00 -2.2559362002 -0.446236054 1.352634288
cc3              1.000000e+00 -1.6380836147  0.228688029 2.047137572
cc4              1.000000e+00 -1.7685838136  0.054330131 1.912160497
cc5              1.000000e+00 -1.9109878941 -0.031763230 1.896834614
cc6              1.000000e+00 -2.3740919901 -0.491602845 1.351171984
cc7              1.000000e+00 -1.7795160965  0.111417616 2.032968251
cc8              1.000000e+00 -1.0738181363  0.755929160 2.641259664
cc9              1.000000e+00 -1.8693428094 -0.008105215 1.906356391
cc10             1.000000e+00 -3.1129399126 -1.287089983 0.569043028
cc11             1.000000e+00 -1.6580732703  0.104915369 1.904810265
cc12             1.000000e+00 -1.4824197358  0.330282451 2.114348863
cc13             1.000000e+00 -1.6475614838  0.145200322 1.976308761
cc14             1.000000e+00 -1.7604141906  0.150802078 2.042779919
cc15             1.000000e+00 -1.8509977884 -0.042382258 1.790128960
cc16             1.000000e+00 -1.6955196546  0.124002847 1.952533813
cc17             1.000000e+00 -1.5180303001  0.303966700 2.125840147
cc18             1.000000e+00 -1.8994876888 -0.084825537 1.751568234
cc19             1.000000e+00 -2.4201514703 -0.553532210 1.364704250
cc20             1.000000e+00 -1.8388144002  0.046775622 1.914677700
cc21             1.000000e+00 -1.8222229454  0.008196171 1.864190159
cc22             1.000000e+00 -1.8195498229  0.049994909 1.837563798
cc23             1.000000e+00 -2.0067823462 -0.082268464 1.795207096
cc24             1.000000e+00 -1.4461136406  0.432919101 2.220313104
cc25             1.000000e+00 -1.8379417819 -0.028520760 1.747439651
cc26             1.000000e+00 -2.4345663177 -0.548210920 1.284712467
cc27             1.000000e+00 -1.1775368366  0.627550716 2.484679344
cc28             1.000000e+00 -1.8386707413 -0.015638350 1.780242955
cc29             1.000000e+00 -1.3628588882  0.390062170 2.213509524
cc30             1.000000e+00 -1.9438058787 -0.012172349 1.833340726
cc31             1.000000e+00 -1.9897951969 -0.214270561 1.576427538
cc32             1.000000e+00 -1.8761263957 -0.041841629 1.895134981
cc33             1.000000e+00 -1.9498630053 -0.131581788 1.766807866
cc34             1.000000e+00 -1.4865777546  0.310606022 2.179371486
cc35             1.000000e+00 -2.0945338990 -0.203000786 1.626623066
cc36             1.000000e+00 -1.8447762643 -0.001892549 1.830577425
cc37             1.000000e+00 -2.0321429722 -0.121520759 1.768683080
cc38             1.000000e+00 -1.9539066932 -0.035128123 1.816707387
cc39             1.000000e+00 -1.6776104192  0.195958933 2.150642506
cc40             1.000000e+00 -2.0666566944 -0.234317580 1.519171228
cc41             1.000000e+00 -1.8840718626  0.055405675 1.996471009
cc42             1.000000e+00 -1.8302549672  0.012456422 1.822468175
cc43             1.000000e+00 -2.4646597456 -0.587872855 1.240849433
