[[1]]
                        Prob          Low           Med         Up
per04            1.000000000 -1.054781498  0.2687319120 1.57648974
per05            1.000000000 -1.575848377 -0.2606318955 1.02333782
per06            1.000000000 -0.005874645  1.2567071408 2.52673847
per07            1.000000000 -0.023788546  1.2756709022 2.60434830
per08            1.000000000 -0.968409736  0.4405847092 1.84834525
cc2              1.000000000 -2.242617843 -0.4269424006 1.41912891
cc3              1.000000000 -1.592991054  0.2149755542 2.04788368
cc4              1.000000000 -1.721163202  0.0615631945 1.91649182
cc5              1.000000000 -1.903335129  0.0160030601 1.92499787
cc6              1.000000000 -2.421192715 -0.5678340139 1.29777431
cc7              1.000000000 -2.033734576 -0.0911706226 1.85438926
cc8              1.000000000 -1.214676735  0.6417062761 2.46667504
cc9              1.000000000 -1.912516596  0.0240630127 1.89277602
cc10             1.000000000 -3.105805553 -1.2812165002 0.53733435
cc11             1.000000000 -1.802047292  0.0008182811 1.81236849
cc12             1.000000000 -1.571057288  0.3323599631 2.09856097
cc13             1.000000000 -1.795046995  0.0480096308 1.84167994
cc14             1.000000000 -1.679331691  0.1679761034 2.05102151
cc15             1.000000000 -1.848189464  0.0291678609 1.79379512
cc16             1.000000000 -1.761339215  0.0829224345 1.95687838
cc17             1.000000000 -1.306765458  0.4669538788 2.25508674
cc18             1.000000000 -1.839091467 -0.0446285199 1.72163154
cc19             1.000000000 -2.334112579 -0.4051648746 1.49880150
cc20             1.000000000 -1.960931823 -0.0013661098 1.88209147
cc21             1.000000000 -1.759697776  0.0317812408 1.85532793
cc22             1.000000000 -1.854835994 -0.0179959870 1.71830141
cc23             1.000000000 -1.980367092 -0.1422596348 1.77985656
cc24             1.000000000 -1.550852232  0.3284581867 2.15275097
cc25             1.000000000 -1.673774186  0.0866991206 1.90660030
cc26             1.000000000 -2.287451807 -0.4318074004 1.31167221
cc27             1.000000000 -1.301300483  0.5601145920 2.32020975
cc28             1.000000000 -1.859444139  0.0152633656 1.83051768
cc29             1.000000000 -1.414919592  0.3852883617 2.19231150
cc30             1.000000000 -1.698572195  0.1190292454 1.98182957
cc31             1.000000000 -2.093514150 -0.2453416387 1.67504675
cc32             1.000000000 -1.995564563 -0.0202430311 1.94610452
cc33             1.000000000 -2.034236038 -0.1330923103 1.78734891
cc34             1.000000000 -1.581850527  0.3366937049 2.23513682
cc35             1.000000000 -1.949580457 -0.0504195344 1.74914543
cc36             1.000000000 -1.672540385  0.1501384784 1.97513610
cc37             1.000000000 -2.094238909 -0.1846359731 1.66336111
cc38             1.000000000 -1.834631508  0.0286446291 1.87085366
cc39             1.000000000 -1.747954866  0.1983528531 2.03450253
cc40             1.000000000 -2.279140080 -0.4180871106 1.35760002
cc41             1.000000000 -1.857039152  0.0782602450 2.00033042
cc42             1.000000000 -1.686797524  0.0816473976 1.94567817
cc43             1.000000000 -2.377891478 -0.5378532942 1.26369922
cc44             1.000000000 -1.157745322  0.8246720506 2.69989121
cc45             1.000000000 -1.746206813  0.0914233273 1.86874911
cc46             1.000000000 -2.011741580 -0.0416624412 1.85454283
cc47             1.000000000 -1.917515678  0.0387797629 1.89684991
cc48             1.000000000 -1.524605148  0.2884450650 2.17362475
cc49             1.000000000 -1.516957564  0.3377627318 2.14458340
cc50             1.000000000 -1.950065684 -0.0109647306 1.94730315
cc51             1.000000000 -1.956720076 -0.0017932070 1.94218322
cc52             1.000000000 -1.848949381 -0.1251198551 1.65876160
cc53             1.000000000 -1.489109097  0.3374284300 2.12434835
cc54             1.000000000 -1.815834938  0.0403712263 1.92406489
cc55             1.000000000 -1.902847287  0.0416778172 1.98814264
cc56             1.000000000 -1.975832993 -0.0696938102 1.77518505
cc57             1.000000000 -1.821912986 -0.0184060209 1.83943256
cc58             1.000000000 -1.679528896  0.1718238365 1.96466325
cc59             1.000000000 -1.950685743 -0.1498050775 1.64145085
cc60             1.000000000 -1.987356759 -0.1421685570 1.77696627
cc61             1.000000000 -1.848024604  0.0633939967 1.89517242
cc62             1.000000000 -1.979913455 -0.0483952305 1.82356308
cc63             1.000000000 -2.082803170 -0.2505333156 1.54371633
cc64             1.000000000 -2.366137340 -0.5890729426 1.22007205
cc65             1.000000000 -1.558758484  0.2594211005 2.10630877
cc66             1.000000000 -2.413657571 -0.5828025277 1.18395949
cc67             1.000000000 -2.213896417 -0.3420115291 1.66712864
cc68             1.000000000 -1.429867093  0.3872858567 2.24391608
cc69             1.000000000 -1.873356648 -0.0094373199 1.95716026
cc70             1.000000000 -1.542581511  0.2576432697 2.09651460
cc71             1.000000000 -1.859987609  0.0149844527 1.80719063
cc72             1.000000000 -1.866902819 -0.0054775959 1.83636948
cc73             1.000000000 -1.149253536  0.5838930563 2.41102456
cc74             1.000000000 -2.801781737 -0.9936683104 0.81013528
cc75             1.000000000 -1.600778224  0.2522113167 2.05711136
cc76             1.000000000 -1.617488902  0.1899087439 2.03626620
cc77             1.000000000 -1.755638306  0.0236534877 1.83933521
1                1.000000000 -1.644818336  0.3228203814 2.23911853
lcentralization  1.000000000  0.835572092  0.9067912429 0.97949845
lwarfare         0.243600000 -0.266235158  0.0000000000 0.30109735
larea            0.034655556 -0.172242475  0.0000000000 0.00000000
lpopulation      0.262977778 -0.582637090  0.0000000000 0.88975493
ldepend15        0.392522222 -0.450433422  0.0000000000 0.16194830
ldepend64        0.389511111 -1.355358491  0.0000000000 0.01167399
lurban           0.387644444 -0.545068948  0.0000000000 0.36868479
lpop_growth      0.389233333 -1.017997431  0.0000000000 0.40987310
ltrade           0.385977778 -0.001338714  0.0000000000 0.02615599
lgini_gross      0.919244444 -0.001401240  0.1034541332 0.19163146
ldebt            0.350422222 -0.017346078  0.0000000000 0.01236082
lfdi_liab        0.347888889 -0.485005801  0.0000000000 1.12478778
linflation       0.050322222 -0.008310426  0.0000000000 0.00000000
ldemocracy       0.013411111  0.000000000  0.0000000000 0.00000000
lpol_comp        0.364455556 -0.419646382  0.0000000000 0.29863787
lpresidential    0.370711111 -0.625315395  0.0000000000 1.64454453
lplurality       0.366677778 -1.307271660  0.0000000000 0.94295159
lpol_rights      0.021922222  0.000000000  0.0000000000 0.00000000
lgdp_pc          0.550611111 -0.240621110  0.0000000000 1.68205941
l2centralization 0.037044444 -0.079710330  0.0000000000 0.00000000
l2warfare        0.034811111  0.000000000  0.0000000000 0.16761327
l2area           0.035600000 -0.297264477  0.0000000000 0.00000000
l2population     0.263788889 -0.613048886  0.0000000000 0.90225347
l2depend15       0.396266667 -0.105052346  0.0000000000 0.48690614
l2depend64       0.388233333 -0.153260917  0.0000000000 1.29546797
