[[1]]
                        Prob         Low          Med           Up
EV_NN4_GG7_ME_1 0.7826444444 -0.84680893  0.479928787  2.243676338
EV_NN4_GG7_ME_2 0.0955777778 -0.56774994  0.000000000  0.199137825
EV_NN4_GG7_ME_3 0.1044888889 -0.13932955  0.000000000  0.822372800
EV_NN4_GG7_ME_4 0.0878111111 -0.14484173  0.000000000  0.593257721
EV_NN4_GG7_ME_5 0.0979222222 -0.28319093  0.000000000  0.495376803
per03           1.0000000000 -2.02085532 -0.818065043  0.433402747
per04           1.0000000000 -0.62133378  0.639555276  1.839759357
per05           1.0000000000 -0.70996196  0.447286275  1.646476373
per06           1.0000000000  0.08689617  1.223903417  2.429401854
per07           1.0000000000 -0.15010135  1.107043642  2.340248904
per08           1.0000000000 -0.83593235  0.526740891  1.894297021
cc2             1.0000000000 -1.26336735  0.490526939  2.290499574
cc3             1.0000000000 -3.30655449 -1.622255403  0.044182792
cc4             1.0000000000 -1.92944035 -0.304112277  1.318050404
cc5             1.0000000000 -1.16786044  0.433557954  2.044643325
cc6             1.0000000000 -2.09583737 -0.349212340  1.473796702
cc7             1.0000000000 -1.50696633  0.297985315  2.073919874
cc8             1.0000000000 -1.27990765  0.527936923  2.336669189
cc9             1.0000000000 -1.53062859  0.145823791  1.784283273
cc10            1.0000000000 -1.41237569  0.364940578  2.108358749
cc11            1.0000000000 -1.35394409  0.356339963  2.119972120
cc12            1.0000000000 -2.08934026 -0.364466159  1.398212386
cc13            1.0000000000 -2.02611585 -0.369801685  1.327970651
cc14            1.0000000000 -3.53625673 -1.930916444 -0.322274636
cc15            1.0000000000 -1.69911500 -0.052318383  1.616521328
cc16            1.0000000000 -1.87841863 -0.236605524  1.461072340
cc17            1.0000000000 -2.11310477 -0.439427947  1.235776679
cc18            1.0000000000 -0.86253223  0.881684922  2.530975705
cc19            1.0000000000 -0.88739133  0.700311424  2.339939482
cc20            1.0000000000 -1.90284506 -0.268880930  1.375972630
cc21            1.0000000000 -0.52326817  1.102521039  2.714139595
cc22            1.0000000000 -1.11194689  0.489263141  2.080214222
cc23            1.0000000000 -2.06173742 -0.398331067  1.288049076
cc24            1.0000000000 -1.34522874  0.305125397  2.025615462
cc25            1.0000000000 -1.45408903  0.112219536  1.767123613
cc26            1.0000000000 -0.88591818  0.726033499  2.310477480
cc27            1.0000000000 -1.69247074 -0.033674866  1.625730778
cc28            1.0000000000 -2.06439388 -0.232330980  1.581599108
cc29            1.0000000000 -1.45523418  0.120362828  1.679742770
cc30            1.0000000000 -1.81060676 -0.252191005  1.384671343
cc31            1.0000000000 -2.17074684 -0.488820584  1.176624876
cc32            1.0000000000 -1.72403196 -0.034373490  1.639375755
cc33            1.0000000000 -1.03576240  0.617806686  2.232918017
cc34            1.0000000000 -0.78713825  0.796935204  2.407401201
cc35            1.0000000000 -0.84491954  0.828000820  2.458445125
cc36            1.0000000000 -1.50250762  0.117831029  1.646997163
cc37            1.0000000000 -1.58890124  0.184636093  1.903024170
cc38            1.0000000000 -2.50796216 -0.708479510  1.089997794
cc39            1.0000000000 -1.90047673 -0.186501275  1.491472602
cc40            1.0000000000 -1.81290662 -0.191905322  1.452528375
cc41            1.0000000000 -0.27426349  1.509782419  3.241069977
cc42            1.0000000000 -2.34543736 -0.561447042  1.318843729
cc43            1.0000000000 -1.94024560 -0.276155904  1.453203613
cc44            1.0000000000 -1.83603148 -0.088589991  1.623208975
cc45            1.0000000000 -2.24500831 -0.614006971  1.041419056
cc46            1.0000000000 -1.80948326 -0.136812068  1.522959611
cc47            1.0000000000 -2.40083747 -0.802128237  0.831767681
cc48            1.0000000000 -1.55273325  0.327777717  2.080844245
cc49            1.0000000000 -1.35685650  0.275364725  1.892548564
cc50            1.0000000000 -1.52108466  0.204970184  1.951554854
cc51            1.0000000000 -1.83947913 -0.150609165  1.565406644
cc52            1.0000000000 -0.36332713  1.248718109  2.860654859
cc53            1.0000000000 -1.12029583  0.488911153  2.143591625
cc54            1.0000000000 -2.01107976 -0.285640360  1.429536184
cc55            1.0000000000 -2.06476299 -0.536462789  1.055178770
cc56            1.0000000000 -1.81439324 -0.070996947  1.674402650
cc57            1.0000000000 -2.21807299 -0.403562092  1.409181886
cc58            1.0000000000 -1.09245539  0.744344517  2.517407631
cc59            1.0000000000 -2.05382033 -0.289451090  1.466563096
cc60            1.0000000000 -1.62813845 -0.082748622  1.562259744
cc61            1.0000000000 -1.69234205 -0.148732085  1.449238924
cc62            1.0000000000 -2.35797144 -0.631029826  1.099173646
cc63            1.0000000000 -3.30540983 -1.412081108  0.422959195
cc64            1.0000000000 -1.37031948  0.384816557  2.130350730
cc65            1.0000000000 -1.60614212  0.167997608  1.947727973
cc66            1.0000000000 -2.11600553 -0.536938381  1.047368846
cc67            1.0000000000 -0.97939269  0.671205632  2.329466683
cc68            1.0000000000 -2.42930852 -0.809440709  0.753525432
cc69            1.0000000000 -2.72909730 -1.078970489  0.601977084
cc70            1.0000000000 -1.98459544 -0.421910845  1.204644158
cc71            1.0000000000 -1.12792461  0.607376673  2.373079878
cc72            1.0000000000 -0.81023134  0.825142436  2.506623799
cc73            1.0000000000 -1.57325918  0.103768863  1.688767260
cc74            1.0000000000 -1.44094735  0.325834775  2.044772363
cc75            1.0000000000 -0.80285425  0.873629177  2.504076598
cc76            1.0000000000 -3.00780995 -1.352539488  0.294840224
cc77            1.0000000000 -1.75377536 -0.112903027  1.567130493
cc78            1.0000000000 -1.36852565  0.291551548  1.983675533
cc79            1.0000000000 -1.92156228 -0.183752433  1.561521740
cc80            1.0000000000 -1.05407355  0.751571981  2.519503684
1               1.0000000000 -0.82676585  1.104818005  3.022748668
lcentralization 1.0000000000  0.83435893  0.879870809  0.925955473
lwarfare        0.2384555556 -0.23906740  0.000000000  0.158968687
larea           0.3965666667 -0.50695759  0.000000000  0.068152833
lpopulation     0.0165222222  0.00000000  0.000000000  0.000000000
ldepend15       0.0024555556  0.00000000  0.000000000  0.000000000
ldepend64       0.0028555556  0.00000000  0.000000000  0.000000000
lurban          0.2676222222 -0.06020357  0.000000000  0.004164047
lpop_growth     0.2669000000 -0.27824978  0.000000000  0.573032730
ltrade          0.3219666667  0.00000000  0.000000000  0.025719756
lgini_gross     0.8991222222  0.00000000  0.114896149  0.196251767
ldebt           0.6971666667 -0.02206618 -0.009861494  0.000000000
lfdi_liab       0.7261666667 -0.61603392 -0.241253833  0.000000000
linflation      0.0002333333  0.00000000  0.000000000  0.000000000
ldemocracy      0.7718777778 -0.26806351 -0.069903902  0.048934939
lpol_comp       0.8482000000 -0.19360889  0.180144178  0.704576787
lpresidential   0.8140555556 -0.97898665  0.000000000  1.278187786
lplurality      0.0624555556 -0.42403362  0.000000000  0.000000000
lpol_rights     0.9131222222  0.00000000  0.762674972  1.548156093
lgdp_pc         0.8800777778 -0.12656950  0.470068156  1.303844417
                         Mean          SD    CondMean      CondSD
EV_NN4_GG7_ME_1  6.024325e-01 0.814011825  0.77194670 0.849252361
EV_NN4_GG7_ME_2 -1.632799e-02 0.221325197 -0.20008970 0.690710427
EV_NN4_GG7_ME_3  3.527428e-02 0.249489844  0.31374304 0.718159905
EV_NN4_GG7_ME_4  1.772570e-02 0.195569307  0.22069573 0.611584510
EV_NN4_GG7_ME_5  1.300489e-02 0.206274294  0.12610193 0.673811584
per03           -7.997698e-01 0.630508742 -0.80849171 0.630508742
per04            6.408946e-01 0.613687832  0.63244442 0.613687832
per05            4.611193e-01 0.603313829  0.45059042 0.603313829
per06            1.239863e+00 0.606279348  1.23341254 0.606279348
per07            1.111806e+00 0.627303200  1.10979108 0.627303200
per08            5.281536e-01 0.697306168  0.52965128 0.697306168
cc2              5.173070e-01 0.904331189  0.50160358 0.904331189
cc3             -1.629433e+00 0.842464921 -1.62996690 0.842464921
cc4             -3.107285e-01 0.831344992 -0.31322423 0.831344992
cc5              4.590083e-01 0.809368247  0.43260554 0.809368247
cc6             -3.435346e-01 0.907892945 -0.34265770 0.907892945
cc7              3.026797e-01 0.916190310  0.29089306 0.916190310
cc8              5.247394e-01 0.911171933  0.52319033 0.911171933
cc9              1.432961e-01 0.845027909  0.13415669 0.845027909
cc10             3.601992e-01 0.900708812  0.36359125 0.900708812
cc11             3.696678e-01 0.863270716  0.36066848 0.863270716
cc12            -3.759718e-01 0.902103286 -0.36968878 0.902103286
cc13            -3.666338e-01 0.854628136 -0.36020695 0.854628136
cc14            -1.928959e+00 0.819854233 -1.92999895 0.819854233
cc15            -4.155612e-02 0.834991375 -0.04024381 0.834991375
cc16            -2.441380e-01 0.845981736 -0.23557544 0.845981736
cc17            -4.382457e-01 0.863017021 -0.43778552 0.863017021
cc18             8.650782e-01 0.853321038  0.87432122 0.853321038
cc19             7.408802e-01 0.820324462  0.71425505 0.820324462
cc20            -2.649755e-01 0.840822754 -0.26959641 0.840822754
cc21             1.104081e+00 0.821701540  1.10361616 0.821701540
cc22             4.766544e-01 0.812060158  0.48591164 0.812060158
cc23            -4.003832e-01 0.850733776 -0.39682409 0.850733776
cc24             3.102710e-01 0.843208530  0.31532832 0.843208530
cc25             1.086186e-01 0.822205224  0.11381749 0.822205224
cc26             7.311825e-01 0.801689988  0.71874174 0.801689988
cc27            -1.753443e-02 0.853395290 -0.03308524 0.853395290
cc28            -2.478960e-01 0.929322990 -0.23321480 0.929322990
cc29             1.116284e-01 0.811634046  0.12697788 0.811634046
cc30            -2.525667e-01 0.799977483 -0.23962674 0.799977483
cc31            -5.154622e-01 0.849464501 -0.49335465 0.849464501
cc32            -5.122334e-02 0.852635042 -0.04249082 0.852635042
cc33             6.109820e-01 0.837539502  0.62021062 0.837539502
cc34             8.005822e-01 0.819250156  0.78615812 0.819250156
cc35             8.320443e-01 0.842766718  0.82676282 0.842766718
cc36             1.177145e-01 0.814112738  0.11339897 0.814112738
cc37             1.836486e-01 0.884831180  0.17443184 0.884831180
cc38            -7.137978e-01 0.925388394 -0.70660164 0.925388394
cc39            -2.036472e-01 0.866883261 -0.19278721 0.866883261
cc40            -1.842525e-01 0.824317954 -0.18774922 0.824317954
cc41             1.501358e+00 0.895520749  1.51490453 0.895520749
cc42            -5.778941e-01 0.944329867 -0.55746207 0.944329867
cc43            -2.641027e-01 0.864172700 -0.26614870 0.864172700
cc44            -8.772632e-02 0.880849596 -0.09247401 0.880849596
cc45            -6.119800e-01 0.844332291 -0.60998930 0.844332291
cc46            -1.508049e-01 0.851362314 -0.13580055 0.851362314
cc47            -8.030401e-01 0.823666884 -0.80149319 0.823666884
cc48             3.124749e-01 0.922566070  0.31918924 0.922566070
cc49             2.884081e-01 0.828824033  0.27442696 0.828824033
cc50             2.018424e-01 0.883984453  0.20619597 0.883984453
cc51            -1.555087e-01 0.866279416 -0.16092309 0.866279416
cc52             1.240715e+00 0.825426141  1.24700016 0.825426141
cc53             5.166358e-01 0.817655199  0.50008763 0.817655199
cc54            -2.906088e-01 0.871002342 -0.29343269 0.871002342
cc55            -5.137625e-01 0.801084327 -0.52870260 0.801084327
cc56            -6.455736e-02 0.891554196 -0.06270685 0.891554196
cc57            -4.041834e-01 0.923670824 -0.40583031 0.923670824
cc58             7.464377e-01 0.914319402  0.73998597 0.914319402
cc59            -2.943572e-01 0.897828731 -0.28067628 0.897828731
cc60            -8.309452e-02 0.815994796 -0.07186295 0.815994796
cc61            -1.314103e-01 0.804924004 -0.13525332 0.804924004
cc62            -6.130549e-01 0.882153096 -0.63640758 0.882153096
cc63            -1.426041e+00 0.969858768 -1.42303492 0.969858768
cc64             3.878686e-01 0.889772344  0.39363860 0.889772344
cc65             2.155956e-01 0.896358606  0.19276079 0.896358606
cc66            -5.407514e-01 0.808118646 -0.53908869 0.808118646
cc67             6.587540e-01 0.846089163  0.67276172 0.846089163
cc68            -8.122453e-01 0.819985179 -0.82058872 0.819985179
cc69            -1.075001e+00 0.845583889 -1.07142436 0.845583889
cc70            -4.042483e-01 0.823279681 -0.42188895 0.823279681
cc71             6.127314e-01 0.892720257  0.61779168 0.892720257
cc72             8.258959e-01 0.845127586  0.83109980 0.845127586
cc73             1.047627e-01 0.821068741  0.10416523 0.821068741
cc74             3.262043e-01 0.889261908  0.32637681 0.889261908
cc75             8.531846e-01 0.834034368  0.85449773 0.834034368
cc76            -1.350129e+00 0.840812070 -1.35981466 0.840812070
cc77            -1.015828e-01 0.837635029 -0.11190716 0.837635029
cc78             3.025796e-01 0.870135994  0.29874550 0.870135994
cc79            -1.693551e-01 0.877806716 -0.17569095 0.877806716
cc80             7.455682e-01 0.913163144  0.75939785 0.913163144
1                1.104810e+00 0.978419974  1.09345570 0.978419974
lcentralization  8.801432e-01 0.023285816  0.88013732 0.023285816
lwarfare        -1.311188e-02 0.082411742 -0.06093585 0.161482700
larea           -9.712529e-02 0.168076887 -0.24192072 0.188825885
lpopulation      2.139798e-03 0.027739995  0.15576989 0.166613527
ldepend15        5.329158e-05 0.001557613  0.03082580 0.013033939
ldepend64       -9.253020e-06 0.003205882 -0.01877882 0.062453751
lurban          -7.266124e-03 0.017187286 -0.02674451 0.024130902
lpop_growth      3.509782e-02 0.182338160  0.12404106 0.336471425
ltrade           5.629254e-03 0.008909323  0.01742761 0.006376092
lgini_gross      1.068970e-01 0.053234306  0.11931722 0.041427909
ldebt           -8.859017e-03 0.007341428 -0.01277589 0.005269606
lfdi_liab       -2.279891e-01 0.200429339 -0.31715631 0.166551949
linflation      -7.267682e-08 0.000000000         NaN          NA
ldemocracy      -7.899444e-02 0.087169408 -0.10348338 0.086021771
lpol_comp        2.065641e-01 0.236426534  0.24143654 0.238682427
lpresidential    1.225114e-01 0.546620862  0.14013993 0.600789855
lplurality      -1.872488e-02 0.121399989 -0.29061360 0.358986634
