[[1]]
                        Prob          Low          Med          Up
EV_NN4_CG7_ME_1 6.521333e-01 -1.137353688  0.000000000  2.04539487
EV_NN4_CG7_ME_2 1.511333e-01 -0.767475219  0.000000000  0.81065016
EV_NN4_CG7_ME_3 1.505222e-01 -1.191404621  0.000000000  0.45249359
EV_NN4_CG7_ME_4 6.527111e-01 -1.943614567  0.000000000  1.01452881
per03           1.000000e+00 -2.123452873 -0.908005199  0.32740183
per04           1.000000e+00 -0.613133733  0.603827158  1.85792950
per05           1.000000e+00 -0.532925410  0.776176082  1.99659624
per06           1.000000e+00  0.239963448  1.484032483  2.71117052
per07           1.000000e+00  0.065336139  1.258067179  2.47207205
per08           1.000000e+00 -0.739026826  0.589659716  1.90073814
cc2             1.000000e+00 -1.653790245  0.291608593  2.17862403
cc3             1.000000e+00 -2.819848691 -1.064267213  0.73987115
cc4             1.000000e+00 -1.613202589  0.132029701  1.86079878
cc5             1.000000e+00 -1.535078724  0.288247153  2.02526228
cc6             1.000000e+00 -2.002693303 -0.104679301  1.77743953
cc7             1.000000e+00 -1.724953263  0.097605469  1.99450235
cc8             1.000000e+00 -1.742896975  0.193740234  2.04286938
cc9             1.000000e+00 -1.455038556  0.334101335  2.07827711
cc10            1.000000e+00 -1.584072822  0.244044892  2.11840492
cc11            1.000000e+00 -1.806958425 -0.013349641  1.81959409
cc12            1.000000e+00 -2.294613393 -0.380247615  1.52158927
cc13            1.000000e+00 -2.143116553 -0.358881782  1.46654862
cc14            1.000000e+00 -3.924305119 -2.167619087 -0.48816394
cc15            1.000000e+00 -1.545045058  0.163120394  1.90460121
cc16            1.000000e+00 -1.623852486  0.185798999  1.99814571
cc17            1.000000e+00 -2.064775492 -0.219014909  1.65056871
cc18            1.000000e+00 -1.075312989  0.754648572  2.64449597
cc19            1.000000e+00 -1.648410145  0.028273176  1.69847443
cc20            1.000000e+00 -1.875135442 -0.067237976  1.76588294
cc21            1.000000e+00 -0.992277435  0.743502879  2.50235976
cc22            1.000000e+00 -1.523705933  0.124343138  1.78677711
cc23            1.000000e+00 -2.320890797 -0.542513818  1.26675213
cc24            1.000000e+00 -1.712524140  0.092712616  1.90053528
cc25            1.000000e+00 -1.512546778  0.161048042  1.82089905
cc26            1.000000e+00 -1.225922234  0.584764794  2.26925664
cc27            1.000000e+00 -1.636888047  0.133335490  1.93643466
cc28            1.000000e+00 -2.171463748 -0.259117407  1.65559664
cc29            1.000000e+00 -1.174305518  0.508338083  2.24062358
cc30            1.000000e+00 -1.938193728 -0.209826388  1.49442442
cc31            1.000000e+00 -2.302336137 -0.481001202  1.27915895
cc32            1.000000e+00 -1.519007032  0.281434168  2.06850067
cc33            1.000000e+00 -1.406791707  0.352422974  2.06993910
cc34            1.000000e+00 -1.255971101  0.515485689  2.22735336
cc35            1.000000e+00 -1.106283689  0.694219241  2.48888723
cc36            1.000000e+00 -1.577616272  0.121379825  1.78986493
cc37            1.000000e+00 -1.840796804  0.001116188  1.78757858
cc38            1.000000e+00 -1.913110959 -0.045501734  1.86810889
cc39            1.000000e+00 -1.808416885 -0.032484944  1.71393753
cc40            1.000000e+00 -2.220284673 -0.462276381  1.22804853
cc41            1.000000e+00 -1.449456145  0.679703123  2.69108013
cc42            1.000000e+00 -2.095689797 -0.202674501  1.70060115
cc43            1.000000e+00 -1.904176355 -0.101736079  1.69653450
cc44            1.000000e+00 -1.646873275  0.168049601  1.98935882
cc45            1.000000e+00 -2.160364591 -0.377353406  1.37525424
cc46            1.000000e+00 -1.766532375 -0.016047583  1.71903168
cc47            1.000000e+00 -2.338782818 -0.572869926  1.18424091
cc48            1.000000e+00 -1.466119280  0.443481232  2.31045527
cc49            1.000000e+00 -1.643121091  0.056035206  1.81624721
cc50            1.000000e+00 -1.887548827 -0.048889602  1.81240471
cc51            1.000000e+00 -1.724786459  0.129374133  1.95192745
cc52            1.000000e+00 -1.165293984  0.688283667  2.44064220
cc53            1.000000e+00 -1.039966375  0.692593649  2.42933703
cc54            1.000000e+00 -2.224220136 -0.442320340  1.48717187
cc55            1.000000e+00 -2.333457265 -0.646035285  1.08334499
cc56            1.000000e+00 -1.930810769 -0.064509673  1.78129730
cc57            1.000000e+00 -1.990773253 -0.124200906  1.72431491
cc58            1.000000e+00 -1.486630036  0.428503387  2.26094779
cc59            1.000000e+00 -1.918218469 -0.038002490  1.82229510
cc60            1.000000e+00 -1.830774857 -0.115232601  1.62343015
cc61            1.000000e+00 -1.572983089  0.178647185  1.89463070
cc62            1.000000e+00 -2.104767027 -0.292830553  1.61143808
cc63            1.000000e+00 -2.550659073 -0.438581902  1.53291664
cc64            1.000000e+00 -1.803333135  0.088287862  1.98441417
