[[1]]
                        Prob         Low          Med            Up
EV_NN8_GG7_ME_1 1.000000e+00 -3.03634021 -1.263746016  0.5161846558
per03           1.000000e+00 -2.19909973 -0.929190703  0.3417962183
per04           1.000000e+00 -0.56955098  0.721205524  1.9939610824
per05           1.000000e+00 -0.73014982  0.512260600  1.8100879764
per06           1.000000e+00  0.15771774  1.446828292  2.6829297604
per07           1.000000e+00 -0.11141574  1.188543180  2.4304777392
per08           1.000000e+00 -0.77803992  0.573051216  1.9310087895
cc2             1.000000e+00 -1.79430930  0.071563543  1.9854595327
cc3             1.000000e+00 -2.57076740 -0.706942671  1.0803947388
cc4             1.000000e+00 -1.45718491  0.279615210  2.0260992638
cc5             1.000000e+00 -1.78421449  0.067285516  1.8348218747
cc6             1.000000e+00 -1.85277595  0.037472137  2.0042439089
cc7             1.000000e+00 -1.94375678 -0.020245325  1.8366692282
cc8             1.000000e+00 -1.76530692  0.107056681  1.9714643206
cc9             1.000000e+00 -1.73991771  0.112084701  1.8678267613
cc10            1.000000e+00 -1.90487305 -0.027264892  1.8823540082
cc11            1.000000e+00 -2.16378767 -0.299835551  1.5241826136
cc12            1.000000e+00 -1.94565983  0.022805728  1.9240930010
cc13            1.000000e+00 -1.83244913 -0.027368068  1.8880169960
cc14            1.000000e+00 -3.76108647 -1.946165909 -0.1411987815
cc15            1.000000e+00 -1.86878935 -0.071902411  1.6842682048
cc16            1.000000e+00 -1.40646081  0.424760133  2.3044039058
cc17            1.000000e+00 -1.86902030 -0.002590860  1.8959719844
cc18            1.000000e+00 -1.49037417  0.266814046  2.0219923001
cc19            1.000000e+00 -1.73698000  0.020354000  1.7631641076
cc20            1.000000e+00 -1.82143316  0.070193856  1.9516405533
cc21            1.000000e+00 -1.16611547  0.608937108  2.4023784849
cc22            1.000000e+00 -1.71769675  0.102312002  1.8361706375
cc23            1.000000e+00 -2.10037886 -0.346481275  1.5308988967
cc24            1.000000e+00 -1.94164072 -0.054422219  1.8067549129
cc25            1.000000e+00 -1.50531511  0.219048373  1.9850385027
cc26            1.000000e+00 -1.67189683  0.045359256  1.7598623843
cc27            1.000000e+00 -1.80477187  0.034074577  1.9182997088
cc28            1.000000e+00 -1.88045896  0.040108295  1.9737657257
cc29            1.000000e+00 -1.28229954  0.486122218  2.2777597888
cc30            1.000000e+00 -1.73486168  0.048900164  1.8586614326
cc31            1.000000e+00 -2.11669546 -0.303702853  1.4316452044
cc32            1.000000e+00 -1.01978212  0.765207178  2.5533216709
cc33            1.000000e+00 -1.67552572  0.130185288  1.8192434099
cc34            1.000000e+00 -1.18352959  0.618001280  2.4224393403
cc35            1.000000e+00 -1.65131933  0.213083574  2.0162833131
cc36            1.000000e+00 -1.89227719 -0.125848862  1.6505289883
cc37            1.000000e+00 -1.97004228 -0.022869927  1.9188567221
cc38            1.000000e+00 -1.83707272  0.085862939  1.9772951113
cc39            1.000000e+00 -1.71615448  0.114743182  1.9120434782
cc40            1.000000e+00 -1.92558957 -0.146125106  1.5588632148
cc41            1.000000e+00 -1.97109789 -0.090062053  1.8149277844
cc42            1.000000e+00 -1.87091478  0.041424116  2.0167140501
cc43            1.000000e+00 -1.70803300  0.135723286  1.9663595924
cc44            1.000000e+00 -1.74321755  0.177980901  2.0228945348
cc45            1.000000e+00 -2.32946146 -0.483074566  1.3096135045
cc46            1.000000e+00 -1.83489864 -0.004791193  1.7977407893
cc47            1.000000e+00 -2.26928993 -0.429353183  1.3972664185
cc48            1.000000e+00 -1.29937485  0.627681301  2.5122171461
cc49            1.000000e+00 -1.63661211  0.143935963  1.9325346219
cc50            1.000000e+00 -2.03713816 -0.104158160  1.7687054441
cc51            1.000000e+00 -1.73730530  0.169236196  2.0461762943
cc52            1.000000e+00 -1.62029543  0.089565584  1.8943420450
cc53            1.000000e+00 -1.39886680  0.352903892  2.0808039841
cc54            1.000000e+00 -1.90404791  0.019881923  1.8338773176
cc55            1.000000e+00 -2.14613061 -0.367564868  1.3128626379
cc56            1.000000e+00 -1.67169086  0.220798447  2.1382889657
cc57            1.000000e+00 -1.97910509 -0.013063840  1.9287576555
cc58            1.000000e+00 -1.77610095  0.077990957  1.9504520845
cc59            1.000000e+00 -1.76997605  0.134883573  2.0483869318
cc60            1.000000e+00 -1.90990234 -0.156804946  1.6226724755
cc61            1.000000e+00 -1.72712337  0.026107401  1.7805378573
cc62            1.000000e+00 -2.02870890 -0.096847835  1.7754137615
cc63            1.000000e+00 -1.97155605 -0.087625371  1.7701542827
cc64            1.000000e+00 -1.85875491  0.030276000  1.8583941206
cc65            1.000000e+00 -2.46819075 -0.561871891  1.2707105822
cc66            1.000000e+00 -2.36663972 -0.589025645  1.1812227233
cc67            1.000000e+00 -1.44640696  0.278876258  2.0984576930
cc68            1.000000e+00 -2.71741384 -1.002619326  0.7251777729
cc69            1.000000e+00 -2.12469386 -0.335402662  1.5402195106
cc70            1.000000e+00 -1.44482368  0.368302049  2.1144012915
cc71            1.000000e+00 -1.90037197  0.010301553  1.9258185626
cc72            1.000000e+00 -1.33966626  0.440732914  2.2595150605
cc73            1.000000e+00 -1.58868782  0.122549136  1.8536169642
cc74            1.000000e+00 -1.93426688 -0.037783149  1.8771775366
cc75            1.000000e+00 -1.02264183  0.701029549  2.4111404352
cc76            1.000000e+00 -2.94174112 -1.150741075  0.6206634702
cc77            1.000000e+00 -1.27672735  0.516786087  2.3483272535
cc78            1.000000e+00 -1.77434908  0.083338348  1.9737062734
cc79            1.000000e+00 -1.94254055 -0.142431737  1.6636921712
cc80            1.000000e+00 -1.40313738  0.536365566  2.4422301711
1               1.000000e+00 -1.31136269  0.680841745  2.6549458976
lcentralization 1.000000e+00  0.85901834  0.904658369  0.9446789263
lwarfare        2.114667e-01 -0.10862585  0.000000000  0.3000865414
larea           5.482889e-01 -0.80749791 -0.053995226  0.0004237887
lpopulation     1.478889e-01  0.00000000  0.000000000  0.7307504525
