[[1]]
                        Prob           Low          Med          Up
EV_NN8_CG7_ME_1 0.9999222222 -2.9738202534 -1.221617422  0.50705555
EV_NN8_CG7_ME_2 0.4455000000 -1.2904816038  0.000000000  1.46239347
per03           1.0000000000 -2.1693079037 -0.896518282  0.37213722
per04           1.0000000000 -0.6344077124  0.593224783  1.90696732
per05           1.0000000000 -1.0652935815  0.212376081  1.46271164
per06           1.0000000000 -0.0879029621  1.190028804  2.44947906
per07           1.0000000000 -0.1404581505  1.096153818  2.30757280
per08           1.0000000000 -0.8518757082  0.496258799  1.85416327
cc2             1.0000000000 -1.9474663605  0.002352836  1.91476951
cc3             1.0000000000 -2.5195002593 -0.616523942  1.22505206
cc4             1.0000000000 -1.5300774863  0.261373297  2.08519202
cc5             1.0000000000 -1.7245783684  0.092476649  1.88251663
cc6             1.0000000000 -1.8892513334  0.083173805  2.07665392
cc7             1.0000000000 -2.0256771746 -0.105146242  1.73676757
cc8             1.0000000000 -1.8979943218  0.043969068  1.95993747
cc9             1.0000000000 -1.7387443170  0.057475876  1.87710209
cc10            1.0000000000 -1.8957843739 -0.010817032  1.79524206
cc11            1.0000000000 -1.9706651396 -0.120660430  1.76538760
cc12            1.0000000000 -1.9576556212 -0.062729032  1.84237217
cc13            1.0000000000 -1.9455745071 -0.073110956  1.79659588
cc14            1.0000000000 -3.8987231944 -2.098000398 -0.22114356
cc15            1.0000000000 -1.4634766466  0.310642054  2.15386691
cc16            1.0000000000 -1.2300327094  0.586180912  2.35723048
cc17            1.0000000000 -1.8053267175  0.004470082  1.87648368
cc18            1.0000000000 -1.4442138601  0.347232046  2.13255892
cc19            1.0000000000 -1.8395890633 -0.030475265  1.75262694
cc20            1.0000000000 -1.6591640992  0.152962041  2.06052936
cc21            1.0000000000 -1.4049841554  0.419223695  2.13388287
cc22            1.0000000000 -1.7245384993  0.056722525  1.84682060
cc23            1.0000000000 -2.3252661966 -0.541269305  1.33056370
cc24            1.0000000000 -1.7987214482  0.009613101  1.78280608
cc25            1.0000000000 -1.4958320556  0.201380916  2.02272113
cc26            1.0000000000 -1.5405604707  0.162363840  1.99328490
cc27            1.0000000000 -1.7382510212  0.022285085  1.82778658
cc28            1.0000000000 -1.9241430046  0.026291714  1.88257119
cc29            1.0000000000 -0.9909143763  0.818045755  2.56511089
cc30            1.0000000000 -1.8548974645 -0.142064933  1.64541802
cc31            1.0000000000 -2.3420121427 -0.581017317  1.30628719
cc32            1.0000000000 -0.9966264394  0.798488586  2.55102095
cc33            1.0000000000 -1.7095343910  0.061389859  1.86205948
cc34            1.0000000000 -1.4070041229  0.370199897  2.23262986
cc35            1.0000000000 -1.8606811150 -0.008499984  1.82147598
cc36            1.0000000000 -1.6871524879  0.068694073  1.85140554
cc37            1.0000000000 -1.8940402364 -0.039377275  1.87292150
cc38            1.0000000000 -1.7053168168  0.177476870  2.09253608
cc39            1.0000000000 -2.0307922296 -0.214392465  1.61061918
cc40            1.0000000000 -2.1250132780 -0.365950668  1.39717161
cc41            1.0000000000 -1.9464619179 -0.126516200  1.74812121
cc42            1.0000000000 -2.0097863300 -0.096242085  1.92011638
cc43            1.0000000000 -1.9190151822 -0.037049003  1.83386911
cc44            1.0000000000 -1.6680616126  0.212666489  2.13703823
cc45            1.0000000000 -2.2138322543 -0.441481042  1.39310275
cc46            1.0000000000 -1.7100077445  0.070798850  1.84889885
cc47            1.0000000000 -2.3424119653 -0.569235950  1.19360138
cc48            1.0000000000 -1.3838081546  0.562364793  2.46465119
cc49            1.0000000000 -1.6242504810  0.126907214  1.92482483
cc50            1.0000000000 -1.9315288396 -0.067293767  1.81665413
cc51            1.0000000000 -1.6527662620  0.166304259  2.01489389
cc52            1.0000000000 -1.7142005635  0.044496495  1.75924035
cc53            1.0000000000 -1.2895419561  0.447127890  2.23555435
cc54            1.0000000000 -1.7513047807  0.081677372  1.92876199
cc55            1.0000000000 -2.2116214640 -0.480254535  1.27954839
cc56            1.0000000000 -1.7583577987  0.087609199  2.02435573
cc57            1.0000000000 -1.9837780508 -0.074673628  1.88573402
cc58            1.0000000000 -1.8595075357  0.019458867  1.99634129
cc59            1.0000000000 -1.7678951635  0.094818582  1.98577266
cc60            1.0000000000 -1.7184688725  0.021206906  1.70877293
cc61            1.0000000000 -1.4313856819  0.336586651  2.09792674
cc62            1.0000000000 -1.8759507329  0.050474421  1.98036181
cc63            1.0000000000 -1.9833245449  0.060944338  2.02592060
cc64            1.0000000000 -1.8915214509  0.025910183  1.92121250
cc65            1.0000000000 -2.3355810153 -0.447848254  1.43338754
cc66            1.0000000000 -2.2848878059 -0.473567047  1.22492132
cc67            1.0000000000 -1.3184602671  0.449374574  2.25481595
cc68            1.0000000000 -2.8233111396 -1.075925333  0.73191198
cc69            1.0000000000 -2.4076312863 -0.588094471  1.28496116
