[[1]]
                       Prob          Low           Med          Up
per03           1.000000000 -2.818915718 -1.4509694240 -0.09489361
per04           1.000000000 -1.372679079 -0.0095869912  1.33430942
per05           1.000000000 -1.602042878 -0.2552731681  1.02929441
per06           1.000000000 -0.301057302  1.0105423870  2.22384223
per07           1.000000000 -0.271928075  1.0303541690  2.26140490
per08           1.000000000 -1.207055884  0.1545298636  1.56535496
cc2             1.000000000 -1.992802880 -0.1241290747  1.71124302
cc3             1.000000000 -1.777009115  0.0956705559  1.89848780
cc4             1.000000000 -1.783246608 -0.0015936179  1.83953093
cc5             1.000000000 -1.877612892  0.0148503299  1.88511982
cc6             1.000000000 -2.512423837 -0.6461635033  1.18080364
cc7             1.000000000 -1.921465696 -0.0393236326  1.86449845
cc8             1.000000000 -0.703110167  1.2234945812  3.09845125
cc9             1.000000000 -2.005270773 -0.1086805949  1.77940212
cc10            1.000000000 -3.199244228 -1.4006483098  0.41983734
cc11            1.000000000 -1.783172751  0.0072236411  1.71399027
cc12            1.000000000 -1.552295820  0.2757011598  1.99089216
cc13            1.000000000 -1.584911309  0.2305957521  2.01242097
cc14            1.000000000 -1.608119916  0.2157757989  2.09090147
cc15            1.000000000 -1.917586252 -0.0799586365  1.76278652
cc16            1.000000000 -1.736520268  0.0572801598  1.91823486
cc17            1.000000000 -1.426780898  0.4041129954  2.17721950
cc18            1.000000000 -1.975465743 -0.1500225498  1.63672440
cc19            1.000000000 -2.378847534 -0.5428853759  1.27003368
cc20            1.000000000 -1.957103910 -0.0975475522  1.78731660
cc21            1.000000000 -1.830954862 -0.0164334469  1.75377158
cc22            1.000000000 -1.789984681 -0.0004564287  1.81023235
cc23            1.000000000 -2.059678274 -0.1090533522  1.74620944
cc24            1.000000000 -1.366186389  0.4104152185  2.25518281
cc25            1.000000000 -1.929259464 -0.1229269100  1.68014866
cc26            1.000000000 -2.220568149 -0.4108422570  1.43259413
cc27            1.000000000 -1.121291201  0.6846849898  2.52946819
cc28            1.000000000 -1.889630015 -0.0593401200  1.75531415
cc29            1.000000000 -1.240905620  0.4710342243  2.21929655
cc30            1.000000000 -1.661078631  0.1272972237  1.98293387
cc31            1.000000000 -1.975088810 -0.2171843853  1.59904663
cc32            1.000000000 -2.004867954 -0.0081986373  1.88644544
cc33            1.000000000 -2.021944505 -0.0935087855  1.79897149
cc34            1.000000000 -1.513216522  0.3993114448  2.24446316
cc35            1.000000000 -1.903333460 -0.1366413808  1.70655320
cc36            1.000000000 -1.828798448 -0.0930552953  1.69628447
cc37            1.000000000 -2.095704790 -0.1833138918  1.72343964
cc38            1.000000000 -1.964121993 -0.0232065528  1.88954253
cc39            1.000000000 -1.762850130  0.0867801795  2.03612244
cc40            1.000000000 -2.116209136 -0.3042506535  1.43435792
cc41            1.000000000 -1.891467945  0.0092294361  1.98257383
cc42            1.000000000 -1.702258319  0.0617384651  1.91831159
cc43            1.000000000 -2.425617913 -0.6211703600  1.19553740
cc44            1.000000000 -0.946863375  0.9596977115  2.88580435
cc45            1.000000000 -1.665419490  0.1110237940  1.89431050
cc46            1.000000000 -2.035194924 -0.1067588179  1.87966836
cc47            1.000000000 -1.889339942  0.0224477099  1.93861543
cc48            1.000000000 -1.268935384  0.4862988776  2.23484652
cc49            1.000000000 -1.477171881  0.3005233922  2.05842014
cc50            1.000000000 -1.943585604  0.0112749664  1.83261248
cc51            1.000000000 -1.900562983  0.0077758996  1.94099486
cc52            1.000000000 -1.921267281 -0.1251111463  1.60878056
cc53            1.000000000 -1.584844007  0.2611965895  2.11807320
cc54            1.000000000 -1.767880823  0.0415858491  1.86107841
cc55            1.000000000 -1.828054232  0.0586957144  2.03568802
cc56            1.000000000 -1.985536209 -0.1184853541  1.65569191
cc57            1.000000000 -1.533485864  0.3546200942  2.18151177
cc58            1.000000000 -1.677689871  0.1523536666  1.92496920
cc59            1.000000000 -1.850281918 -0.0454609611  1.80947773
cc60            1.000000000 -2.091793411 -0.2269273676  1.71341433
cc61            1.000000000 -1.606123038  0.1933484366  1.97020764
cc62            1.000000000 -1.959013745 -0.0661710905  1.92622135
cc63            1.000000000 -2.189456860 -0.3856862027  1.44310490
cc64            1.000000000 -2.400843725 -0.6085562147  1.16778102
cc65            1.000000000 -1.450387582  0.3971881342  2.21110911
cc66            1.000000000 -2.533512597 -0.7792480034  1.11229947
cc67            1.000000000 -2.302549623 -0.4161572979  1.44220651
cc68            1.000000000 -1.357496422  0.5039409934  2.26559661
cc69            1.000000000 -1.904821459 -0.0271958797  1.89406286
cc70            1.000000000 -1.598448337  0.2389584369  2.09411159
cc71            1.000000000 -1.644120114  0.1221603194  1.90531289
cc72            1.000000000 -2.054130264 -0.0504206824  1.84630728
cc73            1.000000000 -1.203323511  0.5716775073  2.37309265
cc74            1.000000000 -2.772680193 -0.9980197088  0.80957055
cc75            1.000000000 -1.492712861  0.2710946121  1.99696732
cc76            1.000000000 -1.550474496  0.2507187446  1.97635516
cc77            1.000000000 -1.957462480 -0.0765740813  1.71572356
1               1.000000000 -1.554277361  0.3843436401  2.35566624
lcentralization 1.000000000  0.844427723  0.8985931368  0.94218434
lwarfare        0.190100000 -0.187453026  0.0000000000  0.22447645
larea           0.205288889 -0.619868375  0.0000000000  0.08343787
lpopulation     0.265500000  0.000000000  0.0000000000  0.85139272
ldepend15       0.008911111  0.000000000  0.0000000000  0.00000000
ldepend64       0.009344444  0.000000000  0.0000000000  0.00000000
lurban          0.181877778 -0.008363603  0.0000000000  0.04033550
lpop_growth     0.219666667 -0.452024260  0.0000000000  0.48124792
ltrade          0.048511111  0.000000000  0.0000000000  0.01101044
lgini_gross     0.989088889  0.057499747  0.1466337008  0.22288829
ldebt           0.003622222  0.000000000  0.0000000000  0.00000000
