[[1]]
                        Prob          Low         Med           Up
per03           1.0000000000 -0.133928506  0.02228687  0.172614350
per04           1.0000000000 -0.045966367  0.12543348  0.306107737
per05           1.0000000000 -0.141094145  0.05402668  0.267783215
per06           1.0000000000 -0.017153348  0.19513699  0.439386542
per07           1.0000000000  0.012042592  0.24588486  0.515924021
per08           1.0000000000 -0.069556397  0.18153969  0.494690738
cc2             1.0000000000 -0.719583740  0.08225144  0.868735027
cc3             1.0000000000 -1.648632026 -1.17201837 -0.678369161
cc4             1.0000000000 -1.205427650 -0.71291595 -0.142779210
cc5             1.0000000000 -0.826331833 -0.34011127  0.189801587
cc6             1.0000000000 -0.521243389  0.23703542  1.032368601
cc7             1.0000000000 -0.803609008 -0.17858724  0.481960185
cc8             1.0000000000 -0.733825619  0.03590220  0.762980878
cc9             1.0000000000 -0.792649960 -0.35619811  0.089754604
cc10            1.0000000000 -0.491361882  0.12338002  0.674900561
cc11            1.0000000000 -0.678998695 -0.22516839  0.342903014
cc12            1.0000000000 -0.675917025  0.08352780  0.828010056
cc13            1.0000000000 -0.324565904  0.16641913  0.655235140
cc14            1.0000000000 -2.006179545 -1.48750271 -0.874168154
cc15            1.0000000000 -0.281579827  0.09085304  0.483473276
cc16            1.0000000000 -0.733097064 -0.34189703  0.056134392
cc17            1.0000000000 -0.342459689  0.09549382  0.495328460
cc18            1.0000000000 -0.383526695  0.29296783  0.847629266
cc19            1.0000000000 -1.240672677 -0.73621232 -0.190868160
cc20            1.0000000000 -0.386744119  0.06685430  0.498830831
cc21            1.0000000000 -0.559087809  0.14351219  0.838353877
cc22            1.0000000000  0.061985705  0.44438710  0.887897353
cc23            1.0000000000 -0.314519117  0.11681357  0.502451994
cc24            1.0000000000 -0.548399797 -0.07634387  0.410557813
cc25            1.0000000000 -0.459474551  0.17568496  0.654017481
cc26            1.0000000000 -1.144887995 -0.64446875 -0.128627847
cc27            1.0000000000 -0.427825179  0.04663793  0.564084795
cc28            1.0000000000 -1.113358971 -0.54924729  0.058336319
cc29            1.0000000000 -0.373717466  0.16246605  0.703164016
cc30            1.0000000000 -0.039311151  0.38809882  0.939379715
cc31            1.0000000000 -0.364950203  0.04080643  0.416481365
cc32            1.0000000000 -0.659924160  0.07078984  0.770012533
cc33            1.0000000000 -0.786138054 -0.05290215  0.639824624
cc34            1.0000000000 -1.640800596 -1.11571274 -0.307039481
cc35            1.0000000000 -0.344668098  0.13919971  0.699668482
cc36            1.0000000000 -0.189147752  0.21670293  0.668191507
cc37            1.0000000000 -0.535169097 -0.09958893  0.347472581
cc38            1.0000000000 -0.395984977  0.12221650  0.607785133
cc39            1.0000000000 -0.406827284  0.08018161  0.627537079
cc40            1.0000000000 -0.414020580  0.12257054  0.650372914
cc41            1.0000000000 -0.372107835  0.16830558  0.653970638
cc42            1.0000000000 -0.450244207  0.09182481  0.709851944
