[[1]]
                        Prob          Low           Med          Up
per03           1.0000000000 -0.241380705 -0.0752637959  0.09303379
per04           1.0000000000 -0.176476604  0.0056953080  0.18840805
per05           1.0000000000 -0.270098795 -0.0806660341  0.11581448
per06           1.0000000000 -0.158290810  0.0540245867  0.27347437
per07           1.0000000000 -0.098395426  0.1273063817  0.36072547
per08           1.0000000000 -0.153780251  0.1047207272  0.36589901
cc2             1.0000000000 -0.731353577  0.0173803997  0.78483634
cc3             1.0000000000 -1.441454309 -0.9975525618 -0.48917504
cc4             1.0000000000 -1.146379451 -0.6613636620 -0.03697171
cc5             1.0000000000 -0.443105959  0.0600685456  0.53889924
cc6             1.0000000000 -0.609185564  0.1871984666  0.94594150
cc7             1.0000000000 -0.229801698  0.4116216149  1.05574314
cc8             1.0000000000 -0.719466093 -0.0022145849  0.71465454
cc9             1.0000000000 -0.860809043 -0.4600927058 -0.05133942
cc10            1.0000000000 -0.625832534 -0.1269438782  0.35633583
cc11            1.0000000000 -0.985054307 -0.5355816676  0.04525359
cc12            1.0000000000 -0.651522191  0.1184561876  0.85848286
cc13            1.0000000000 -0.328143405  0.1337566269  0.57859290
cc14            1.0000000000 -2.066668643 -1.5734137789 -0.92835169
cc15            1.0000000000 -0.289451621  0.0625847631  0.43439654
cc16            1.0000000000 -0.862206108 -0.5000981862 -0.10620395
cc17            1.0000000000 -0.359906991  0.0446204432  0.40812216
cc18            1.0000000000 -0.196688791  0.4326500068  0.96173553
cc19            1.0000000000 -0.964907630 -0.4694870392  0.01362127
cc20            1.0000000000 -0.474843928 -0.0062812011  0.41501367
cc21            1.0000000000 -0.487466863  0.1827254255  0.87534515
cc22            1.0000000000 -0.103591457  0.2499678753  0.61247566
cc23            1.0000000000 -0.264297334  0.2261261056  0.62512529
cc24            1.0000000000 -0.482608399  0.0026459158  0.50253104
cc25            1.0000000000 -0.761634071 -0.1958793638  0.30780484
cc26            1.0000000000 -0.878873874 -0.4257300185  0.01749243
cc27            1.0000000000  0.060178472  0.5293854136  1.01387225
cc28            1.0000000000 -0.709628294 -0.1618637289  0.39029752
cc29            1.0000000000 -0.436971050  0.1033727826  0.63581303
cc30            1.0000000000  0.567784409  1.0421119611  1.52550028
cc31            1.0000000000 -0.440749721 -0.0577617512  0.30937457
cc32            1.0000000000 -0.644134802  0.0720552415  0.76193847
cc33            1.0000000000 -0.854115934 -0.1611660047  0.53397220
cc34            1.0000000000 -1.762896683 -1.2329381465 -0.67614032
cc35            1.0000000000 -0.358329551  0.0720285080  0.53372893
cc36            1.0000000000 -0.472972863 -0.0655747465  0.36822684
cc37            1.0000000000 -0.253248882  0.1570034497  0.56730872
cc38            1.0000000000 -0.483620854  0.0605100032  0.56544588
cc39            1.0000000000  0.171384348  0.6427840695  1.12290213
cc40            1.0000000000 -0.584777093 -0.0438704924  0.48495430
cc41            1.0000000000 -0.250425100  0.3230705561  0.79655009
cc42            1.0000000000 -0.280483844  0.2153485004  0.70947207
cc43            1.0000000000 -0.512842555 -0.0783294985  0.34138803
cc44            1.0000000000 -0.407400631 -0.0001933524  0.41949808
cc45            1.0000000000 -0.199486997  0.3827677290  0.95591959
cc46            1.0000000000 -0.646483987  0.0893525183  0.84718379
cc47            1.0000000000 -0.262765768  0.2417634294  0.73685073
cc48            1.0000000000 -0.340608677  0.1740520952  0.67218928
