[[1]]
                       Prob          Low          Med            Up
per03           1.000000000 -1.835664568 -0.608776255  0.5734371366
per04           1.000000000 -0.381297530  0.799368635  2.0217055874
per05           1.000000000 -0.893713563  0.270840055  1.4580603901
per06           1.000000000  0.175961584  1.322390104  2.4586634939
per07           1.000000000  0.082487709  1.249109238  2.4943429068
per08           1.000000000 -0.601780755  0.642984882  1.9163425181
cc6             1.000000000 -1.484898013  0.379139033  2.1872920044
cc10            1.000000000 -3.306780405 -1.621000653  0.0685256679
cc13            1.000000000 -1.838747192 -0.250947376  1.3723384674
cc14            1.000000000 -1.257979986  0.418237455  2.0031135404
cc18            1.000000000 -2.324799513 -0.508679105  1.3427165488
cc21            1.000000000 -1.706871601  0.015659169  1.7848289081
cc24            1.000000000 -1.561122331  0.269103316  2.0647521011
cc27            1.000000000 -1.503429195  0.248173989  1.9292598274
cc32            1.000000000 -1.144886018  0.677378332  2.3938339801
cc34            1.000000000 -0.826251431  0.923804328  2.6221622266
cc42            1.000000000 -1.984007087 -0.127444374  1.6551950899
cc44            1.000000000 -2.102525686 -0.411238940  1.2689638597
cc45            1.000000000 -3.360451650 -1.717008789 -0.0719406925
cc51            1.000000000 -1.885834013 -0.292138433  1.2698262976
cc56            1.000000000 -2.141110738 -0.583013334  1.0507609886
cc59            1.000000000 -1.596807454  0.047011410  1.7221835272
cc63            1.000000000 -0.982926943  0.724918660  2.3615712043
cc68            1.000000000 -0.788758738  0.936343382  2.5393527297
cc71            1.000000000 -1.998059753 -0.330845276  1.3684330559
cc73            1.000000000 -2.249213453 -0.504979043  1.2979778169
cc74            1.000000000 -0.673962023  0.890509575  2.5475254915
cc75            1.000000000 -1.228040522  0.353445448  1.9334067607
cc79            1.000000000 -2.160844752 -0.513554559  1.2066276787
cc82            1.000000000 -1.281278029  0.371339793  2.0646173858
cc83            1.000000000 -1.223478614  0.370778946  2.0180893827
cc84            1.000000000 -1.216248077  0.464454749  2.0479579929
cc93            1.000000000 -1.917949352 -0.149516006  1.5926491259
cc94            1.000000000 -1.688250356  0.093772748  1.7967127581
cc96            1.000000000 -1.426018213  0.178050213  1.7845998500
cc101           1.000000000 -2.041668886 -0.432608923  1.2445364554
cc102           1.000000000 -1.981052278 -0.133479408  1.6869464422
cc108           1.000000000 -1.721476305  0.083600997  1.9124074978
cc112           1.000000000 -2.418915842 -0.704621888  0.9982702738
cc113           1.000000000 -1.951941827 -0.213577859  1.4908323801
cc114           1.000000000 -1.221771088  0.429985266  2.0534032473
cc116           1.000000000 -0.936733764  0.713911696  2.3423726846
cc118           1.000000000 -0.196024891  1.601733676  3.2971981347
cc119           1.000000000 -1.642931112 -0.017994442  1.5209083905
cc120           1.000000000 -1.812359786 -0.103230087  1.6137937667
cc121           1.000000000 -1.745131869 -0.041436220  1.6888675019
cc122           1.000000000 -2.512058148 -0.788603235  0.9181249122
cc123           1.000000000 -1.389626071  0.282014410  1.8661373394
cc125           1.000000000 -1.928074808 -0.259487228  1.3083462191
cc136           1.000000000 -0.436774665  1.444520562  3.2041891717
cc137           1.000000000 -2.261777366 -0.417026023  1.4458586481
cc143           1.000000000 -1.908369787 -0.145400613  1.6049277800
cc144           1.000000000 -1.902830024 -0.185000607  1.5036316783
cc145           1.000000000 -1.919624603 -0.318288889  1.3122731243
cc147           1.000000000 -1.213795751  0.599123736  2.3141106626
cc152           1.000000000 -1.722636626 -0.041218101  1.6130215303
cc154           1.000000000 -2.414239224 -0.828692661  0.8219095279
cc158           1.000000000 -0.964690376  0.849348337  2.5394627411
cc161           1.000000000 -1.016191412  0.579185016  2.1840935648
cc164           1.000000000 -1.385584513  0.405233375  2.1459094715
cc166           1.000000000 -1.840597265 -0.121867939  1.6175931187
cc167           1.000000000 -0.501923337  1.133644388  2.7594842567
cc171           1.000000000 -1.185239584  0.456427580  2.1175729844
cc172           1.000000000 -1.479544914  0.224796098  2.0082815372
cc174           1.000000000 -2.330830799 -0.553380094  1.1776686102
cc178           1.000000000 -1.844608561 -0.265001886  1.3529972996
cc180           1.000000000 -1.729021695 -0.076824113  1.5989626071
cc183           1.000000000 -2.010948361 -0.411163443  1.2456771190
cc185           1.000000000 -1.149932368  0.627386342  2.4120116803
cc186           1.000000000 -2.200564780 -0.507396509  1.2228311466
