[[1]]
                       Prob          Low           Med          Up
per03           1.000000000 -2.178965950 -0.8837764253  0.44466260
per04           1.000000000 -0.694095323  0.6133044123  1.89875865
per05           1.000000000 -1.196443402  0.0544876364  1.33433896
per06           1.000000000  0.184957153  1.4443907487  2.66015973
per07           1.000000000  0.277115777  1.5005484999  2.70283376
per08           1.000000000 -0.414582698  0.9579395477  2.31210283
cc6             1.000000000 -1.975086062  0.0007186802  1.92422233
cc10            1.000000000 -2.531290096 -0.7455152149  1.10194558
cc13            1.000000000 -1.697697692  0.1405998767  1.98353790
cc14            1.000000000 -1.769599873  0.0500920485  1.89138400
cc18            1.000000000 -1.799152376  0.0972467220  2.14146703
cc21            1.000000000 -1.877706313 -0.0166422139  1.94920638
cc24            1.000000000 -1.899294621  0.0450650798  1.96501391
cc27            1.000000000 -1.780450298  0.0336284309  1.85846372
cc32            1.000000000 -1.976250229 -0.1361909109  1.73944598
cc34            1.000000000 -1.187889117  0.6913976953  2.56835013
cc42            1.000000000 -2.033749608 -0.0693253810  1.84780275
cc44            1.000000000 -1.868301948 -0.0367146608  1.79822361
cc45            1.000000000 -3.765928018 -1.9349325273 -0.11002588
cc51            1.000000000 -1.448291835  0.3343320006  2.09676311
cc56            1.000000000 -1.841933388 -0.0840038358  1.61402290
cc59            1.000000000 -1.700238083  0.0446249491  1.80898737
cc63            1.000000000 -1.657854537  0.1402804573  1.99174854
cc68            1.000000000 -1.854621341 -0.0945518562  1.63127941
cc71            1.000000000 -1.743189864  0.1035471179  1.99774057
cc73            1.000000000 -1.860613869  0.0831370814  2.01105260
cc74            1.000000000 -1.347906978  0.4323169734  2.18299078
cc75            1.000000000 -1.783350128  0.0018346160  1.82150672
cc79            1.000000000 -2.286996712 -0.4311606239  1.39221899
cc82            1.000000000 -1.858267760 -0.0802364753  1.81817114
cc83            1.000000000 -1.787183253  0.0214076208  1.84756211
cc84            1.000000000 -1.618689893  0.1662833458  1.89455008
cc93            1.000000000 -1.787537595  0.0752480727  1.90718922
cc94            1.000000000 -1.756679511  0.0762433705  1.96708165
cc96            1.000000000 -1.018534005  0.7476699547  2.53679227
cc101           1.000000000 -1.923690611 -0.1462807298  1.61241683
cc102           1.000000000 -1.913004082 -0.0585419225  1.93518974
cc108           1.000000000 -1.970406074  0.0007809404  1.91741861
cc112           1.000000000 -2.405179290 -0.6326497802  1.22881617
cc113           1.000000000 -0.996132885  0.7906874092  2.55104235
cc114           1.000000000 -1.868881934 -0.0892990430  1.69256421
cc116           1.000000000 -1.444472902  0.3726389192  2.16224871
cc118           1.000000000 -1.921603497 -0.1031422445  1.77478914
cc119           1.000000000 -1.616166319  0.1712928453  1.92309727
cc120           1.000000000 -1.883951512  0.0187246164  1.86341549
cc121           1.000000000 -1.916647097 -0.0917518501  1.75470506
cc122           1.000000000 -1.437649435  0.3917812474  2.17005743
cc123           1.000000000 -2.115334708 -0.2854245052  1.55454909
cc125           1.000000000 -2.006873404 -0.1933320570  1.58869627
cc136           1.000000000 -1.962309309 -0.1228154001  1.74580924
cc137           1.000000000 -1.829464835  0.0551242544  1.98611373
cc143           1.000000000 -1.789348432  0.0293915079  1.90336401
cc144           1.000000000 -1.556308797  0.3025013052  2.14093937
cc145           1.000000000 -2.057822245 -0.2635760804  1.49741537
cc147           1.000000000 -1.896872861  0.0272897653  1.94886996
cc152           1.000000000 -1.988721237 -0.1488338070  1.69984735
cc154           1.000000000 -2.306896903 -0.5258376411  1.32072061
cc158           1.000000000 -1.092544392  0.7539548358  2.63275152
cc161           1.000000000 -1.609436148  0.1835642804  1.92002273
cc164           1.000000000 -2.079845108 -0.1370748868  1.80923943
cc166           1.000000000 -1.713309483  0.1083737663  1.99710990
cc167           1.000000000 -1.841468107 -0.0628763190  1.68908414
cc171           1.000000000 -1.441226010  0.3155237667  2.08343520
cc172           1.000000000 -1.670468255  0.1884429821  2.13516905
cc174           1.000000000 -1.727930059  0.1110942266  1.97818352
cc178           1.000000000 -2.230974305 -0.4711547794  1.31185122
cc180           1.000000000 -1.381467078  0.4380738488  2.20387021
cc183           1.000000000 -1.735714010  0.1042379192  1.85713738
cc185           1.000000000 -1.907803114  0.0152270778  1.91628079
cc186           1.000000000 -1.771073673  0.0265830528  1.88019389
cc187           1.000000000 -1.511348316  0.2912569958  2.11052719
cc188           1.000000000 -1.802336024 -0.0705444932  1.67658412
cc191           1.000000000 -1.405278605  0.3864179720  2.17079416
cc198           1.000000000 -1.887413412  0.0299912240  1.97105305
cc213           1.000000000 -1.885206770  0.0293823872  1.95143346
cc217           1.000000000 -1.772431672  0.0330295610  1.94404347
cc219           1.000000000 -1.840184585  0.0425182538  1.96430573
cc220           1.000000000 -1.947798616 -0.0353594477  1.87794834
cc225           1.000000000 -2.668458036 -0.9031798399  0.91073546
cc227           1.000000000 -2.241746748 -0.4551057130  1.33418955
cc228           1.000000000 -1.343431858  0.4724258380  2.32398216
cc232           1.000000000 -2.037865273 -0.1052193876  1.82728369
cc233           1.000000000 -2.672963701 -0.8823277802  0.88917201
cc234           1.000000000 -2.358543044 -0.5004944866  1.33543567
cc240           1.000000000 -1.355622688  0.4380930106  2.30325397
cc243           1.000000000 -1.774516948  0.0410653080  1.95651810
cc246           1.000000000 -2.075284320 -0.1611049665  1.66941626
cc247           1.000000000 -1.549423166  0.2672071190  2.02750036
cc248           1.000000000 -1.654196525  0.1195524485  1.90819250
cc252           1.000000000 -2.183358791 -0.2832943548  1.59301321
cc256           1.000000000 -0.910161984  0.8123467590  2.59158652
cc257           1.000000000 -2.753542450 -1.0382574050  0.70507347
cc258           1.000000000 -1.062186910  0.7179303308  2.54323058
cc262           1.000000000 -1.619029010  0.1472776195  1.87658076
cc274           1.000000000 -1.889846655 -0.0972014690  1.67964049
cc276           1.000000000 -1.520847862  0.4164180177  2.40106900
1               1.000000000 -1.436480434  0.5353917514  2.48182650
lcentralization 1.000000000  0.814887218  0.8617499097  0.91509582
lwarfare        0.200411111 -0.268455623  0.0000000000  0.15719123
larea           0.701244444 -0.996734027 -0.2644044659  0.00000000
lpopulation     0.196422222  0.000000000  0.0000000000  0.85839155
ldepend15       0.936288889  0.000000000  0.0723249830  0.13058260
ldepend64       0.893133333 -0.396162346 -0.1957070578  0.00000000
lurban          0.831244444 -0.131034772 -0.0312579937  0.03646536
lpop_growth     0.061777778 -0.503431520  0.0000000000  0.00000000
ltrade          0.304655556 -0.002002931  0.0000000000  0.02367056
lgini_gross     0.539355556  0.000000000  0.0084345303  0.14504837
ldebt           0.005311111  0.000000000  0.0000000000  0.00000000
lfdi_liab       0.052933333 -0.078099138  0.0000000000  0.00000000
linflation      0.000400000  0.000000000  0.0000000000  0.00000000
ldemocracy      0.011677778  0.000000000  0.0000000000  0.00000000
lpol_comp       0.198377778 -0.126226862  0.0000000000  0.21255230
lpresidential   0.033044444  0.000000000  0.0000000000  0.13913874
lplurality      0.255788889 -0.743631013  0.0000000000  0.64989763
lpol_rights     0.014511111  0.000000000  0.0000000000  0.00000000
lgdp_pc         0.954911111  0.000000000  1.4151705517  2.41378976
                         Mean           SD      CondMean      CondSD
per03           -8.890049e-01 0.6622616815 -0.8862885719 0.662261682
per04            6.285491e-01 0.6674174784  0.6162191785 0.667417478
per05            4.273501e-02 0.6406115373  0.0491327879 0.640611537
per06            1.429579e+00 0.6261530051  1.4332427473 0.626153005
per07            1.496937e+00 0.6284242789  1.5014590989 0.628424279
per08            9.429180e-01 0.7007326675  0.9536427497 0.700732668
cc6             -1.191710e-02 0.9893054098  0.0015734225 0.989305410
cc10            -7.496877e-01 0.9365882369 -0.7253612151 0.936588237
cc13             1.210642e-01 0.9344269840  0.1343436165 0.934426984
cc14             6.361959e-02 0.9322187690  0.0536460955 0.932218769
cc18             1.131607e-01 0.9945293886  0.1112327513 0.994529389
cc21            -1.489399e-02 0.9796262642 -0.0135017435 0.979626264
cc24             1.501907e-02 0.9764115557  0.0282404379 0.976411556
cc27             4.100502e-02 0.9202140534  0.0338755477 0.920214053
cc32            -1.306982e-01 0.9478053880 -0.1407926786 0.947805388
cc34             6.840318e-01 0.9495717041  0.6958769828 0.949571704
cc42            -5.628871e-02 0.9935266120 -0.0668588129 0.993526612
cc44            -1.861940e-02 0.9474736052 -0.0311592589 0.947473605
cc45            -1.946173e+00 0.9333061738 -1.9427991200 0.933306174
cc51             3.084299e-01 0.9091657778  0.3206544723 0.909165778
cc56            -1.096823e-01 0.8925371433 -0.0959258401 0.892537143
cc59             4.364385e-02 0.9001089266  0.0506107772 0.900108927
cc63             1.680422e-01 0.9378501094  0.1532112485 0.937850109
cc68            -9.777670e-02 0.9051365747 -0.0957547155 0.905136575
cc71             1.112301e-01 0.9440270945  0.0993899063 0.944027095
cc73             7.751774e-02 0.9776215731  0.0739139582 0.977621573
