[[1]]
                          Prob           Low          Med         Up
per03             1.0000000000 -2.0656451836 -0.751699891 0.59850691
per04             1.0000000000 -0.6089384051  0.777479760 2.13874940
per05             1.0000000000 -0.5595382937  0.766021821 2.04222077
per06             1.0000000000 -0.6285822263  0.677934259 1.94627290
per07             1.0000000000 -0.5432007961  0.747536635 2.02659381
per08             1.0000000000 -0.7591745240  0.638132677 2.03603822
cc2               1.0000000000 -1.9207893672  0.003498820 1.93251018
cc3               1.0000000000 -2.6792569536 -0.850874908 0.98482891
cc4               1.0000000000 -1.4499942765  0.326989531 2.08559241
cc5               1.0000000000 -1.4175071430  0.441538046 2.31386126
cc6               1.0000000000 -1.8743233483  0.023301715 2.00618138
cc7               1.0000000000 -2.0359804928 -0.059982572 1.95565574
cc8               1.0000000000 -1.9134507834  0.018911621 2.00146814
cc9               1.0000000000 -1.5818871049  0.185385357 1.99906262
cc10              1.0000000000 -2.0409342893 -0.108768413 1.75508713
cc11              1.0000000000 -2.4836612478 -0.576065518 1.33147374
cc12              1.0000000000 -1.9216071960 -0.015094535 1.87747499
cc13              1.0000000000 -3.2594579625 -1.463619759 0.37533729
cc14              1.0000000000 -1.3223146130  0.487839603 2.24347139
cc15              1.0000000000 -1.8449625381 -0.060712230 1.68575364
cc16              1.0000000000 -1.8004577334 -0.016854488 1.75822157
cc17              1.0000000000 -1.7678167518  0.147606339 2.06006566
cc18              1.0000000000 -1.8792140178 -0.085420380 1.66469810
cc19              1.0000000000 -1.6718334258  0.140486776 1.99929472
cc20              1.0000000000 -1.2252633478  0.526460303 2.32745501
cc21              1.0000000000 -1.9930249546 -0.215640453 1.64562083
cc22              1.0000000000 -2.3358881284 -0.430052428 1.43734250
cc23              1.0000000000 -1.9295238363 -0.083200274 1.67030519
cc24              1.0000000000 -1.8549280723 -0.032812777 1.79996069
cc25              1.0000000000 -1.5724682106  0.233733754 2.00162649
cc26              1.0000000000 -2.1001253034 -0.205661830 1.73752753
cc27              1.0000000000 -1.8950594267  0.041479959 1.97515520
cc28              1.0000000000 -1.2232454015  0.531296129 2.38711458
cc29              1.0000000000 -2.0226950387 -0.260576239 1.51332145
cc30              1.0000000000 -1.9572079282 -0.030102784 1.92507109
cc31              1.0000000000 -2.2948448205 -0.438613146 1.40332682
cc32              1.0000000000 -1.2858828712  0.489141540 2.31971345
cc33              1.0000000000 -1.5689126721  0.234118024 2.03878099
cc34              1.0000000000 -1.6067538253  0.149453390 1.86649300
cc35              1.0000000000 -1.7597145877  0.111801407 1.94725085
cc36              1.0000000000 -1.6304057301  0.119883750 1.96072844
cc37              1.0000000000 -1.9031616830  0.028854253 1.93719306
cc38              1.0000000000 -2.1207959962 -0.264900772 1.63687363
cc39              1.0000000000 -1.3994253251  0.506564506 2.39579553
cc40              1.0000000000 -2.1287090376 -0.279272371 1.56098218
cc41              1.0000000000 -2.1381491379 -0.262422974 1.59219790
cc42              1.0000000000 -2.1149004730 -0.245635515 1.69732846
cc43              1.0000000000 -1.9906676830 -0.044805126 1.91008913
cc44              1.0000000000 -1.8711364913  0.008412458 1.87861769
cc45              1.0000000000 -1.7809790563  0.067770407 1.97039003
cc46              1.0000000000 -2.0771209257 -0.277759752 1.50372618
cc47              1.0000000000 -1.7630627751  0.138342774 1.96333252
cc48              1.0000000000 -1.9880818651 -0.194798913 1.61708738
cc49              1.0000000000 -2.2870950528 -0.428269110 1.44725609
cc50              1.0000000000 -1.1792238013  0.665245877 2.53482019
cc51              1.0000000000 -1.8420164913  0.004640066 1.79544508
cc52              1.0000000000 -1.8744346155 -0.019574031 1.86477087
cc53              1.0000000000 -1.8433296105  0.124323631 2.00770938
cc54              1.0000000000 -1.5795922309  0.232422294 2.00753727
cc55              1.0000000000 -1.2706417939  0.512923823 2.28460306
cc56              1.0000000000 -1.8568807702  0.008832117 1.95133594
cc57              1.0000000000 -1.8320720569  0.092168025 1.93836761
cc58              1.0000000000 -1.9717878943 -0.189732063 1.57960054
cc59              1.0000000000 -1.5612405874  0.343834093 2.08980723
cc60              1.0000000000 -1.7770035861  0.181577228 2.02430540
cc61              1.0000000000 -1.7899051341  0.009051100 1.87618970
cc62              1.0000000000 -1.4729688295  0.339748587 2.12664861
cc63              1.0000000000 -1.7743436757  0.050845988 1.83613761
cc64              1.0000000000 -1.7502630502  0.014947409 1.83798062
cc65              1.0000000000 -1.9916438475 -0.048065054 1.90337182
cc66              1.0000000000 -1.9109591708  0.005440469 1.95905292
cc67              1.0000000000 -1.9441707457 -0.048103913 1.78669888
cc68              1.0000000000 -1.8624642858  0.013323562 1.86083456
cc69              1.0000000000 -1.5984875248  0.221984253 2.06514513
cc70              1.0000000000 -2.1153401450 -0.262452127 1.54530243
cc71              1.0000000000 -1.9224890064 -0.008888848 1.78750502
cc72              1.0000000000 -1.2326219315  0.487620225 2.33794106
cc73              1.0000000000 -2.0693967844 -0.150804091 1.75104008
cc74              1.0000000000 -2.5029083435 -0.792764623 1.05578451
cc75              1.0000000000 -2.6035911550 -0.768213866 1.07608276
cc76              1.0000000000 -1.7056618972  0.123431483 1.95103526
cc77              1.0000000000 -1.9449514344 -0.009439351 1.88099404
cc78              1.0000000000 -1.9547435871 -0.036414372 1.86940125
cc79              1.0000000000 -1.6552232236  0.124910214 1.97083345
cc80              1.0000000000 -1.4180415058  0.321467625 2.10309854
cc81              1.0000000000 -1.2129473615  0.605655654 2.37952133
cc82              1.0000000000 -2.7657175702 -1.000622418 0.81513944
cc83              1.0000000000 -1.2489078338  0.604962224 2.38851698
cc84              1.0000000000 -1.7982899989  0.064393413 1.86206036
cc85              1.0000000000 -1.5953615604  0.311505033 2.22060685
1                 1.0000000000 -1.4731303771  0.482401185 2.43164031
lcentralization_r 1.0000000000  0.7852720451  0.831320081 0.88086188
lwarfare          0.2048111111 -0.2513736652  0.000000000 0.17642820
larea             0.9584777778 -1.2237338037 -0.726014071 0.00000000
lpopulation       0.1503777778  0.0000000000  0.000000000 0.67920689
ldepend15         0.9525777778  0.0000000000  0.199104667 0.28390519
ldepend64         0.0278333333  0.0000000000  0.000000000 0.00000000
lurban            0.0267222222  0.0000000000  0.000000000 0.00000000
lpop_growth       0.8133555556 -1.6202997750 -0.677422277 0.07097870
ltrade            0.1720555556 -0.0007615622  0.000000000 0.01937317
lgini_gross       0.2946777778 -0.1067989717  0.000000000 0.08762898
ldebt             0.2204555556 -0.0023379876  0.000000000 0.02274423
lfdi_liab         0.3110000000 -0.8548546780  0.000000000 0.04456563
