[[1]]
                          Prob          Low          Med         Up
per03             1.0000000000 -2.044800647 -0.711068628 0.60837440
per04             1.0000000000 -0.448825889  0.877519214 2.19902557
per05             1.0000000000 -0.701328874  0.596334754 1.83996352
per06             1.0000000000 -0.672798836  0.593336993 1.85364786
per07             1.0000000000 -0.502097205  0.735198387 2.04202910
per08             1.0000000000 -0.903170073  0.492334017 1.91852654
cc2               1.0000000000 -2.072250084 -0.159859162 1.74342140
cc3               1.0000000000 -2.191467018 -0.331058328 1.43519527
cc4               1.0000000000 -1.317065444  0.431580006 2.21749255
cc5               1.0000000000 -1.598504512  0.225088310 2.01695020
cc6               1.0000000000 -1.636886031  0.273280189 2.21383037
cc7               1.0000000000 -2.049191021 -0.177641278 1.71679580
cc8               1.0000000000 -1.918636091 -0.051845156 1.78981553
cc9               1.0000000000 -1.664893991  0.097595216 1.91225317
cc10              1.0000000000 -2.186620381 -0.367686700 1.57128937
cc11              1.0000000000 -2.565139472 -0.681532722 1.16627964
cc12              1.0000000000 -1.789084912  0.171136879 2.13706402
cc13              1.0000000000 -3.040462850 -1.069569631 0.83406978
cc14              1.0000000000 -1.230950095  0.548910160 2.29422362
cc15              1.0000000000 -1.647810911  0.113037950 1.80800745
cc16              1.0000000000 -1.580361076  0.202447049 1.95780769
cc17              1.0000000000 -1.986892618 -0.164827536 1.68085619
cc18              1.0000000000 -2.094916987 -0.309921220 1.48772405
cc19              1.0000000000 -1.401386657  0.485807229 2.28795370
cc20              1.0000000000 -1.671654346  0.085217977 1.87948926
cc21              1.0000000000 -1.846717904 -0.094170675 1.68703453
cc22              1.0000000000 -2.271069306 -0.400504380 1.42177194
cc23              1.0000000000 -1.945622389 -0.127042435 1.61349490
cc24              1.0000000000 -1.749487314  0.019869836 1.75069514
cc25              1.0000000000 -2.021937969 -0.194781840 1.61992507
cc26              1.0000000000 -2.086157951 -0.177344323 1.63781399
cc27              1.0000000000 -1.752733188  0.150780119 1.90241045
cc28              1.0000000000 -1.225434570  0.537882818 2.26281486
cc29              1.0000000000 -1.730663205  0.072805274 1.85021283
cc30              1.0000000000 -1.913540731 -0.046468118 1.88550841
cc31              1.0000000000 -2.180986610 -0.346960185 1.47740406
cc32              1.0000000000 -0.964226780  0.892515320 2.72849523
cc33              1.0000000000 -1.939853228 -0.093613359 1.84490618
cc34              1.0000000000 -1.767925843  0.059181750 1.78927546
cc35              1.0000000000 -2.724139787 -0.757899416 1.37864561
cc36              1.0000000000 -1.705721916  0.086523230 1.84936774
cc37              1.0000000000 -1.794649889  0.053302927 1.89013938
cc38              1.0000000000 -1.951371173 -0.145545552 1.64818302
cc39              1.0000000000 -0.972562768  0.947086125 2.82319625
cc40              1.0000000000 -2.223793674 -0.410040870 1.39896865
cc41              1.0000000000 -2.042581550 -0.266359288 1.54059321
cc42              1.0000000000 -3.186285931 -1.105739368 1.18379177
