[[1]]
                        Prob         Low           Med          Up
per03           1.0000000000 -2.32355645 -1.0379014917 0.245868789
per04           1.0000000000 -0.71365369  0.5510480671 1.840564541
per05           1.0000000000 -1.20465975  0.0648212611 1.292713448
per06           1.0000000000  0.30734323  1.4992332730 2.690126481
per07           1.0000000000  0.38381024  1.5794483721 2.760254005
per08           1.0000000000 -0.34904494  1.0693397923 2.382311994
cc2             1.0000000000 -1.82670084  0.0705587393 1.937103533
cc3             1.0000000000 -2.67012421 -0.8302013087 0.964735716
cc4             1.0000000000 -1.56080410  0.2658093007 2.022110257
cc5             1.0000000000 -1.63502695  0.1585599940 1.935451300
cc6             1.0000000000 -1.80403665  0.0854624027 2.003169163
cc7             1.0000000000 -1.86447531  0.0119316105 1.917981088
cc8             1.0000000000 -1.84581394  0.0360700142 1.948436948
cc9             1.0000000000 -1.74654546  0.0708975973 1.908090609
cc10            1.0000000000 -1.91154151 -0.0745341300 1.836298429
cc11            1.0000000000 -1.12984519  0.6356025169 2.495571053
cc12            1.0000000000 -1.96775265 -0.0334819898 1.835152542
cc13            1.0000000000 -1.89371088 -0.0143453754 1.834646977
cc14            1.0000000000 -3.64489568 -1.8158063303 0.031728844
cc15            1.0000000000 -1.46363380  0.3138859192 2.000458800
cc16            1.0000000000 -1.97298041 -0.1694922192 1.540303234
cc17            1.0000000000 -1.76054728  0.0872869622 1.858441079
cc18            1.0000000000 -1.57794634  0.2777766647 2.143353229
cc19            1.0000000000 -1.96922764 -0.1544908597 1.644049019
cc20            1.0000000000 -1.84211922  0.0050266145 1.872940483
cc21            1.0000000000 -1.89056139  0.0234628213 2.005594818
cc22            1.0000000000 -1.47814277  0.3466423445 2.059371046
cc23            1.0000000000 -1.95582162 -0.1806213825 1.571854927
cc24            1.0000000000 -2.16792401 -0.3394594970 1.466403561
cc25            1.0000000000 -1.86448628  0.0007140158 1.857890892
cc26            1.0000000000 -1.61309638  0.1943251681 1.899353941
cc27            1.0000000000 -1.67478068  0.1417425573 1.923495383
cc28            1.0000000000 -1.71220429  0.0869135832 1.964683821
cc29            1.0000000000 -1.88055364  0.0555006744 1.913300622
cc30            1.0000000000 -0.96918213  0.8276884226 2.644685398
cc31            1.0000000000 -1.90234555 -0.1646464152 1.619992899
cc32            1.0000000000 -1.91584590  0.0098635789 1.893965337
cc33            1.0000000000 -1.90840595 -0.0311741858 1.954565413
cc34            1.0000000000 -2.65699685 -0.8058509962 1.004182326
cc35            1.0000000000 -1.10469846  0.7108691605 2.520567279
cc36            1.0000000000 -1.84901688 -0.0828826152 1.723109053
cc37            1.0000000000 -1.38637032  0.4209266576 2.173630691
cc38            1.0000000000 -1.98066555 -0.1489236592 1.669098845
cc39            1.0000000000 -1.62287959  0.1263858781 1.878556665
cc40            1.0000000000 -1.92964619  0.0112003453 1.852126741
cc41            1.0000000000 -1.98648547 -0.2147375950 1.717740202
cc42            1.0000000000 -1.60568273  0.2813766994 2.024981503
