[[1]]
                       Prob          Low           Med           Up
per03           1.000000000 -1.944172557 -0.6425201138 0.6630778943
per04           1.000000000 -0.410321954  0.8401532035 2.1913159612
per05           1.000000000 -1.055383311  0.1865430878 1.4013455401
per06           1.000000000  0.458067312  1.6513354331 2.8513696674
per07           1.000000000  0.277266243  1.5166199624 2.7246835001
per08           1.000000000 -0.886921372  0.4893156635 1.8316220099
cc2             1.000000000 -1.971787710 -0.0669565250 1.8182456019
cc3             1.000000000 -2.403815178 -0.6132016114 1.1566783621
cc4             1.000000000 -1.358281939  0.4091762920 2.1815385699
cc5             1.000000000 -1.764592216  0.0122062023 1.8550887011
cc6             1.000000000 -1.944727009  0.0317888271 1.9913898317
cc7             1.000000000 -2.041438751 -0.1371856312 1.7609875390
cc8             1.000000000 -1.939718115  0.0667292948 1.9813107858
cc9             1.000000000 -1.645859024  0.1572769085 1.9470632500
cc10            1.000000000 -1.887241213 -0.0091839901 1.8458981917
cc11            1.000000000 -1.088457580  0.7111689327 2.5047399239
cc12            1.000000000 -1.997873901 -0.0607764887 1.8071280113
cc13            1.000000000 -1.960199762 -0.0540324430 1.8175072925
cc14            1.000000000 -3.482738631 -1.6771465828 0.1468462073
cc15            1.000000000 -1.430621521  0.3380598114 2.1038530480
cc16            1.000000000 -1.819500261 -0.0472191249 1.7766687148
cc17            1.000000000 -1.486850804  0.3045166617 1.9950282100
cc18            1.000000000 -1.563934484  0.3344881154 2.1601433150
cc19            1.000000000 -1.853478992 -0.0564728778 1.7108552122
cc20            1.000000000 -1.646345989  0.1757772651 1.9820713401
cc21            1.000000000 -1.874361666  0.0705202407 1.9609636363
cc22            1.000000000 -1.518919514  0.2498254477 2.0726866254
cc23            1.000000000 -1.813631466 -0.0384710298 1.7878862352
cc24            1.000000000 -2.514953395 -0.6911954386 1.1717005032
cc25            1.000000000 -1.617105900  0.1451859528 1.9338622226
cc26            1.000000000 -1.634819989  0.1371432900 1.9484442249
cc27            1.000000000 -1.849441866 -0.0799232873 1.6545173607
cc28            1.000000000 -1.799939189  0.0717836137 1.9696859785
cc29            1.000000000 -1.891121701  0.0423042678 1.8834198473
cc30            1.000000000 -1.134129673  0.6527345697 2.4232463820
cc31            1.000000000 -1.763929197  0.0382908368 1.8315269724
cc32            1.000000000 -2.011384475 -0.0293956283 1.8731200665
cc33            1.000000000 -1.901396174 -0.0015160416 1.9190366421
cc34            1.000000000 -2.767146206 -0.9075547314 0.9733031637
cc35            1.000000000 -1.354279257  0.4921585677 2.2782192031
cc36            1.000000000 -1.756038440  0.0034052093 1.6961093298
cc37            1.000000000 -1.242923380  0.4321836751 2.1822766192
cc38            1.000000000 -1.793898049  0.0392536830 1.7904270080
cc39            1.000000000 -1.856102095 -0.0784820106 1.6780132587
cc40            1.000000000 -1.892963213 -0.0320793283 1.8333553841
cc41            1.000000000 -1.848745937 -0.0063383492 1.8699262790
cc42            1.000000000 -1.439292824  0.3568035871 2.1852267580
cc43            1.000000000 -2.149434918 -0.2535525659 1.5575754519
cc44            1.000000000 -2.109926594 -0.3053607634 1.4673174635
cc45            1.000000000 -2.004176539 -0.1488866343 1.7339148454
cc46            1.000000000 -1.942039724 -0.0520924701 1.9443571317
cc47            1.000000000 -1.904576494 -0.0561888743 1.7926539387
cc48            1.000000000 -1.662915945  0.2104492015 2.0733263508
cc49            1.000000000 -2.044013931 -0.2036795033 1.5973201971
cc50            1.000000000 -1.884764608  0.0263874364 1.9826906562
cc51            1.000000000 -1.701249599  0.0837708617 1.8779433890
cc52            1.000000000 -2.343638730 -0.4503966722 1.4074413499
cc53            1.000000000 -1.135653899  0.8176100188 2.6823855874
cc54            1.000000000 -1.599956623  0.1674013398 1.9236802612
cc55            1.000000000 -1.898027306 -0.0002913877 1.9499946332
cc56            1.000000000 -1.841740352  0.0434182412 1.9282114358
cc57            1.000000000 -2.053444758 -0.2374078322 1.5541297865
cc58            1.000000000 -1.260855054  0.4909864695 2.2852195291
cc59            1.000000000 -1.779485833  0.1185991579 1.9596506161
cc60            1.000000000 -1.804197346  0.0611610132 1.8801778059
cc61            1.000000000 -2.366038121 -0.6180065458 1.1834434765
