[[1]]
                        Prob          Low          Med           Up
per03           1.0000000000 -1.384792749 -0.128950691  1.152596657
per04           1.0000000000 -0.894978504  0.369226008  1.607545861
per05           1.0000000000 -0.914845928  0.318348683  1.516222439
per06           1.0000000000  0.153144944  1.394712781  2.628293131
per07           1.0000000000  0.107288177  1.331517650  2.590725116
per08           1.0000000000 -0.719393081  0.591632462  1.869748395
cc2             1.0000000000 -1.605796971  0.153294083  1.849401671
cc3             1.0000000000 -1.921810149 -0.067357652  1.725059391
cc4             1.0000000000 -1.678289556  0.124231779  2.045593230
cc5             1.0000000000 -2.611588910 -0.898257897  0.834340028
cc6             1.0000000000 -1.765327485 -0.015478316  1.832561295
cc7             1.0000000000 -1.835788046  0.011000127  1.885238551
cc8             1.0000000000 -1.801120951  0.056877961  2.013927856
cc9             1.0000000000 -2.059600807 -0.321630182  1.459090066
cc10            1.0000000000 -1.082283142  0.591147173  2.215914871
cc11            1.0000000000 -1.432883769  0.318330562  2.070698589
cc12            1.0000000000 -1.586390815  0.213382756  1.909037708
cc13            1.0000000000 -1.379953144  0.452094966  2.171306399
cc14            1.0000000000 -1.643235815  0.283697964  2.221764581
cc15            1.0000000000 -1.492270853  0.141685789  1.765729077
cc16            1.0000000000 -1.769228369 -0.015482019  1.746514793
cc17            1.0000000000 -1.465848781  0.207693716  1.864978058
cc18            1.0000000000 -1.302776271  0.333325224  2.086904929
cc19            1.0000000000 -1.489882396  0.176198942  1.909911783
cc20            1.0000000000 -1.991509703 -0.112326804  1.787272347
cc21            1.0000000000 -1.892267626 -0.006031025  1.939576800
cc22            1.0000000000 -0.664100656  0.937626530  2.576741541
cc23            1.0000000000 -1.793252316 -0.045885859  1.715054313
cc24            1.0000000000 -1.774471045 -0.061949490  1.704769747
cc25            1.0000000000 -2.387756864 -0.639747582  1.128691708
cc26            1.0000000000 -2.361852551 -0.552279972  1.325293883
cc27            1.0000000000 -1.953642038 -0.052190764  1.800203767
cc28            1.0000000000 -1.846818526  0.115372794  1.994586313
cc29            1.0000000000 -1.517621696  0.366795645  2.170968238
cc30            1.0000000000 -1.823277172  0.038401477  1.863626328
cc31            1.0000000000 -1.896871659 -0.024190223  1.868932140
cc32            1.0000000000 -1.517870633  0.108321641  1.797621825
cc33            1.0000000000 -0.499981712  1.276862299  3.104748685
cc34            1.0000000000 -1.988419500 -0.136824260  1.669552419
cc35            1.0000000000 -2.740440321 -0.956921962  0.850732229
