[[1]]
                       Prob          Low          Med           Up
per03           1.000000000 -2.069585692 -0.585716160  0.943534663
per04           1.000000000 -1.306984813  0.223810934  1.759386486
per05           1.000000000 -1.198453058  0.347630708  1.821871784
per06           1.000000000 -0.850677254  0.661418070  2.169013439
per07           1.000000000 -0.367113317  1.066803689  2.512820697
per08           1.000000000 -1.322397739  0.273342690  1.845889197
cc2             1.000000000 -1.905095311 -0.011653639  1.950618787
cc3             1.000000000 -2.089014190 -0.125895484  1.798924488
cc4             1.000000000 -1.659549564  0.148667591  1.997066228
cc5             1.000000000 -1.904535100  0.005165133  1.884429743
cc6             1.000000000 -1.660777729  0.196916076  2.114480569
cc7             1.000000000 -0.802885253  1.115547028  3.079700532
cc8             1.000000000 -1.919786973 -0.003157485  1.871447081
cc9             1.000000000 -1.908519796 -0.070873036  1.913585118
cc10            1.000000000 -3.796635079 -1.985688646 -0.116234016
cc11            1.000000000 -2.147373266 -0.234704539  1.620116426
cc12            1.000000000 -1.898224507  0.021403926  1.918037542
cc13            1.000000000 -1.843543217  0.087419012  1.958128354
cc14            1.000000000 -1.689063934  0.198506347  2.026971363
cc15            1.000000000 -1.943705122  0.037482410  1.914494541
cc16            1.000000000 -1.350719201  0.487393295  2.248026272
cc17            1.000000000 -1.899334305  0.038047860  1.961458700
cc18            1.000000000 -2.222098723 -0.326075278  1.567539588
cc19            1.000000000 -1.888027548  0.009348348  1.882894317
cc20            1.000000000 -2.027089311 -0.102657971  1.793770800
cc21            1.000000000 -1.933706215 -0.012485231  1.885154884
cc22            1.000000000 -1.532177323  0.275438559  2.159969157
cc23            1.000000000 -1.868997623 -0.007950286  1.903789461
cc24            1.000000000 -2.469095201 -0.552099523  1.255523135
cc25            1.000000000 -1.466760303  0.363650614  2.310671576
cc26            1.000000000 -1.464762323  0.342135673  2.109059421
cc27            1.000000000 -1.628626777  0.134930716  2.018421883
cc28            1.000000000 -1.939361786 -0.135004525  1.656401507
cc29            1.000000000 -1.916526929 -0.023557853  1.894187664
cc30            1.000000000 -1.984971068 -0.101055252  1.696329179
cc31            1.000000000 -1.816622920 -0.021427130  1.857929358
cc32            1.000000000 -1.992737933 -0.103447833  1.749283336
cc33            1.000000000 -1.949767564 -0.030697681  1.877220543
cc34            1.000000000 -1.735019051  0.202383858  2.050494841
cc35            1.000000000 -1.966803808  0.003973525  1.933345811
