[[1]]
                        Prob          Low           Med          Up
per03           1.0000000000 -2.998913898 -1.4268619832 0.134202912
per04           1.0000000000 -1.179142108  0.4535326606 1.965106599
per05           1.0000000000 -1.280655535  0.2716204463 1.781717822
per06           1.0000000000 -0.529150411  1.0226926802 2.520288797
per07           1.0000000000 -0.202576253  1.2735375039 2.785159914
per08           1.0000000000 -0.905883745  0.7912328648 2.406658446
cc2             1.0000000000 -1.558246726  0.2917496765 2.055575265
cc3             1.0000000000 -1.696089521  0.1114378621 1.892947134
cc4             1.0000000000 -2.047799519 -0.1299013150 1.809213882
cc5             1.0000000000 -1.914225501  0.0380486361 1.851572870
cc6             1.0000000000 -1.452374579  0.4150054008 2.320441522
cc7             1.0000000000 -3.321484933 -1.4736649433 0.422485875
cc8             1.0000000000 -1.971481072 -0.1386697673 1.686362981
cc9             1.0000000000 -1.836404800  0.0681860614 1.928998915
cc10            1.0000000000 -1.663724081  0.2248363947 2.046189760
cc11            1.0000000000 -1.448282057  0.4683155456 2.349126072
cc12            1.0000000000 -2.138552086 -0.2934882014 1.525691618
cc13            1.0000000000 -1.855608609  0.0448079142 1.960436569
cc14            1.0000000000 -1.887187478  0.0431392146 1.967423586
cc15            1.0000000000 -1.909510239  0.0047813703 1.940135119
cc16            1.0000000000 -1.657783083  0.1788063672 1.925200011
cc17            1.0000000000 -1.652733456  0.1190330053 1.946486914
cc18            1.0000000000 -1.875855715  0.0053328594 1.896767807
cc19            1.0000000000 -1.310776687  0.5720214654 2.341389439
cc20            1.0000000000 -1.842728717  0.0114518265 1.920163378
cc21            1.0000000000 -2.289544531 -0.4157329369 1.422284399
cc22            1.0000000000 -1.408531318  0.4291545767 2.238644830
cc23            1.0000000000 -1.725529648  0.1535470617 1.985151223
cc24            1.0000000000 -1.795790626  0.0007774398 1.758527837
cc25            1.0000000000 -2.134410700 -0.3233751536 1.562613149
cc26            1.0000000000 -1.460331056  0.3977757556 2.294354493
cc27            1.0000000000 -1.925721681 -0.0246938106 1.850724030
cc28            1.0000000000 -1.168397418  0.7626347624 2.605717666
cc29            1.0000000000 -1.776440771  0.0357426708 1.863872049
cc30            1.0000000000 -1.387389304  0.4522208573 2.285927655
cc31            1.0000000000 -2.016382658 -0.1109924604 1.748926878
cc32            1.0000000000 -1.892550203 -0.1324847035 1.671195284
cc33            1.0000000000 -1.860776302  0.0156538693 1.951165510
cc34            1.0000000000 -2.005758133 -0.0685277890 1.831936268
cc35            1.0000000000 -2.058318389 -0.0388231162 1.923604865
cc36            1.0000000000 -2.017052121 -0.0958252339 1.858150762
cc37            1.0000000000 -1.653774868  0.1678068524 1.988394995
cc38            1.0000000000 -1.845012749  0.0519769836 2.097899006
cc39            1.0000000000 -1.793926112  0.0563200793 1.980178370
cc40            1.0000000000 -2.113552106 -0.2006180995 1.707947241
cc41            1.0000000000 -2.085876968 -0.2948628107 1.585192358
cc42            1.0000000000 -1.941778748 -0.0336841988 1.908458789
cc43            1.0000000000 -2.734136259 -0.8423800652 1.010479044
cc44            1.0000000000 -2.091867015 -0.2378579430 1.623277416
cc45            1.0000000000 -1.957148467 -0.0826875394 1.809439795
cc46            1.0000000000 -1.871514363  0.0244217846 1.961270295
cc47            1.0000000000 -1.881357386  0.0340714951 1.928583766
cc48            1.0000000000 -1.280522543  0.5293454416 2.274775659
