[[1]]
                        Prob           Low          Med         Up
per03           1.000000e+00 -1.5141140785 -0.054049032 1.41231099
per04           1.000000e+00 -0.3740002455  1.085972383 2.52942608
per05           1.000000e+00 -1.4476106809 -0.018718453 1.38225912
per06           1.000000e+00 -1.0861561945  0.304665398 1.71791606
per07           1.000000e+00 -0.7551690381  0.629367477 1.97745272
per08           1.000000e+00 -1.7412052704 -0.211811987 1.33328684
cc2             1.000000e+00 -1.8406391872  0.040963735 1.93324652
cc3             1.000000e+00 -1.8058007707  0.140742931 2.03294188
cc4             1.000000e+00 -1.8027502564  0.089956942 2.02749687
cc5             1.000000e+00 -1.9213496881 -0.129741669 1.71956198
cc6             1.000000e+00 -1.8538511153  0.021450265 1.88670284
cc7             1.000000e+00 -1.1668757302  0.645604583 2.43937361
cc8             1.000000e+00 -1.8618226911  0.072477329 2.00582692
cc9             1.000000e+00 -1.9829239895 -0.138521530 1.75523551
cc10            1.000000e+00 -2.1330295810 -0.231342010 1.65320433
cc11            1.000000e+00 -2.4654257643 -0.659960594 1.12011751
cc12            1.000000e+00 -1.8813445900 -0.045766105 1.75307680
cc13            1.000000e+00 -1.8502565905 -0.087854512 1.73983768
cc14            1.000000e+00 -1.9027569570 -0.013495422 1.84551959
cc15            1.000000e+00 -1.4219373465  0.336087132 2.05308161
cc16            1.000000e+00 -1.5056030556  0.235453329 1.98233294
cc17            1.000000e+00 -2.1422878051 -0.348613264 1.51466051
cc18            1.000000e+00 -1.7908608047  0.039086867 1.87221940
cc19            1.000000e+00 -1.8734337228  0.084735147 1.97406642
cc20            1.000000e+00 -1.8629814792 -0.093198755 1.65553480
cc21            1.000000e+00 -1.9849949509 -0.041306743 1.89202892
cc22            1.000000e+00 -1.9627118757 -0.041583997 1.87640245
cc23            1.000000e+00 -2.7985186182 -1.014410412 0.82671330
cc24            1.000000e+00 -1.4023641244  0.371914919 2.16577689
cc25            1.000000e+00 -2.1933004527 -0.321871529 1.52865555
cc26            1.000000e+00 -1.9871166654 -0.058351854 1.79159735
cc27            1.000000e+00 -1.9111773632 -0.012422402 1.91512622
cc28            1.000000e+00 -2.1643142559 -0.361703343 1.41679656
cc29            1.000000e+00 -1.8436679251 -0.058359574 1.71730896
cc30            1.000000e+00 -1.5875571705  0.271760844 2.18068436
cc31            1.000000e+00 -1.8857245685  0.027115742 1.88648847
cc32            1.000000e+00 -1.7420380313  0.134448853 2.07096145
cc33            1.000000e+00 -1.4319622301  0.495616755 2.32339797
cc34            1.000000e+00 -1.9234234353 -0.084467408 1.78766642
cc35            1.000000e+00 -1.7318193962  0.176334419 2.10789023
cc36            1.000000e+00 -1.9274112756 -0.061159389 1.85540863
cc37            1.000000e+00 -1.8660616158  0.042590915 1.96533496
cc38            1.000000e+00 -1.2735230988  0.683648336 2.51457606
cc39            1.000000e+00 -1.6421312854  0.058006921 1.79284457
cc40            1.000000e+00 -1.9170664118 -0.040486824 1.87096193
cc41            1.000000e+00 -1.5254009826  0.341928702 2.20232522
cc42            1.000000e+00 -1.7815783027  0.141039713 1.97122051
cc43            1.000000e+00 -1.9444814543 -0.060458247 1.77597125
cc44            1.000000e+00 -1.4385096002  0.337175525 2.09712853
cc45            1.000000e+00 -1.9651124253 -0.057284613 1.89075609
cc46            1.000000e+00 -1.7553360426  0.106406780 1.95905238
cc47            1.000000e+00 -2.0039734276 -0.237680094 1.55525579
cc48            1.000000e+00 -1.9101995017 -0.101186969 1.73319069
cc49            1.000000e+00 -1.8954113674 -0.103073174 1.64043800
cc50            1.000000e+00 -1.7927967432  0.145839294 2.10607034
cc51            1.000000e+00 -1.8165921103  0.104494028 1.97780318
cc52            1.000000e+00 -1.7720773063  0.096600693 1.98283133
cc53            1.000000e+00 -2.8667801409 -0.956063398 0.96651055
cc54            1.000000e+00 -1.2018173477  0.594189855 2.42259095
cc55            1.000000e+00 -2.0351040669 -0.075993131 1.80708867
cc56            1.000000e+00 -1.7332521056  0.017222966 1.79361793
cc57            1.000000e+00 -1.8322065156  0.092926075 1.96998971
cc58            1.000000e+00 -1.7353159175 -0.008240383 1.72993839
cc59            1.000000e+00 -2.0774965710 -0.202600719 1.69860439
cc60            1.000000e+00 -2.0537966923 -0.222652488 1.68006445
cc61            1.000000e+00 -1.8966796513  0.052514536 1.95138605
cc62            1.000000e+00 -1.8018004340  0.007522796 1.82918019
cc63            1.000000e+00 -1.3623702984  0.554327307 2.43002161
1               1.000000e+00 -1.3330586531  0.635157809 2.54323342
lcentralization 1.000000e+00  0.7524654989  0.833725641 0.90573820
lwarfare        1.963333e-01 -0.2863869776  0.000000000 0.12075508
larea           1.650222e-01 -0.0930105148  0.000000000 0.41516764
lpopulation     1.759333e-01  0.0000000000  0.000000000 0.50632911
ldepend15       5.144111e-01 -0.0008897246  0.000000000 0.09637020
ldepend64       3.737778e-02  0.0000000000  0.000000000 0.01912846
lurban          1.533333e-02  0.0000000000  0.000000000 0.00000000
lpop_growth     3.701111e-02 -0.0762625611  0.000000000 0.00000000
ltrade          1.611111e-01  0.0000000000  0.000000000 0.04062636
lgini_gross     8.850000e-02  0.0000000000  0.000000000 0.05172128
ldebt           5.555556e-05  0.0000000000  0.000000000 0.00000000
lfdi_liab       1.777778e-04  0.0000000000  0.000000000 0.00000000
linflation      1.722222e-03  0.0000000000  0.000000000 0.00000000
ldemocracy      4.764111e-01 -0.1146723017  0.000000000 0.29838487
lpol_comp       3.144444e-02  0.0000000000  0.000000000 0.48386062
lpresidential   5.059333e-01 -0.2238219706  0.000000000 1.98731898
lplurality      9.345556e-02  0.0000000000  0.000000000 1.32932406
lpol_rights     5.327111e-01  0.0000000000  0.103561377 1.43487516
lgdp_pc         9.915444e-01  0.5545245259  1.480282922 2.24257349
                         Mean           SD      CondMean      CondSD
per03           -6.579566e-02 7.518144e-01 -0.0623049339 0.751814394
per04            1.093688e+00 7.501413e-01  1.0865585147 0.750141341
per05           -1.488387e-02 7.266795e-01 -0.0230193497 0.726679543
per06            3.018846e-01 6.999884e-01  0.3109027271 0.699988385
per07            6.387188e-01 7.142138e-01  0.6216683474 0.714213833
per08           -2.042384e-01 7.925603e-01 -0.2023275831 0.792560274
cc2              4.000188e-02 9.631186e-01  0.0428371767 0.963118553
cc3              1.310613e-01 9.804839e-01  0.1261201927 0.980483915
