[[1]]
                       Prob          Low           Med          Up
per03           1.000000000 -2.471685379 -1.0738981850  0.36869549
per04           1.000000000 -1.029092182  0.4131219756  1.83889104
per05           1.000000000 -1.126354647  0.2877067904  1.63208645
per06           1.000000000  0.405531147  1.7640157610  3.16097709
per07           1.000000000 -0.591251485  0.7807444777  2.17460669
per08           1.000000000 -0.606919946  0.8519571174  2.27509482
cc2             1.000000000 -2.535532008 -0.6388876399  1.29492562
cc3             1.000000000 -1.494896323  0.2994360157  2.07750181
cc4             1.000000000 -1.504543866  0.3840716896  2.27090788
cc5             1.000000000 -1.787119553  0.1108521725  1.99178514
cc6             1.000000000 -1.759604408  0.0875175599  2.02481316
cc7             1.000000000 -2.002587395 -0.0933984276  1.82299287
cc8             1.000000000 -2.120329671 -0.2113508349  1.72287455
cc9             1.000000000 -3.622351354 -1.8589336842 -0.08276917
cc10            1.000000000 -1.962755093 -0.1745737474  1.67559524
cc11            1.000000000 -1.666059434  0.2010848863  1.99923416
cc12            1.000000000 -1.998725784 -0.1396045067  1.79528522
cc13            1.000000000 -1.042395669  0.7276857897  2.56479142
cc14            1.000000000 -1.996644635 -0.1356896339  1.81567149
cc15            1.000000000 -2.183712669 -0.3860152280  1.45955891
cc16            1.000000000 -1.484470495  0.3359389648  2.09270321
cc17            1.000000000 -1.546110976  0.2920312478  2.12135580
cc18            1.000000000 -1.704291024  0.1254161741  1.94052292
cc19            1.000000000 -1.046815168  0.7233787735  2.55540078
cc20            1.000000000 -1.999772269 -0.1225939433  1.73245486
cc21            1.000000000 -1.899474060 -0.0028369895  1.90774786
cc22            1.000000000 -2.073206987 -0.2656408712  1.54817742
cc23            1.000000000 -1.208495312  0.6786707390  2.49150617
cc24            1.000000000 -1.880323514 -0.0005487899  1.82814015
cc25            1.000000000 -1.390153282  0.3504118542  2.14883701
cc26            1.000000000 -1.400790251  0.5793384551  2.52679814
cc27            1.000000000 -1.816797189  0.0247488493  1.74176062
cc28            1.000000000 -1.940620666 -0.0947924662  1.81360704
cc29            1.000000000 -1.848789932  0.0934785599  2.12160387
cc30            1.000000000 -2.017598428 -0.2626879680  1.54726356
cc31            1.000000000 -2.147818226 -0.2431517542  1.72955917
cc32            1.000000000 -1.860396942 -0.0652843434  1.74609335
cc33            1.000000000 -1.658676890  0.1745001035  2.02068103
cc34            1.000000000 -1.643160244  0.2655508183  2.13477355
cc35            1.000000000 -2.112167982 -0.2324597002  1.65949505
cc36            1.000000000 -0.916788344  1.0104627934  2.82340314
cc37            1.000000000 -1.415821405  0.3718261625  2.17039018
cc38            1.000000000 -1.878144707 -0.0412271504  1.82224432
cc39            1.000000000 -1.438087053  0.5261902547  2.56852461
cc40            1.000000000 -1.370726137  0.3649169383  2.09250691
cc41            1.000000000 -2.022581862 -0.1189272483  1.77853032
cc42            1.000000000 -2.489427253 -0.7275285762  0.98117874
