[[1]]
                        Prob         Low           Med           Up
per03           1.0000000000 -2.63655023 -1.0930798006 5.016528e-01
per04           1.0000000000 -0.91312664  0.5878751782 2.152039e+00
per05           1.0000000000 -1.43511851  0.1186508340 1.637289e+00
per06           1.0000000000 -0.49614282  0.8930603070 2.369090e+00
per07           1.0000000000 -0.28074271  1.1617317551 2.619537e+00
per08           1.0000000000 -0.95923547  0.6417542411 2.176448e+00
cc2             1.0000000000 -1.58148767  0.2338267931 2.062672e+00
cc3             1.0000000000 -1.69148460  0.1063939692 1.939084e+00
cc4             1.0000000000 -2.10071140 -0.1631611739 1.766367e+00
cc5             1.0000000000 -1.83294508  0.0175588838 1.874214e+00
cc6             1.0000000000 -1.78997152  0.1023793217 1.983377e+00
cc7             1.0000000000 -1.47076123  0.4454509208 2.408043e+00
cc8             1.0000000000 -3.38756339 -1.5902584330 1.888254e-01
cc9             1.0000000000 -2.10522993 -0.2800581815 1.664882e+00
cc10            1.0000000000 -1.85017002  0.0060041369 1.858248e+00
cc11            1.0000000000 -1.60882423  0.2516667476 2.078380e+00
cc12            1.0000000000 -1.41034612  0.4138462600 2.272406e+00
cc13            1.0000000000 -2.20872904 -0.3451340523 1.431201e+00
cc14            1.0000000000 -1.81715293  0.0887453322 1.964202e+00
cc15            1.0000000000 -1.91005272  0.0351616742 1.984088e+00
cc16            1.0000000000 -1.93095281 -0.0646307761 1.755328e+00
cc17            1.0000000000 -1.88035851  0.0321688195 1.908817e+00
cc18            1.0000000000 -1.63923851  0.1479151623 1.984002e+00
cc19            1.0000000000 -1.63603781  0.1937548151 2.001746e+00
cc20            1.0000000000 -1.88686455  0.0514344365 1.861626e+00
cc21            1.0000000000 -1.19161905  0.5681383522 2.395865e+00
cc22            1.0000000000 -1.87825193  0.0493015249 1.896539e+00
cc23            1.0000000000 -2.06670805 -0.1252539672 1.803024e+00
cc24            1.0000000000 -1.38883349  0.4721281572 2.274493e+00
cc25            1.0000000000 -1.93379275 -0.0404122386 1.786322e+00
cc26            1.0000000000 -1.79363073  0.0003772993 1.822077e+00
cc27            1.0000000000 -2.16335199 -0.3263755873 1.560876e+00
cc28            1.0000000000 -1.45043194  0.4002330345 2.201912e+00
cc29            1.0000000000 -2.08952757 -0.0893309601 1.801944e+00
cc30            1.0000000000 -1.71458419  0.0985837013 2.024293e+00
cc31            1.0000000000 -1.71789725  0.0733811362 1.874069e+00
cc32            1.0000000000 -1.07955936  0.8097130725 2.732390e+00
cc33            1.0000000000 -1.96296614 -0.0935754880 1.801061e+00
cc34            1.0000000000 -1.81957083  0.0550029441 1.842074e+00
cc35            1.0000000000 -1.42520590  0.4009460282 2.210620e+00
cc36            1.0000000000 -1.94808986 -0.1559532973 1.633772e+00
cc37            1.0000000000 -2.03068679 -0.1817754395 1.671291e+00
cc38            1.0000000000 -1.97680978 -0.0770036891 1.869854e+00
cc39            1.0000000000 -2.02484953 -0.1249145478 1.836969e+00
cc40            1.0000000000 -1.61176983  0.1939148309 1.984707e+00
cc41            1.0000000000 -1.84518718  0.1017029907 1.936914e+00
cc42            1.0000000000 -1.74356656  0.1313916432 2.098310e+00
cc43            1.0000000000 -2.06796460 -0.1552059067 1.735263e+00
cc44            1.0000000000 -2.19535631 -0.3975016235 1.397297e+00
cc45            1.0000000000 -2.70829373 -0.9307975389 8.461863e-01
cc46            1.0000000000 -2.25876493 -0.3109364521 1.586767e+00
cc47            1.0000000000 -1.56511704  0.2763873872 2.240235e+00
cc48            1.0000000000 -1.73757049  0.1453394142 2.031418e+00
cc49            1.0000000000 -1.96556591 -0.0543175648 1.895346e+00
cc50            1.0000000000 -1.23594309  0.5726734867 2.346064e+00
cc51            1.0000000000 -2.66459545 -0.8746026961 8.958177e-01
cc52            1.0000000000 -1.57678047  0.2817241440 2.082615e+00
cc53            1.0000000000 -1.55755819  0.2493659383 2.055859e+00
1               0.7217222222 -1.57259889  0.0000000000 1.944426e+00
lcentralization 1.0000000000  0.81031515  0.8607349995 9.098138e-01
lwarfare        0.4074111111 -0.73357546  0.0000000000 4.322502e-01
larea           0.0087666667  0.00000000  0.0000000000 0.000000e+00
lpopulation     0.0040000000  0.00000000  0.0000000000 0.000000e+00
ldepend15       0.0009222222  0.00000000  0.0000000000 0.000000e+00
ldepend64       0.0015444444  0.00000000  0.0000000000 0.000000e+00
lurban          0.0695666667 -0.04912943  0.0000000000 0.000000e+00
lpop_growth     0.4905444444 -0.68162186  0.0000000000 8.927462e-01
ltrade          0.0685555556  0.00000000  0.0000000000 2.989404e-02
lgini_gross     0.9978222222  0.10972050  0.2040850170 3.113614e-01
ldebt           0.0096111111  0.00000000  0.0000000000 0.000000e+00
lfdi_liab       0.0839111111 -0.25054916  0.0000000000 0.000000e+00
linflation      0.0370222222  0.00000000  0.0000000000 3.659241e-05
ldemocracy      0.0091777778  0.00000000  0.0000000000 0.000000e+00
lpol_comp       0.0099000000  0.00000000  0.0000000000 0.000000e+00
lpresidential   0.1811777778 -0.43668104  0.0000000000 1.133467e+00
lplurality      0.0094888889  0.00000000  0.0000000000 0.000000e+00
lpol_rights     0.9519444444  0.00000000  1.0285909711 1.928300e+00
lgdp_pc         0.0000000000  0.00000000  0.0000000000 0.000000e+00
                         Mean           SD     CondMean      CondSD
per03           -1.081684e+00 0.7995724336 -1.089507232 0.799572434
per04            5.942325e-01 0.7902490117  0.586250728 0.790249012
per05            1.120413e-01 0.7835307860  0.104538750 0.783530786
per06            9.015584e-01 0.7367441637  0.908086337 0.736744164
per07            1.178025e+00 0.7431747673  1.161045195 0.743174767
per08            6.577229e-01 0.8063480377  0.636853662 0.806348038
cc2              2.269205e-01 0.9217132672  0.238982777 0.921713267
cc3              1.096639e-01 0.9342375446  0.112806736 0.934237545
cc4             -1.626846e-01 0.9883347993 -0.162682057 0.988334799
cc5              8.976325e-03 0.9522559781  0.016091548 0.952255978
cc6              9.496832e-02 0.9593587888  0.085215816 0.959358789
cc7              4.604884e-01 0.9908436342  0.456175249 0.990843634
cc8             -1.594084e+00 0.9161162241 -1.600113897 0.916116224
cc9             -2.448821e-01 0.9620465259 -0.263117869 0.962046526
cc10            -2.858077e-02 0.9573145680 -0.003634477 0.957314568
cc11             2.792818e-01 0.9324242376  0.257169830 0.932424238
cc12             4.210597e-01 0.9484552742  0.408589333 0.948455274
cc13            -3.509681e-01 0.9246014501 -0.350739302 0.924601450
cc14             7.703197e-02 0.9804791639  0.073331120 0.980479164
cc15             4.865518e-02 0.9965883122  0.037140188 0.996588312
cc16            -8.676280e-02 0.9484285587 -0.077987574 0.948428559
cc17             4.587081e-02 0.9798698448  0.019628809 0.979869845
cc18             1.320512e-01 0.9319354008  0.148139491 0.931935401
cc19             1.899068e-01 0.9391642811  0.181750556 0.939164281
cc20             3.386638e-02 0.9550636230  0.036452170 0.955063623
cc21             5.830015e-01 0.9216679317  0.581868713 0.921667932
cc22             5.205805e-02 0.9687002575  0.039843940 0.968700257
cc23            -1.250393e-01 0.9752388200 -0.124102084 0.975238820
cc24             4.724473e-01 0.9272713996  0.471028555 0.927271400
cc25            -6.067237e-02 0.9503647912 -0.065375696 0.950364791
cc26             2.778720e-02 0.9226844768  0.016187563 0.922684477
cc27            -2.917634e-01 0.9577006414 -0.321107921 0.957700641
cc28             4.313022e-01 0.9393525856  0.407903645 0.939352586
cc29            -1.149479e-01 0.9985371940 -0.112671910 0.998537194
cc30             9.124074e-02 0.9647974231  0.119391908 0.964797423
cc31             6.600323e-02 0.9229686199  0.071748711 0.922968620
cc32             7.897993e-01 0.9777933534  0.806213439 0.977793353
cc33            -7.378499e-02 0.9645724587 -0.071934395 0.964572459
cc34             7.508164e-02 0.9381725630  0.046453338 0.938172563
cc35             3.919529e-01 0.9288009723  0.392960075 0.928800972
cc36            -1.623818e-01 0.9117568385 -0.160889376 0.911756838
cc37            -1.867608e-01 0.9568036420 -0.183637912 0.956803642
cc38            -9.277957e-02 0.9818747438 -0.076838611 0.981874744
cc39            -1.355844e-01 0.9940432866 -0.137175090 0.994043287
cc40             1.929526e-01 0.9246542550  0.196626149 0.924654255
cc41             8.247009e-02 0.9750939249  0.087421329 0.975093925
cc42             1.322700e-01 0.9918980244  0.146061555 0.991898024
cc43            -1.485137e-01 0.9601234796 -0.166942431 0.960123480
cc44            -3.984143e-01 0.9204276098 -0.416734619 0.920427610
cc45            -9.081439e-01 0.9104195494 -0.931412430 0.910419549
cc46            -2.967924e-01 0.9644992889 -0.303063260 0.964499289
