[[1]]
                       Prob          Low          Med           Up
per03           1.000000000 -2.878553863 -1.445597352 0.0870088450
per04           1.000000000 -1.082965099  0.419953541 1.9239815040
per05           1.000000000 -0.881124662  0.563578471 1.9791285687
per06           1.000000000 -0.007132101  1.422582084 2.8756854999
per07           1.000000000 -0.343657635  1.073713230 2.5075937563
per08           1.000000000 -0.785419754  0.751136621 2.3249651856
cc2             1.000000000 -1.302802120  0.519718311 2.2785842033
cc3             1.000000000 -1.847991306 -0.025996737 1.7901336217
cc4             1.000000000 -2.052729074 -0.156869556 1.7128218253
cc5             1.000000000 -1.621433590  0.227104180 2.0498625891
cc6             1.000000000 -2.026727114 -0.180198782 1.7323742264
cc7             1.000000000 -2.049467089 -0.072894921 1.9640684356
cc8             1.000000000 -3.322315139 -1.502065124 0.2874509756
cc9             1.000000000 -1.630667454  0.211992583 2.1055535531
cc10            1.000000000 -1.985512242 -0.031025639 1.8811301118
cc11            1.000000000 -1.574277881  0.207547212 1.9423896471
cc12            1.000000000 -1.536155980  0.262930627 2.0409474130
cc13            1.000000000 -2.396668953 -0.573211076 1.2280076469
cc14            1.000000000 -1.827601076  0.160370367 2.0861324243
cc15            1.000000000 -2.067363161 -0.142492745 1.7638354424
cc16            1.000000000 -1.853286107  0.094739160 1.9666717481
cc17            1.000000000 -1.809230461 -0.005511011 1.8096689027
cc18            1.000000000 -1.730182834  0.038538674 1.7714228391
cc19            1.000000000 -1.780473920  0.084639984 1.9366696682
cc20            1.000000000 -1.883974886  0.029154639 2.0274775364
cc21            1.000000000 -1.087209488  0.725459592 2.5518924497
cc22            1.000000000 -1.839133660  0.007427359 1.8599930511
cc23            1.000000000 -1.467656262  0.241704917 2.0394212820
cc24            1.000000000 -2.132614002 -0.240116824 1.6857471312
cc25            1.000000000 -1.639325604  0.150492084 1.8907062856
cc26            1.000000000 -2.135852363 -0.242836233 1.6572115334
cc27            1.000000000 -1.067768392  0.906082926 2.7871722223
cc28            1.000000000 -1.907891545  0.024118577 1.9608520741
cc29            1.000000000 -2.061528261 -0.112591873 1.7713814519
cc30            1.000000000 -1.628127009  0.181799670 1.9770124915
cc31            1.000000000 -1.397890042  0.460084664 2.3937080880
cc32            1.000000000 -2.089936925 -0.123672242 1.7599093468
cc33            1.000000000 -1.863963231  0.043216007 1.9561740195
cc34            1.000000000 -2.030000776 -0.238655579 1.5496597943
cc35            1.000000000 -1.315009014  0.480453678 2.2535968175
cc36            1.000000000 -2.235609801 -0.460231746 1.2835921596
cc37            1.000000000 -1.662230104  0.273039939 2.2301064337
cc38            1.000000000 -1.905168475 -0.060041154 1.9259146688
cc39            1.000000000 -1.903279625  0.044295308 1.9096630166
cc40            1.000000000 -1.838332449  0.086223888 2.0158680907
cc41            1.000000000 -1.415636765  0.378358402 2.1784029544
cc42            1.000000000 -1.786746018  0.109882772 1.9461676972
cc43            1.000000000 -1.858288796  0.040937868 1.8876198541
cc44            1.000000000 -2.115759826 -0.382296453 1.3734720915
cc45            1.000000000 -1.849726793  0.018798262 1.8628183616
cc46            1.000000000 -2.904188506 -1.179889094 0.5885514120
cc47            1.000000000 -2.255175346 -0.354493142 1.5193841757
cc48            1.000000000 -2.183843695 -0.200647037 1.7101295213
cc49            1.000000000 -1.075801323  0.707205009 2.5111276078
cc50            1.000000000 -2.500719016 -0.731695066 1.1146755922
cc51            1.000000000 -1.258661159  0.535648418 2.3075190396
cc52            1.000000000 -1.587113238  0.215349927 2.1594148808
cc53            1.000000000 -1.992201657 -0.079529078 1.8104086341
1               1.000000000 -1.822927128  0.109475299 2.1025535441
lcentralization 1.000000000  0.841621675  0.890134874 0.9447757399
lwarfare        0.417988889 -0.717523763  0.000000000 0.4889095066
larea           0.374122222 -0.576029800  0.000000000 0.0692769288
lpopulation     0.041322222  0.000000000  0.000000000 0.1935707043
ldepend15       0.009788889  0.000000000  0.000000000 0.0000000000
ldepend64       0.019188889  0.000000000  0.000000000 0.0000000000
lurban          0.835044444 -0.246447630 -0.134139422 0.0000000000
lpop_growth     0.082211111 -0.431037567  0.000000000 0.1320566721
ltrade          0.163288889  0.000000000  0.000000000 0.0433551742
lgini_gross     0.870877778  0.000000000  0.160223406 0.2897212361
ldebt           0.050911111  0.000000000  0.000000000 0.0071143684
lfdi_liab       0.090777778 -0.311314150  0.000000000 0.0008960783
linflation      0.001688889  0.000000000  0.000000000 0.0000000000
ldemocracy      0.004900000  0.000000000  0.000000000 0.0000000000
lpol_comp       0.346855556 -0.497445319  0.000000000 0.3090297681
lpresidential   0.055422222  0.000000000  0.000000000 0.7652779136
lplurality      0.046366667  0.000000000  0.000000000 0.4266453772
lpol_rights     0.020322222  0.000000000  0.000000000 0.0000000000
lgdp_pc         0.872700000  0.000000000  1.250951768 2.4125873373
                         Mean           SD     CondMean      CondSD
per03           -1.432771e+00 0.7537699453 -1.420285225 0.753769945
per04            4.116395e-01 0.7620658479  0.429472963 0.762065848
per05            5.467121e-01 0.7355866530  0.561614525 0.735586653
per06            1.443924e+00 0.7451655498  1.429609758 0.745165550
per07            1.064659e+00 0.7254707602  1.075446651 0.725470760
per08            7.515837e-01 0.7871683135  0.753021235 0.787168314
cc2              5.067070e-01 0.9095074697  0.498307938 0.909507470
cc3             -4.304717e-02 0.9191254912 -0.030322923 0.919125491
cc4             -1.643911e-01 0.9627923122 -0.160358572 0.962792312
cc5              2.134161e-01 0.9436149642  0.204029479 0.943614964
cc6             -1.444969e-01 0.9654566290 -0.167276891 0.965456629
cc7             -8.099916e-02 1.0208151209 -0.067983736 1.020815121
cc8             -1.519166e+00 0.9202861324 -1.511758603 0.920286132
cc9              2.136528e-01 0.9591566386  0.216128758 0.959156639
cc10            -3.191601e-02 0.9870776900 -0.040021064 0.987077690
cc11             2.245043e-01 0.8961291826  0.210466703 0.896129183
cc12             2.750331e-01 0.9238521407  0.264985847 0.923852141
cc13            -5.708583e-01 0.9273858898 -0.578849845 0.927385890
cc14             1.654229e-01 0.9871792114  0.151492477 0.987179211
cc15            -1.547616e-01 0.9897144828 -0.136119696 0.989714483
cc16             9.573153e-02 0.9809229543  0.075529416 0.980922954
cc17            -1.417987e-03 0.9125959893  0.001501775 0.912595989
cc18             3.337995e-02 0.8960766150  0.037441118 0.896076615
cc19             7.722875e-02 0.9557862227  0.081820992 0.955786223
cc20             2.755261e-02 1.0022144355  0.037834645 1.002214436
cc21             7.281085e-01 0.9132564867  0.722090254 0.913256487
cc22             2.324174e-02 0.9540002859  0.016678235 0.954000286
cc23             2.427710e-01 0.9020589410  0.262428951 0.902058941
cc24            -2.629719e-01 0.9747806029 -0.250727271 0.974780603
cc25             1.338920e-01 0.8969364553  0.148795457 0.896936455
cc26            -2.318384e-01 0.9548200394 -0.238014226 0.954820039
cc27             8.541335e-01 0.9848136444  0.881599548 0.984813644
cc28             1.864784e-02 0.9881308572  0.015859444 0.988130857
cc29            -9.909703e-02 0.9764419050 -0.107308282 0.976441905
cc30             1.803468e-01 0.9304327747  0.181474927 0.930432775
cc31             4.649357e-01 0.9701044962  0.465921863 0.970104496
cc32            -1.548782e-01 0.9664317653 -0.154135966 0.966431765
cc33             2.952974e-02 0.9857225396  0.055046561 0.985722540
cc34            -2.519564e-01 0.9191023500 -0.239475697 0.919102350
