[[1]]
                        Prob          Low           Med         Up
per03           1.000000e+00 -2.845487629 -1.3225646235 0.31289278
per04           1.000000e+00 -1.024892875  0.5215738973 2.09736706
per05           1.000000e+00 -1.264814545  0.2616156942 1.78672227
per06           1.000000e+00 -0.806447492  0.7197778771 2.22627800
per07           1.000000e+00 -0.438872373  1.0646445091 2.53608969
per08           1.000000e+00 -0.995323777  0.6351744748 2.27753823
cc2             1.000000e+00 -1.626094809  0.2544476088 2.08445685
cc3             1.000000e+00 -1.832528552  0.0117777102 1.81995541
cc4             1.000000e+00 -1.989272255 -0.1193952770 1.92127067
cc5             1.000000e+00 -1.789814865  0.0610799047 1.91690636
cc6             1.000000e+00 -1.565582142  0.4235531653 2.38863577
cc7             1.000000e+00 -3.321102888 -1.4829941539 0.39848534
cc8             1.000000e+00 -2.104773362 -0.1996825836 1.67370728
cc9             1.000000e+00 -1.789236888  0.1776116014 1.97169481
cc10            1.000000e+00 -1.555029229  0.2585137420 2.07368114
cc11            1.000000e+00 -1.534733767  0.3205893884 2.17026545
cc12            1.000000e+00 -2.298061589 -0.4991699927 1.37699918
cc13            1.000000e+00 -1.812315628  0.0880701085 2.04655801
cc14            1.000000e+00 -1.839217984  0.0879760177 1.96839542
cc15            1.000000e+00 -1.918211735 -0.0173734976 1.93935318
cc16            1.000000e+00 -1.819203797 -0.0221777394 1.72496624
cc17            1.000000e+00 -1.655585673  0.1741772545 2.04572016
cc18            1.000000e+00 -1.835851179  0.0607886377 1.94925484
cc19            1.000000e+00 -1.121758977  0.7096903066 2.52277151
cc20            1.000000e+00 -1.829464627  0.0479689399 1.97556429
cc21            1.000000e+00 -2.047408594 -0.1741697757 1.65420133
cc22            1.000000e+00 -1.446770038  0.3937481634 2.22135205
cc23            1.000000e+00 -1.942029152 -0.1240086102 1.79888609
cc24            1.000000e+00 -1.727813710  0.1130551170 2.00592869
cc25            1.000000e+00 -2.104280703 -0.2408008572 1.61367588
cc26            1.000000e+00 -1.272455588  0.5942049145 2.47201129
cc27            1.000000e+00 -2.030055261 -0.1624469788 1.74044405
cc28            1.000000e+00 -1.165420203  0.6576559963 2.56642932
cc29            1.000000e+00 -1.955918053 -0.1339191310 1.75751726
cc30            1.000000e+00 -1.397336089  0.3964777641 2.19043437
cc31            1.000000e+00 -2.101673359 -0.1530199253 1.79847335
cc32            1.000000e+00 -2.000536296 -0.1555293201 1.70378169
cc33            1.000000e+00 -1.805559962  0.1303785732 2.04548203
cc34            1.000000e+00 -2.005412985 -0.0935234329 1.79137158
cc35            1.000000e+00 -2.030843032 -0.0710458058 1.87486520
cc36            1.000000e+00 -1.843360092  0.0004896004 1.94818774
cc37            1.000000e+00 -1.625836880  0.2077121526 2.12489942
cc38            1.000000e+00 -1.956887962  0.0098011149 1.96621301
cc39            1.000000e+00 -1.796393566  0.1424559203 2.03448962
cc40            1.000000e+00 -2.210155703 -0.2533394408 1.68345687
cc41            1.000000e+00 -2.018225049 -0.1745973613 1.64200876
cc42            1.000000e+00 -1.916748030  0.0385886742 1.98031592
cc43            1.000000e+00 -2.627643267 -0.8428542931 1.03243039
cc44            1.000000e+00 -2.183230676 -0.3271308640 1.55931987
cc45            1.000000e+00 -1.897523667  0.0505392941 2.04790332
cc46            1.000000e+00 -1.949002528 -0.0465918210 1.88379550
cc47            1.000000e+00 -1.882865453  0.0312502802 1.99498428
cc48            1.000000e+00 -1.232182536  0.5996286087 2.42410551
cc49            1.000000e+00 -2.732728266 -0.8204186022 1.01579729
cc50            1.000000e+00 -1.382581981  0.4773100627 2.36659490
cc51            1.000000e+00 -1.663446592  0.1941437216 2.07016476
1               1.000000e+00 -1.871076708  0.1536515137 2.11054775
lcentralization 1.000000e+00  0.760346049  0.8206103570 0.88189828
lwarfare        4.766444e-01 -0.901699208  0.0000000000 0.38928951
larea           3.820556e-01 -1.217232699  0.0000000000 0.19063604
lpopulation     3.254444e-01 -0.413871284  0.0000000000 0.84265218
ldepend15       5.715778e-01 -0.057169494  0.0000000000 0.13001629
ldepend64       5.699333e-01 -0.340225763  0.0000000000 0.46066783
lurban          6.481222e-01 -0.406806432 -0.0153261894 0.17118056
lpop_growth     5.339333e-01 -1.458303709  0.0000000000 0.56676735
ltrade          3.609111e-01 -0.009699924  0.0000000000 0.04866565
lgini_gross     9.700778e-01  0.000000000  0.2302563763 0.37496772
ldebt           1.052778e-01 -0.009960072  0.0000000000 0.01156096
lfdi_liab       1.771556e-01 -0.707677403  0.0000000000 0.01922346
linflation      7.777778e-05  0.000000000  0.0000000000 0.00000000
ldemocracy      7.020222e-01 -0.845940057  0.0000000000 0.54040337
lpol_comp       7.289111e-01 -0.476747369  0.2473369560 1.60925085
lpresidential   7.775222e-01 -0.485725248  0.7128123858 2.57878059
lplurality      7.322556e-01 -0.827794615  0.0887217031 1.73690190
lpol_rights     8.212889e-01  0.000000000  1.2535318310 2.72817839
lgdp_pc         8.264444e-01 -0.717298235  0.3901376073 2.34163750
                         Mean          SD      CondMean     CondSD
per03           -1.314011e+00 0.811018054 -1.3139711891 0.81101805
per04            5.141687e-01 0.797777151  0.5294364158 0.79777715
per05            2.432151e-01 0.784512605  0.2637677725 0.78451261
per06            7.185173e-01 0.772544616  0.7145575942 0.77254462
per07            1.067114e+00 0.768194780  1.0654468787 0.76819478
per08            6.391270e-01 0.840275271  0.6304479397 0.84027527
cc2              2.387173e-01 0.936422801  0.2536293994 0.93642280
cc3             -6.182188e-03 0.935802591 -0.0029106805 0.93580259
cc4             -9.408947e-02 0.996128671 -0.0993045977 0.99612867
cc5              6.663583e-02 0.952062495  0.0604552284 0.95206249
cc6              4.227980e-01 0.997206831  0.4359437371 0.99720683
cc7             -1.470127e+00 0.950146183 -1.4678789230 0.95014618
cc8             -2.018874e-01 0.957772345 -0.1861294212 0.95777234
cc9              1.617888e-01 0.958265277  0.1637594667 0.95826528
cc10             2.420395e-01 0.936000737  0.2588807073 0.93600074
cc11             3.239223e-01 0.955434070  0.3255554219 0.95543407
cc12            -5.036932e-01 0.934546698 -0.5059802923 0.93454670
cc13             1.099523e-01 0.973313659  0.1156298855 0.97331366
cc14             7.561232e-02 0.982303533  0.0799628051 0.98230353
cc15            -2.886636e-02 0.988706661 -0.0205210679 0.98870666
cc16            -4.172043e-02 0.920676698 -0.0283103191 0.92067670
cc17             1.669636e-01 0.950696534  0.1738190566 0.95069653
cc18             7.097052e-02 0.970752041  0.0681017229 0.97075204
cc19             6.583090e-01 0.939203633  0.6927071885 0.93920363
cc20             5.093249e-02 0.971699970  0.0502900793 0.97169997
cc21            -1.539084e-01 0.954163470 -0.1723192838 0.95416347
cc22             3.620775e-01 0.937110100  0.3817277955 0.93711010
cc23            -1.181522e-01 0.961061276 -0.1159425402 0.96106128
cc24             1.176494e-01 0.947362474  0.1218187571 0.94736247
cc25            -2.482077e-01 0.963833864 -0.2405860176 0.96383386
cc26             5.862758e-01 0.953657295  0.6034735646 0.95365730
cc27            -1.731176e-01 0.942206266 -0.1619919054 0.94220627
cc28             6.768213e-01 0.957603130  0.6709136663 0.95760313
cc29            -1.080573e-01 0.943325806 -0.1195628098 0.94332581
cc30             3.775188e-01 0.915142970  0.3895639568 0.91514297
cc31            -1.790970e-01 0.982679237 -0.1623593971 0.98267924
cc32            -1.601654e-01 0.920815093 -0.1583452560 0.92081509
cc33             9.982559e-02 0.987494350  0.1223240973 0.98749435
cc34            -1.107396e-01 0.961553758 -0.0957721967 0.96155376
cc35            -7.659446e-02 1.000406676 -0.0793371892 1.00040668
cc36             1.670873e-02 0.951127115  0.0244624911 0.95112712
cc37             2.249433e-01 0.952663779  0.2229187155 0.95266378
cc38             2.789072e-03 0.997243751  0.0094503764 0.99724375
cc39             1.192450e-01 0.971150431  0.1265040863 0.97115043
cc40            -2.264931e-01 0.977629563 -0.2542741732 0.97762956
