[[1]]
                       Prob          Low           Med           Up
per03           1.000000000 -1.353357170 -0.0444820735  1.263139885
per04           1.000000000 -1.080864543  0.2415834034  1.542180941
per05           1.000000000 -1.096019528  0.1051440267  1.364175613
per06           1.000000000  0.049705117  1.2989785164  2.537276545
per07           1.000000000  0.037890847  1.2602284382  2.495013189
per08           1.000000000 -0.779758417  0.5113647729  1.815475067
cc2             1.000000000 -1.674777682 -0.0006817607  1.717677421
cc3             1.000000000 -1.887506330 -0.0123865454  1.858660100
cc4             1.000000000 -1.751750684  0.1313390123  2.018882797
cc5             1.000000000 -2.818236575 -1.0718302722  0.665086033
cc6             1.000000000 -1.610046296  0.1633951551  2.019750583
cc7             1.000000000 -2.014657209 -0.0655899392  1.891347561
cc8             1.000000000 -1.882567810  0.0043529066  1.899008562
cc9             1.000000000 -2.270402608 -0.4467954069  1.381260968
cc10            1.000000000 -1.459210717  0.2140843193  1.909993771
cc11            1.000000000 -1.459795523  0.3298043393  2.070694187
cc12            1.000000000 -1.621946623  0.0441098706  1.766557676
cc13            1.000000000 -1.512027030  0.1941162686  1.872671806
cc14            1.000000000 -1.776861125  0.1328326341  1.959544865
cc15            1.000000000 -1.369676797  0.2713257255  1.924631919
cc16            1.000000000 -1.552378490  0.1769475553  1.921622627
cc17            1.000000000 -1.678364337 -0.0203812655  1.653889102
cc18            1.000000000 -1.113208555  0.5286934242  2.190864357
cc19            1.000000000 -1.681119581 -0.0195609422  1.637871164
cc20            1.000000000 -1.976423294 -0.1204023292  1.730817195
cc21            1.000000000 -1.865122658  0.0368608220  1.921200072
cc22            1.000000000 -0.749468719  0.8910636472  2.526986307
cc23            1.000000000 -1.576958117  0.2194948162  1.963852256
cc24            1.000000000 -1.480902460  0.2701095572  2.125816553
cc25            1.000000000 -1.933751397 -0.2200849816  1.569244757
cc26            1.000000000 -1.833985589 -0.0601656413  1.785336268
cc27            1.000000000 -1.926964032 -0.0514416749  1.865246349
cc28            1.000000000 -1.952594409 -0.0235114919  1.878289427
cc29            1.000000000 -1.508085968  0.3220461618  2.112297950
cc30            1.000000000 -1.839677339  0.0478841641  1.890459260
cc31            1.000000000 -1.913896644 -0.0225192208  1.897290127
cc32            1.000000000 -1.378761484  0.3333890541  2.058452281
cc33            1.000000000 -0.392010602  1.4258221307  3.277933166
cc34            1.000000000 -1.983956016 -0.1504547741  1.738580519
cc35            1.000000000 -2.656902845 -0.8148654986  0.993149227
cc36            1.000000000 -1.299941554  0.3966734520  2.059862751
cc37            1.000000000 -1.927026273 -0.1336071416  1.708750152
cc38            1.000000000 -2.567613531 -0.9089834447  0.714616578
cc39            1.000000000 -1.812600064 -0.0958159988  1.573390012
cc40            1.000000000 -1.937370805 -0.0391809707  1.841748007
cc41            1.000000000 -1.906848051 -0.1647805146  1.589415870
cc42            1.000000000 -1.713765218 -0.1095400716  1.540294307
cc43            1.000000000 -1.742755338  0.1303419104  2.076046116
cc44            1.000000000 -1.806929673  0.1242297083  1.938911118
cc45            1.000000000 -2.053397962 -0.2325727752  1.497286956
cc46            1.000000000 -1.630212523  0.2206231921  1.999748672
cc47            1.000000000 -1.884136268 -0.0620123763  1.794199434
cc48            1.000000000 -1.811381326  0.0228620358  1.891598443
cc49            1.000000000 -3.504941482 -1.8449878848 -0.212880309
cc50            1.000000000 -2.698269333 -0.8140811306  0.996282989
cc51            1.000000000 -1.729145743  0.1886551448  2.070241278
cc52            1.000000000 -1.740460837  0.0663379166  1.850030758
cc53            1.000000000 -1.627674817  0.0547761580  1.847183607
cc54            1.000000000 -1.184475875  0.5821548725  2.402166580
cc55            1.000000000 -1.906883087  0.0488092049  1.942501995
cc56            1.000000000 -2.068385801 -0.3335426125  1.392535454
cc57            1.000000000 -1.026353797  0.9340906714  2.859372561
1               1.000000000 -1.378433992  0.5810422436  2.497254232
lcentralization 1.000000000  0.829855514  0.8873711114  0.945262471
lwarfare        0.272244444 -0.276168359  0.0000000000  0.350947187
larea           0.054233333 -0.156777952  0.0000000000  0.000000000
lpopulation     0.512266667 -0.020699557  0.0000000000  0.839182345
ldepend15       0.010233333  0.000000000  0.0000000000  0.000000000
ldepend64       0.014100000  0.000000000  0.0000000000  0.000000000
lurban          0.477188889 -0.072353917  0.0000000000  0.000000000
lpop_growth     0.478900000 -0.097188530  0.0000000000  0.948338254
ltrade          0.118011111  0.000000000  0.0000000000  0.017317586
lgini_gross     0.421577778  0.000000000  0.0000000000  0.141158250
ldebt           0.009633333  0.000000000  0.0000000000  0.000000000
lfdi_liab       0.034022222  0.000000000  0.0000000000  0.000000000
linflation      0.999277778  0.004456792  0.0070346518  0.009651801
ldemocracy      0.787488889 -0.326713993 -0.0213319700  0.203382744
lpol_comp       0.009044444  0.000000000  0.0000000000  0.000000000
lpresidential   0.801833333 -0.189480156  0.8412742220  2.289869924
lplurality      0.121000000  0.000000000  0.0000000000  1.258641173
lpol_rights     0.811600000 -0.358005889  0.3301441066  1.215970390
lgdp_pc         0.749800000 -0.150235344  0.4207396033  1.374851072
                         Mean          SD     CondMean      CondSD
per03           -5.319020e-02 0.669100913 -0.045520778 0.669100913
per04            2.172992e-01 0.659870017  0.237549797 0.659870017
per05            1.135124e-01 0.634693435  0.114390633 0.634693435
per06            1.301217e+00 0.633127550  1.295968421 0.633127550
per07            1.259188e+00 0.632621611  1.261701637 0.632621611
per08            4.983037e-01 0.665627361  0.511028260 0.665627361
cc2              4.524823e-02 0.864386687  0.024992975 0.864386687
cc3             -2.256914e-02 0.945220824 -0.019078047 0.945220824
cc4              1.245806e-01 0.958194484  0.136020062 0.958194484
cc5             -1.077652e+00 0.891757605 -1.073154065 0.891757605
cc6              1.677474e-01 0.920103162  0.178964203 0.920103162
cc7             -6.012311e-02 0.989480555 -0.057880021 0.989480555
cc8             -2.753342e-02 0.960653425  0.003272038 0.960653425
cc9             -4.477669e-01 0.930662454 -0.444638467 0.930662454
cc10             2.146930e-01 0.864731515  0.224778640 0.864731515
cc11             3.366347e-01 0.911895505  0.320964455 0.911895505
cc12             4.225288e-02 0.851254253  0.052260552 0.851254253
cc13             1.727721e-01 0.866503891  0.190299639 0.866503891
cc14             1.116194e-01 0.965036589  0.114921063 0.965036589
cc15             2.936796e-01 0.842855556  0.281982757 0.842855556
cc16             1.859507e-01 0.898724628  0.176761007 0.898724628
cc17            -1.618898e-02 0.847278395 -0.008368254 0.847278395
cc18             5.412546e-01 0.830431598  0.530834610 0.830431598
cc19            -1.553662e-02 0.854810659 -0.022005758 0.854810659
cc20            -1.106469e-01 0.958305663 -0.121939151 0.958305663
cc21             4.645236e-02 0.952489532  0.042497670 0.952489532
cc22             8.762811e-01 0.832907837  0.891300712 0.832907837
cc23             2.164139e-01 0.907761971  0.204179625 0.907761971
cc24             2.790808e-01 0.917192436  0.272112174 0.917192436
cc25            -1.927488e-01 0.881471710 -0.211115458 0.881471710
cc26            -6.057380e-02 0.935691295 -0.058140183 0.935691295
cc27            -5.671595e-02 0.974790072 -0.044712409 0.974790072
cc28            -4.175087e-02 0.980661079 -0.014492549 0.980661079
cc29             3.190387e-01 0.917339321  0.318224680 0.917339321
cc30             5.494912e-02 0.947132173  0.053797658 0.947132173
cc31            -5.711945e-03 0.981925441 -0.024128727 0.981925441
cc32             3.517672e-01 0.870049045  0.353544788 0.870049045
cc33             1.426694e+00 0.933837909  1.436143287 0.933837909
cc34            -1.223995e-01 0.958757132 -0.133136212 0.958757132
cc35            -8.121338e-01 0.930910316 -0.818578046 0.930910316
cc36             4.068792e-01 0.861539403  0.384413976 0.861539403
cc37            -1.218693e-01 0.937492099 -0.129003185 0.937492099
cc38            -9.019775e-01 0.846093549 -0.907733030 0.846093549
cc39            -1.008413e-01 0.863909514 -0.101432092 0.863909514
cc40            -3.079860e-02 0.962710126 -0.022809586 0.962710126
cc41            -1.537623e-01 0.896437556 -0.164388356 0.896437556
cc42            -1.270597e-01 0.829081802 -0.118136516 0.829081802
cc43             1.363804e-01 0.970676602  0.141585850 0.970676602
cc44             1.200198e-01 0.962756650  0.117893015 0.962756650
cc45            -2.855843e-01 0.910482276 -0.261672880 0.910482276
cc46             2.109381e-01 0.926074090  0.205187791 0.926074090
cc47            -7.206662e-02 0.932767299 -0.066292450 0.932767299
cc48            -7.757871e-04 0.948287528  0.020756585 0.948287528
cc49            -1.826196e+00 0.844226059 -1.846438861 0.844226059
cc50            -8.298930e-01 0.926056604 -0.827147663 0.926056604
cc51             1.563538e-01 0.961362152  0.169534861 0.961362152
cc52             6.507137e-02 0.929883529  0.071523209 0.929883529
cc53             5.349809e-02 0.899534356  0.063752473 0.899534356
cc54             5.994192e-01 0.907709419  0.593555662 0.907709419
cc55             6.208041e-02 0.965865769  0.035720059 0.965865769
cc56            -3.581202e-01 0.878686024 -0.335578168 0.878686024
