[[1]]
                        Prob           Low          Med          Up
per03           1.0000000000 -1.242646e+00  0.119562896 1.433909188
per04           1.0000000000 -1.105380e+00  0.214037565 1.507214246
per05           1.0000000000 -7.279156e-01  0.513173083 1.776524070
per06           1.0000000000  1.082573e+00  2.387422483 3.697310407
per07           1.0000000000  8.620065e-02  1.335928116 2.598612516
per08           1.0000000000 -7.521099e-01  0.613872760 1.950816424
cc2             1.0000000000 -1.428074e+00  0.279224566 1.984569649
cc3             1.0000000000 -1.982797e+00 -0.111999263 1.706033711
cc4             1.0000000000 -2.571087e+00 -0.672878414 1.207479937
cc5             1.0000000000 -1.857787e+00 -0.064651126 1.740103773
cc6             1.0000000000 -2.306420e+00 -0.445037501 1.395393539
cc7             1.0000000000 -1.751096e+00  0.116750827 1.917590598
cc8             1.0000000000 -1.456199e+00  0.171824560 1.793724324
cc9             1.0000000000 -1.669668e+00  0.157341022 2.014981411
cc10            1.0000000000 -1.083538e+00  0.579264432 2.190465561
cc11            1.0000000000 -1.747291e+00  0.098670708 1.930248661
cc12            1.0000000000 -1.867879e+00  0.062536206 1.894246377
cc13            1.0000000000 -1.724459e+00  0.138476079 1.984987634
cc14            1.0000000000 -1.646373e+00  0.205493808 2.069939165
cc15            1.0000000000 -1.628983e+00  0.187915962 1.887853962
cc16            1.0000000000 -1.288842e+00  0.419919477 2.110552383
cc17            1.0000000000 -1.819336e+00  0.011792978 1.852021719
cc18            1.0000000000 -1.809909e+00  0.088354467 1.952106930
cc19            1.0000000000 -1.652471e+00  0.214467370 1.979358114
cc20            1.0000000000 -1.766048e+00  0.100682885 1.979249980
cc21            1.0000000000 -1.806926e+00  0.016441223 1.944762169
cc22            1.0000000000 -1.827850e+00  0.006671523 1.883255098
cc23            1.0000000000 -8.369000e-01  0.884872364 2.589279538
cc24            1.0000000000 -1.613175e+00  0.086880959 1.806606631
cc25            1.0000000000 -1.878913e+00 -0.074610432 1.767391267
cc26            1.0000000000 -1.686656e+00  0.046645877 1.809442393
cc27            1.0000000000 -1.892908e+00 -0.173005486 1.550058122
cc28            1.0000000000 -1.860794e+00 -0.064566412 1.818336423
cc29            1.0000000000 -1.804196e+00  0.051111395 1.913283679
cc30            1.0000000000 -2.027335e+00 -0.285703689 1.451737100
cc31            1.0000000000 -1.559530e+00  0.147365190 1.802731634
cc32            1.0000000000 -4.673164e-01  1.357864727 3.235631896
cc33            1.0000000000 -1.721256e+00  0.131798659 1.975638595
cc34            1.0000000000 -1.828437e+00  0.000655038 1.799983077
cc35            1.0000000000 -1.740702e+00 -0.046533313 1.643647795
cc36            1.0000000000 -1.844785e+00 -0.018561053 1.695935204
cc37            1.0000000000 -1.602295e+00  0.226050192 2.129265126
cc38            1.0000000000 -2.396179e+00 -0.734676774 0.878705205
cc39            1.0000000000 -1.640730e+00  0.083831015 1.788189175
cc40            1.0000000000 -1.768753e+00  0.016309608 1.871979397
cc41            1.0000000000 -1.810329e+00 -0.071693700 1.737287017
cc42            1.0000000000 -1.389261e+00  0.410454652 2.231310948
cc43            1.0000000000 -2.022006e+00 -0.215797286 1.556540083
cc44            1.0000000000 -1.728301e+00  0.067650202 1.781307608
cc45            1.0000000000 -2.073944e+00 -0.168354657 1.701101224
cc46            1.0000000000 -3.077069e+00 -1.164625178 0.719105533
cc47            1.0000000000 -1.588200e+00  0.143492488 1.877563666
cc48            1.0000000000 -1.864862e+00  0.031181689 1.942471590
cc49            1.0000000000 -3.118322e+00 -1.480316626 0.171714540
cc50            1.0000000000 -1.962360e+00 -0.235612604 1.515393013
cc51            1.0000000000 -1.628485e+00  0.093413124 1.849087625
cc52            1.0000000000 -1.829574e+00  0.079398786 2.027731469
cc53            1.0000000000 -1.728808e+00  0.084315241 1.961111819
cc54            1.0000000000 -1.597540e+00  0.103809956 1.843586133
cc55            1.0000000000 -1.773698e+00 -0.020252410 1.785735081
cc56            1.0000000000 -1.580473e+00  0.194193275 2.009835010
cc57            1.0000000000 -1.563442e+00  0.234587271 2.001839032
1               0.8134222222 -6.692946e-01  0.819662055 2.816010555
lcentralization 1.0000000000  8.819798e-01  0.966200611 0.993130642
lwarfare        0.3399000000 -1.033328e-01  0.000000000 0.507551632
larea           0.0059444444  0.000000e+00  0.000000000 0.000000000
lpopulation     0.1563333333  0.000000e+00  0.000000000 0.709828491
ldepend15       0.0009222222  0.000000e+00  0.000000000 0.000000000
ldepend64       0.1450000000 -2.475077e-01  0.000000000 0.000000000
lurban          0.1160222222 -1.501882e-02  0.000000000 0.018498698
lpop_growth     0.4044888889 -4.168217e-01  0.000000000 0.686220973
ltrade          0.0819666667  0.000000e+00  0.000000000 0.017108273
lgini_gross     0.0147666667  0.000000e+00  0.000000000 0.000000000
ldebt           0.0115666667  0.000000e+00  0.000000000 0.000000000
lfdi_liab       0.0163000000  0.000000e+00  0.000000000 0.000000000
linflation      0.0434222222  0.000000e+00  0.000000000 0.000412664
ldemocracy      0.0687555556 -1.572851e-05  0.000000000 0.077765113
lpol_comp       0.0020777778  0.000000e+00  0.000000000 0.000000000
lpresidential   0.0734000000  0.000000e+00  0.000000000 1.477095753
lplurality      0.0061000000  0.000000e+00  0.000000000 0.000000000
lpol_rights     0.4340666667 -1.170209e-01  0.000000000 0.663518259
lgdp_pc         0.0000000000  0.000000e+00  0.000000000 0.000000000
                         Mean           SD     CondMean      CondSD
per03            1.170822e-01 0.6847059074  0.114797979 0.684705907
per04            1.999908e-01 0.6713314559  0.209059274 0.671331456
per05            5.113852e-01 0.6353341686  0.520997631 0.635334169
per06            2.390821e+00 0.6591963359  2.386192218 0.659196336
per07            1.314132e+00 0.6505263248  1.331344503 0.650526325
per08            6.127997e-01 0.7008903075  0.606873102 0.700890307
cc2              2.631634e-01 0.8729954112  0.274162905 0.872995411
cc3             -9.924044e-02 0.9383220630 -0.103036071 0.938322063
cc4             -6.919786e-01 0.9720751699 -0.676118843 0.972075170
cc5             -5.745031e-02 0.9243237128 -0.060692843 0.924323713
cc6             -4.622960e-01 0.9342543273 -0.444301902 0.934254327
cc7              9.445821e-02 0.9397585196  0.109838865 0.939758520
cc8              1.675476e-01 0.8466543442  0.168568216 0.846654344
cc9              1.297621e-01 0.9259285110  0.147974567 0.925928511
cc10             5.531637e-01 0.8391652509  0.559594557 0.839165251
cc11             1.117915e-01 0.9255007349  0.089266272 0.925500735
cc12             7.445835e-02 0.9560675176  0.054871370 0.956067518
cc13             1.395602e-01 0.9530798629  0.137779154 0.953079863
cc14             2.037099e-01 0.9531659575  0.199508318 0.953165958
cc15             1.786235e-01 0.9030092222  0.179200336 0.903009222
cc16             4.304285e-01 0.8668833557  0.421335212 0.866883356
cc17             3.367343e-02 0.9372262698  0.025698261 0.937226270
cc18             9.787364e-02 0.9626327429  0.093146538 0.962632743
cc19             1.946767e-01 0.9313060412  0.205296962 0.931306041
cc20             6.828793e-02 0.9651147454  0.085535125 0.965114745
cc21             3.998942e-02 0.9535519568  0.029619225 0.953551957
cc22             2.644143e-02 0.9633163828  0.008890658 0.963316383
cc23             8.557882e-01 0.8610310130  0.871537554 0.861031013
cc24             5.696322e-02 0.8793789509  0.082859338 0.879378951
cc25            -6.359226e-02 0.9472703840 -0.066248655 0.947270384
cc26             5.234786e-02 0.9015058292  0.043831227 0.901505829
cc27            -1.904875e-01 0.8810014091 -0.177862300 0.881001409
cc28            -5.441208e-02 0.9159411724 -0.064624119 0.915941172
cc29             5.881256e-02 0.9510668212  0.045743655 0.951066821
cc30            -2.814954e-01 0.8795775089 -0.286611874 0.879577509
cc31             1.288321e-01 0.8594947263  0.141860943 0.859494726
cc32             1.351654e+00 0.9397004447  1.353678581 0.939700445
cc33             1.318961e-01 0.9324697374  0.130339460 0.932469737
cc34            -1.535617e-02 0.9352808214 -0.009809774 0.935280821
cc35            -2.884777e-02 0.8587977453 -0.034725723 0.858797745
