[[1]]
                       Prob           Low          Med          Up
per03           1.000000000 -1.6350974679 -0.255141674 1.035353012
per04           1.000000000 -0.5057538352  0.841176465 2.167352149
per05           1.000000000 -1.5513639494 -0.252718012 1.057580936
per06           1.000000000 -1.2643762099  0.009451335 1.290845726
per07           1.000000000 -0.9792661058  0.320094502 1.625636107
per08           1.000000000 -1.9048970353 -0.498527902 0.899603033
cc2             1.000000000 -1.9443574225 -0.042467331 1.788918933
cc3             1.000000000 -1.4272565100  0.488525437 2.294426686
cc4             1.000000000 -2.0870555459 -0.298554506 1.539629995
cc5             1.000000000 -1.8181080721 -0.180232646 1.481505780
cc6             1.000000000 -2.4082982186 -0.659608350 1.093410160
cc7             1.000000000 -1.8945669498 -0.168636832 1.466631763
cc8             1.000000000 -2.1132518158 -0.260161396 1.603749144
cc9             1.000000000 -1.4160895640  0.299880679 1.977023000
cc10            1.000000000 -1.8080207914 -0.106485490 1.693704128
cc11            1.000000000 -2.1779078572 -0.559831519 1.083918681
cc12            1.000000000 -1.8497867372 -0.191700250 1.537746871
cc13            1.000000000 -0.8988785431  0.783264318 2.487490485
cc14            1.000000000 -1.5336065763  0.264022161 2.074249701
cc15            1.000000000 -2.4873691629 -0.866283396 0.752510372
cc16            1.000000000 -1.8438786791 -0.235506343 1.358937126
cc17            1.000000000 -2.1294699828 -0.424698648 1.264336824
cc18            1.000000000 -2.1420152188 -0.426450568 1.313842712
cc19            1.000000000 -1.5983760499  0.150318896 1.939013009
cc20            1.000000000 -0.8171022748  0.791255585 2.413074389
cc21            1.000000000 -1.8139677902  0.057094423 1.856696118
cc22            1.000000000 -1.5362481361  0.262127144 2.057012602
cc23            1.000000000 -2.7312359014 -1.004355338 0.732286358
cc24            1.000000000 -0.6669870122  1.011426907 2.678223175
cc25            1.000000000 -2.1801653081 -0.549603015 1.178229314
cc26            1.000000000 -1.3601273869  0.346747244 2.098222626
cc27            1.000000000 -2.1621189592 -0.370849396 1.436812732
cc28            1.000000000 -2.5212474604 -0.815085655 0.849071171
cc29            1.000000000 -1.4919145926  0.164284204 1.850102537
cc30            1.000000000 -3.1474643063 -1.358522893 0.518367032
cc31            1.000000000 -1.3361010996  0.528309464 2.408091450
cc32            1.000000000 -1.3223070527  0.419413012 2.078727411
cc33            1.000000000 -1.1334951548  0.625340845 2.328181921
cc34            1.000000000 -1.6596189804  0.092319426 1.845577056
cc35            1.000000000 -1.7316113037  0.007959387 1.736474306
cc36            1.000000000 -2.1199677999 -0.349209091 1.462390239
cc37            1.000000000 -1.6317590011  0.199397668 2.029816079
cc38            1.000000000 -0.6617249076  1.096995141 2.850456972
cc39            1.000000000 -1.9332273389 -0.343820212 1.263746146
cc40            1.000000000 -2.3812590682 -0.505590308 1.309555543
cc41            1.000000000 -1.1652052385  0.608457091 2.334322951
cc42            1.000000000 -1.8414032263 -0.091791646 1.733912061
cc43            1.000000000 -1.2017565813  0.557181736 2.278105171
cc44            1.000000000 -1.0977122836  0.513321029 2.082922623
cc45            1.000000000 -1.1649959553  0.658704132 2.444462110
cc46            1.000000000 -1.6002413335  0.151846947 1.961859356
cc47            1.000000000 -0.9012702392  0.856256769 2.520843835
cc48            1.000000000 -1.3581726483  0.277976265 1.961124071
cc49            1.000000000 -1.1972026454  0.420181015 1.980215259
cc50            1.000000000 -1.7374267256  0.156268381 1.982403651
cc51            1.000000000 -1.7505854558  0.115651179 1.900641341
cc52            1.000000000 -0.8230454386  0.875745622 2.512194623
cc53            1.000000000 -2.8139204045 -1.026674787 0.730241460
cc54            1.000000000 -1.7907118716 -0.105021611 1.656208879
cc55            1.000000000 -1.4967733929  0.280960050 2.122491735
cc56            1.000000000 -0.7422903367  0.940727101 2.576760574
cc57            1.000000000 -1.5162519108  0.364504676 2.219915449
cc58            1.000000000 -1.8788315833 -0.256804934 1.332452653
cc59            1.000000000 -2.2486191596 -0.540976546 1.316520677
cc60            1.000000000 -2.1836367689 -0.458291092 1.327425003
cc61            1.000000000 -1.8526080272  0.079192278 2.018636260
cc62            1.000000000 -1.6793920129  0.032942429 1.663418482
cc63            1.000000000 -2.0979777735 -0.279361754 1.613445369
1               1.000000000 -1.3947022602  0.504436788 2.394233734
lcentralization 1.000000000  0.7733981067  0.853244245 0.911915779
lwarfare        0.174800000 -0.2516400770  0.000000000 0.091742464
larea           0.261222222 -0.1382979262  0.000000000 0.442969333
lpopulation     0.018711111  0.0000000000  0.000000000 0.000000000
ldepend15       0.203000000 -0.0002173176  0.000000000 0.096713577
ldepend64       0.201255556 -0.1313352091  0.000000000 0.412037919
lurban          0.003222222  0.0000000000  0.000000000 0.000000000
lpop_growth     0.176933333 -0.3563403414  0.000000000 0.339101525
ltrade          0.154622222  0.0000000000  0.000000000 0.029189856
lgini_gross     0.108455556 -0.0110589245  0.000000000 0.053116371
ldebt           0.000200000  0.0000000000  0.000000000 0.000000000
lfdi_liab       0.095166667 -0.3852954878  0.000000000 0.000000000
linflation      0.051300000  0.0000000000  0.000000000 0.000273732
ldemocracy      0.003466667  0.0000000000  0.000000000 0.000000000
lpol_comp       0.006600000  0.0000000000  0.000000000 0.000000000
lpresidential   0.083544444  0.0000000000  0.000000000 0.905274993
lplurality      0.614933333 -0.7888870721  0.000000000 1.520995071
lpol_rights     0.663711111 -0.0232675381  0.258118059 0.845123265
lgdp_pc         0.999988889  0.8413338899  1.638631420 2.393810247
                         Mean          SD      CondMean       CondSD
per03           -2.721876e-01 0.682643527 -0.2639983899 0.6826435267
per04            8.345268e-01 0.688036219  0.8406491867 0.6880362190
per05           -2.526069e-01 0.658977250 -0.2455239734 0.6589772500
per06            6.385194e-03 0.655720919  0.0183860614 0.6557209189
per07            3.210124e-01 0.673841833  0.3273425975 0.6738418329
per08           -5.028649e-01 0.709684225 -0.5043103515 0.7096842249
cc2             -4.326392e-02 0.953095084 -0.0449142313 0.9530950837
cc3              4.805251e-01 0.942882868  0.4790815299 0.9428828678
cc4             -2.848815e-01 0.929782180 -0.2846417183 0.9297821804
cc5             -1.766074e-01 0.846645363 -0.1853942809 0.8466453630
cc6             -6.575933e-01 0.896947949 -0.6637799348 0.8969479489
cc7             -1.976215e-01 0.867734814 -0.1820298787 0.8677348141
cc8             -2.562452e-01 0.944200230 -0.2632677624 0.9442002304
cc9              3.033515e-01 0.869728526  0.2884397213 0.8697285260
cc10            -9.545606e-02 0.904824293 -0.0884982951 0.9048242928
cc11            -5.629294e-01 0.825059872 -0.5615746982 0.8250598718
cc12            -2.027958e-01 0.866158538 -0.1761047871 0.8661585378
cc13             7.617986e-01 0.869198755  0.7813334783 0.8691987545
cc14             2.846835e-01 0.929446920  0.2738718896 0.9294469204
cc15            -8.541125e-01 0.821293905 -0.8702308728 0.8212939046
cc16            -2.542815e-01 0.829261590 -0.2382233226 0.8292615899
cc17            -4.043873e-01 0.871734056 -0.4113959417 0.8717340562
cc18            -4.209734e-01 0.880014559 -0.4251829717 0.8800145593
cc19             1.604612e-01 0.896817943  0.1586308137 0.8968179429
cc20             7.843806e-01 0.828779221  0.7970755464 0.8287792208
cc21             3.935540e-02 0.941028752  0.0430614700 0.9410287515
cc22             2.458005e-01 0.926181393  0.2608208084 0.9261813927
cc23            -1.014005e+00 0.884106900 -1.0130568702 0.8841069002
cc24             1.005886e+00 0.852436490  1.0074643045 0.8524364905
cc25            -5.481369e-01 0.864625639 -0.5450938120 0.8646256391
cc26             3.756965e-01 0.889018794  0.3648274404 0.8890187943
cc27            -4.020910e-01 0.927066251 -0.3803922848 0.9270662510
cc28            -8.296863e-01 0.842136541 -0.8342170953 0.8421365414
cc29             1.762884e-01 0.834238483  0.1708379086 0.8342384828
cc30            -1.357036e+00 0.937345441 -1.3505456656 0.9373454406
