[[1]]
                        Prob         Low           Med          Up
per03           1.0000000000 -2.55728338 -1.1768957379  0.29740054
per04           1.0000000000 -1.03604044  0.4008070448  1.87456556
per05           1.0000000000 -1.12159658  0.2713215768  1.66122572
per06           1.0000000000  0.42327877  1.8088706314  3.26316267
per07           1.0000000000 -0.69880235  0.7456281379  2.16028113
per08           1.0000000000 -0.50958120  0.9447194187  2.37527343
cc2             1.0000000000 -2.36401825 -0.5116335505  1.45633036
cc3             1.0000000000 -1.29461824  0.4582228846  2.25062742
cc4             1.0000000000 -1.60852250  0.2511879642  2.13903795
cc5             1.0000000000 -1.80431852  0.0709422104  1.87726876
cc6             1.0000000000 -1.84893561  0.0417459560  1.98560645
cc7             1.0000000000 -2.05937323 -0.1052284502  1.81712320
cc8             1.0000000000 -1.91258249 -0.0600714127  1.90200222
cc9             1.0000000000 -3.66743967 -1.8674771479 -0.10905233
cc10            1.0000000000 -1.85177063 -0.0338484327  1.80676783
cc11            1.0000000000 -1.59813841  0.2280231233  2.08577692
cc12            1.0000000000 -2.14826015 -0.2704318590  1.62765722
cc13            1.0000000000 -1.38343654  0.3734144514  2.20832545
cc14            1.0000000000 -2.01545977 -0.1067979599  1.77647417
cc15            1.0000000000 -2.19828389 -0.4033250060  1.48275491
cc16            1.0000000000 -1.66063955  0.1346461431  1.97521638
cc17            1.0000000000 -1.72915732  0.1266393457  1.92888966
cc18            1.0000000000 -1.72205071  0.0963518865  1.92221920
cc19            1.0000000000 -1.09767443  0.7351590969  2.51776040
cc20            1.0000000000 -1.97221541 -0.0323807389  1.87000671
cc21            1.0000000000 -1.86855943  0.0110263572  1.94989826
cc22            1.0000000000 -2.12248623 -0.2643570711  1.48684788
cc23            1.0000000000 -0.90689046  0.8515956240  2.65550460
cc24            1.0000000000 -2.10399184 -0.2264985088  1.62703757
cc25            1.0000000000 -1.31795241  0.4994368623  2.26591653
cc26            1.0000000000 -1.68332964  0.1733172917  1.98822700
cc27            1.0000000000 -1.90882707 -0.0465735394  1.82168605
cc28            1.0000000000 -1.91867142 -0.0993492256  1.76504654
cc29            1.0000000000 -1.25146791  0.6657030753  2.59586296
cc30            1.0000000000 -2.01587923 -0.1671419321  1.69985465
cc31            1.0000000000 -1.97918064 -0.0425752077  1.85833947
cc32            1.0000000000 -1.82246371  0.0491630805  1.90021200
cc33            1.0000000000 -1.74215860  0.1182712141  2.01543548
cc34            1.0000000000 -1.85948564  0.0378689155  1.88952812
cc35            1.0000000000 -2.00818213 -0.1781203449  1.73887447
cc36            1.0000000000 -0.86968803  1.0271811047  2.87078754
cc37            1.0000000000 -1.74084042  0.0647619481  1.86949039
cc38            1.0000000000 -1.89792132 -0.0033295149  1.86890508
cc39            1.0000000000 -1.77638929 -0.0079780507  1.80712254
cc40            1.0000000000 -1.41404773  0.3765109148  2.10242809
cc41            1.0000000000 -1.85626477 -0.0184922527  1.86066828
cc42            1.0000000000 -2.46525126 -0.6772322727  1.14003738
cc43            1.0000000000 -1.35401572  0.4390917685  2.26423891
cc44            1.0000000000 -1.80072838  0.0658552938  1.93219969
cc45            1.0000000000 -1.97471926 -0.0840348307  1.82226054
cc46            1.0000000000 -1.85412998  0.0782683808  1.98235564
cc47            1.0000000000 -2.03724205 -0.0974792454  1.81847045
cc48            1.0000000000 -1.92064967  0.0104515909  1.89653418
cc49            1.0000000000 -2.09356338 -0.3466906313  1.35915442
cc50            1.0000000000 -1.70806390  0.1745021356  2.07610489
cc51            1.0000000000 -2.67020424 -0.7934081302  1.09450157
cc52            1.0000000000 -2.08224314 -0.2556117074  1.64380502
cc53            1.0000000000 -1.84249692  0.0775579869  1.93649936
cc54            1.0000000000 -1.82507809 -0.0008497898  1.97777484
cc55            1.0000000000 -2.09441637 -0.1937725524  1.63337755
cc56            1.0000000000 -1.55214562  0.2399999698  2.06954794
cc57            1.0000000000 -1.79925368  0.0255065689  1.89552280
cc58            1.0000000000 -2.20873545 -0.2435661749  1.67267776
cc59            1.0000000000 -1.60166758  0.2390139608  2.12942249
cc60            1.0000000000 -3.20092530 -1.2801996427  0.55360839
cc61            1.0000000000 -1.06367644  0.7311864388  2.48999184
cc62            1.0000000000 -1.54937072  0.2120463542  1.99457437
1               1.0000000000 -1.74657193  0.2515195069  2.20345935
lcentralization 1.0000000000  0.85578129  0.9160388220  0.97943226
lwarfare        0.3214222222 -0.48446795  0.0000000000  0.17933465
larea           0.2527666667 -0.73467444  0.0000000000  0.00000000
lpopulation     0.2227333333 -0.25668153  0.0000000000  0.55067009
ldepend15       0.0310333333  0.00000000  0.0000000000  0.00000000
ldepend64       0.6818000000 -0.50168441 -0.1381659641  0.02579613
lurban          0.0265222222  0.00000000  0.0000000000  0.00000000
lpop_growth     0.0555333333 -0.21251687  0.0000000000  0.00000000
ltrade          0.3630222222  0.00000000  0.0000000000  0.03669552
lgini_gross     0.7843000000  0.00000000  0.1660941247  0.33441387
ldebt           0.0989222222  0.00000000  0.0000000000  0.01422065
lfdi_liab       0.1620444444 -0.59969865  0.0000000000  0.00000000
linflation      0.0007222222  0.00000000  0.0000000000  0.00000000
ldemocracy      0.0015777778  0.00000000  0.0000000000  0.00000000
lpol_comp       0.3738555556 -0.22497938  0.0000000000  0.50633597
lpresidential   0.0478444444  0.00000000  0.0000000000  0.23218159
lplurality      0.0501444444 -0.26896595  0.0000000000  0.00000000
lpol_rights     0.4005555556 -0.08187106  0.0000000000  1.19407812
lgdp_pc         0.5671111111 -0.80066728  0.0000000000  1.29187152
                         Mean           SD     CondMean      CondSD
per03           -1.151832e+00 0.7295873631 -1.158812011 0.729587363
per04            4.042542e-01 0.7430985652  0.400616114 0.743098565
per05            2.773972e-01 0.7165349571  0.278012115 0.716534957
per06            1.847972e+00 0.7211000709  1.822279112 0.721100071
per07            7.351259e-01 0.7222435192  0.739118752 0.722243519
