[[1]]
                        Prob         Low           Med          Up
per03           1.0000000000 -2.73101651 -1.176857e+00 0.406623032
per04           1.0000000000 -0.94355684  6.096398e-01 2.152427245
per05           1.0000000000 -1.32248294  2.384777e-01 1.705884108
per06           1.0000000000 -0.46096337  9.969396e-01 2.491387766
per07           1.0000000000 -0.31392690  1.150220e+00 2.611155313
per08           1.0000000000 -0.98019509  5.910931e-01 2.224757079
cc2             1.0000000000 -1.64647399  2.217152e-01 2.042940158
cc3             1.0000000000 -1.82039384  3.299996e-02 1.861599467
cc4             1.0000000000 -2.09750006 -1.240797e-01 1.814504155
cc5             1.0000000000 -1.83228062  7.449971e-02 1.977174899
cc6             1.0000000000 -1.96287187 -7.872530e-02 1.843484831
cc7             1.0000000000 -1.23525526  6.220184e-01 2.522348357
cc8             1.0000000000 -3.33279557 -1.523445e+00 0.312059123
cc9             1.0000000000 -1.88633413  1.721797e-02 1.860210372
cc10            1.0000000000 -1.89037997  3.076204e-02 1.906758783
cc11            1.0000000000 -1.64020695  1.602878e-01 2.067847922
cc12            1.0000000000 -1.62687286  3.537501e-01 2.291847174
cc13            1.0000000000 -2.13018212 -2.720925e-01 1.568426280
cc14            1.0000000000 -1.76076242  1.535419e-01 2.100757994
cc15            1.0000000000 -1.85643173  1.059356e-01 2.032653360
cc16            1.0000000000 -1.88049185 -4.987572e-02 1.741609753
cc17            1.0000000000 -1.90974953  4.335716e-02 1.967868496
cc18            1.0000000000 -1.64965954  1.465303e-01 1.919351866
cc19            1.0000000000 -1.67561498  8.073993e-02 1.920677564
cc20            1.0000000000 -1.85998923 -2.046501e-02 1.824913479
cc21            1.0000000000 -1.26556222  5.154050e-01 2.427785626
cc22            1.0000000000 -1.90697334  2.123024e-02 1.930522033
cc23            1.0000000000 -2.12317873 -1.661203e-01 1.737262031
cc24            1.0000000000 -1.53451745  3.398461e-01 2.098573052
cc25            1.0000000000 -1.71468847  1.064836e-01 2.000932969
cc26            1.0000000000 -1.86154643 -2.125933e-02 1.870322388
cc27            1.0000000000 -2.33901752 -3.570774e-01 1.523882665
cc28            1.0000000000 -1.35325510  4.689687e-01 2.312427903
cc29            1.0000000000 -1.94775713 -3.662025e-02 1.897858757
cc30            1.0000000000 -1.70163772  1.089964e-01 2.013928114
cc31            1.0000000000 -1.79665018  5.011125e-02 1.894323626
cc32            1.0000000000 -1.06484766  8.211848e-01 2.729796991
cc33            1.0000000000 -2.03380757 -1.752148e-01 1.686569103
cc34            1.0000000000 -1.77962383  3.217182e-02 1.885822564
cc35            1.0000000000 -1.40621937  3.923913e-01 2.154643777
cc36            1.0000000000 -2.21554287 -3.158360e-01 1.501448344
cc37            1.0000000000 -1.96012097  3.145269e-03 1.915501948
cc38            1.0000000000 -1.95878687 -4.019532e-05 1.890087288
cc39            1.0000000000 -1.96396234 -8.467611e-02 1.798040575
cc40            1.0000000000 -1.72965161  9.060367e-02 2.001678349
cc41            1.0000000000 -1.88183154  9.118611e-02 2.006973310
cc42            1.0000000000 -1.87691482  8.082181e-02 1.944880788
cc43            1.0000000000 -1.94336557 -6.177036e-02 1.833997083
cc44            1.0000000000 -2.23507040 -3.510040e-01 1.494378971
cc45            1.0000000000 -2.76025655 -8.744068e-01 0.917538814
cc46            1.0000000000 -2.20253982 -3.697445e-01 1.534783138
cc47            1.0000000000 -1.56997095  2.677402e-01 2.180170516
cc48            1.0000000000 -2.02079595 -1.341053e-01 1.752316092
cc49            1.0000000000 -2.02194001 -6.293230e-02 1.889718401
cc50            1.0000000000 -1.28414554  5.212126e-01 2.372295985
cc51            1.0000000000 -2.70265514 -8.645366e-01 0.923857676
cc52            1.0000000000 -1.43916350  4.439515e-01 2.327967958
