[[1]]
                        Prob         Low          Med           Up
per03           1.000000e+00 -1.95822315 -0.623301547  0.667807717
per04           1.000000e+00 -0.39214213  0.905272072  2.193115967
per05           1.000000e+00 -0.88633139  0.374707198  1.556630253
per06           1.000000e+00  0.36781718  1.593137734  2.843879454
per07           1.000000e+00  0.28865930  1.520626945  2.747032171
per08           1.000000e+00 -0.71750193  0.687928366  2.094288749
cc2             1.000000e+00 -1.96164031 -0.016426511  1.901696645
cc3             1.000000e+00 -2.58394643 -0.770230567  1.060327393
cc4             1.000000e+00 -1.53797496  0.224055442  1.967702710
cc5             1.000000e+00 -1.66436765  0.114459401  1.923864373
cc6             1.000000e+00 -1.96337448 -0.014229625  1.956890526
cc7             1.000000e+00 -1.95796874 -0.056951710  1.869647832
cc8             1.000000e+00 -1.80664004  0.119958330  2.014608731
cc9             1.000000e+00 -1.80885224  0.044083009  1.868621257
cc10            1.000000e+00 -1.84987042  0.010100114  1.882713703
cc11            1.000000e+00 -1.24985720  0.570098093  2.344891889
cc12            1.000000e+00 -1.91105426 -0.011845208  1.898336781
cc13            1.000000e+00 -1.86430184 -0.033245301  1.821612270
cc14            1.000000e+00 -3.61663900 -1.838696890 -0.064363945
cc15            1.000000e+00 -1.90553707 -0.160168807  1.622801167
cc16            1.000000e+00 -1.92857969 -0.127697582  1.576392114
cc17            1.000000e+00 -1.62562420  0.220538404  2.010609197
cc18            1.000000e+00 -1.52226176  0.336654005  2.193720664
cc19            1.000000e+00 -1.63157750  0.117519471  1.887565793
cc20            1.000000e+00 -1.75444505  0.133088468  1.961256138
cc21            1.000000e+00 -1.88417740  0.011771292  1.932840078
cc22            1.000000e+00 -1.38070585  0.441583233  2.209891033
cc23            1.000000e+00 -1.62111899  0.156474080  1.943252041
cc24            1.000000e+00 -2.28746091 -0.445695152  1.320659743
cc25            1.000000e+00 -1.73739104  0.137192474  1.960607549
cc26            1.000000e+00 -1.51493211  0.238988971  1.995125962
cc27            1.000000e+00 -1.70263049  0.036224051  1.809837219
cc28            1.000000e+00 -1.74867145  0.036818606  1.877920187
cc29            1.000000e+00 -1.72870665  0.096108549  1.951571653
cc30            1.000000e+00 -1.34095971  0.376395309  2.122667849
cc31            1.000000e+00 -1.67281434  0.076704914  1.930035704
cc32            1.000000e+00 -1.96014834 -0.059263330  1.869602270
cc33            1.000000e+00 -1.87499586  0.032627103  1.930647683
cc34            1.000000e+00 -2.16453352 -0.319872814  1.482753925
cc35            1.000000e+00 -1.20739886  0.595417612  2.337139361
cc36            1.000000e+00 -1.73539066  0.068576798  1.825695701
cc37            1.000000e+00 -1.16092661  0.604538597  2.400205416
cc38            1.000000e+00 -1.43048894  0.338592012  2.171035117
cc39            1.000000e+00 -1.90838499 -0.152878055  1.712940594
cc40            1.000000e+00 -1.88190758  0.007585922  1.866491712
cc41            1.000000e+00 -1.84864170 -0.008032393  1.859656209
cc42            1.000000e+00 -1.51161780  0.289261354  2.076462438
cc43            1.000000e+00 -1.80378830 -0.011196985  1.802213706
cc44            1.000000e+00 -2.10147526 -0.283280888  1.527302543
cc45            1.000000e+00 -1.92441533 -0.086543399  1.803949049
cc46            1.000000e+00 -2.10271169 -0.094826815  1.792574570
cc47            1.000000e+00 -1.93810687 -0.022933339  1.848133018
cc48            1.000000e+00 -1.79576125  0.084945453  1.913117596
cc49            1.000000e+00 -2.05833498 -0.282083124  1.475261130
cc50            1.000000e+00 -1.72776544  0.179078280  2.066999598
cc51            1.000000e+00 -1.55641192  0.202471381  2.023973817
cc52            1.000000e+00 -2.21746972 -0.407595692  1.414176916
cc53            1.000000e+00 -0.98341962  0.903688174  2.733387774
cc54            1.000000e+00 -1.73641463  0.067637199  1.835677734
cc55            1.000000e+00 -2.03081256 -0.073757460  1.816469383
