[[1]]
                        Prob          Low          Med          Up
per03           1.000000e+00 -2.116338757 -0.852776021  0.46808267
per04           1.000000e+00 -0.307324312  0.982347318  2.25406363
per05           1.000000e+00 -0.909366686  0.321559532  1.56906462
per06           1.000000e+00  0.038010290  1.263973061  2.53369687
per07           1.000000e+00  0.006281469  1.291850994  2.51473461
per08           1.000000e+00 -0.248317344  1.121117839  2.40506472
cc2             1.000000e+00 -1.975611116 -0.046232319  1.87160565
cc3             1.000000e+00 -2.692243903 -0.853369502  0.99615662
cc4             1.000000e+00 -1.555669852  0.248573653  1.98866748
cc5             1.000000e+00 -1.711015238  0.096085840  1.88112294
cc6             1.000000e+00 -1.944281657 -0.015803975  1.99719937
cc7             1.000000e+00 -1.989185353 -0.100641507  1.77533628
cc8             1.000000e+00 -1.854370421  0.058274825  2.00793594
cc9             1.000000e+00 -1.838824209 -0.028810970  1.79094334
cc10            1.000000e+00 -1.855803790  0.023814841  1.94967097
cc11            1.000000e+00 -1.192102654  0.630560569  2.49320955
cc12            1.000000e+00 -1.942986137 -0.044258256  1.83636383
cc13            1.000000e+00 -1.884734880 -0.000962574  1.88523147
cc14            1.000000e+00 -3.638142181 -1.816940508 -0.02479724
cc15            1.000000e+00 -1.878023707 -0.046975131  1.70085781
cc16            1.000000e+00 -1.915796638 -0.190896533  1.51497558
cc17            1.000000e+00 -1.600645649  0.165015263  1.96196690
cc18            1.000000e+00 -1.540381517  0.321842923  2.17586258
cc19            1.000000e+00 -1.706663292 -0.019351968  1.73854999
cc20            1.000000e+00 -1.733729100  0.087382680  1.94735190
cc21            1.000000e+00 -1.909262042  0.018375665  1.97757254
cc22            1.000000e+00 -1.281181918  0.445150890  2.24335472
cc23            1.000000e+00 -1.781632068 -0.004824522  1.73578241
cc24            1.000000e+00 -2.269045518 -0.412159974  1.40020116
cc25            1.000000e+00 -1.698511150  0.135669619  1.96985042
cc26            1.000000e+00 -1.604812608  0.161870823  1.89766040
cc27            1.000000e+00 -1.838578906  0.057779807  1.76578819
cc28            1.000000e+00 -1.907994409 -0.034485490  1.82101107
cc29            1.000000e+00 -1.782495754  0.071152957  2.00546715
cc30            1.000000e+00 -1.266066261  0.489918299  2.29023850
cc31            1.000000e+00 -1.758081597  0.032160110  1.82449654
cc32            1.000000e+00 -1.900912960 -0.023603136  1.90639570
cc33            1.000000e+00 -1.948504852 -0.010131343  1.88952100
cc34            1.000000e+00 -2.177176570 -0.390426367  1.37502914
cc35            1.000000e+00 -1.032216273  0.746306151  2.53635565
